Crop ,Year,Rainfall,Temperature,N ,P,K,Yield
Bajra,1997,787.609,30.85,95.74,88.61,8.67,0.64
Bajra,1998,956.216,28.58,95.74,88.61,8.67,0.46
Bajra,1999,686.066,26.32,95.74,88.61,8.67,0.77
Bajra,2000,843.808,27.47,95.74,88.61,8.67,0.76
Bajra,2001,731.11,26.83,95.74,88.61,8.67,0.58
Bajra,2002,622.438,28.52,95.74,88.61,8.67,0.75
Bajra,2003,792.492,25.84,95.74,88.61,8.67,0.98
Bajra,2004,659.568,26.32,95.74,88.61,8.67,0.87
Bajra,2005,561.416,22.35,95.74,88.61,8.67,0.63
Bajra,2006,620.758,33.23,95.74,88.61,8.67,0.83
Bajra,2007,778.954,26.52,95.74,88.61,8.67,1.05
Bajra,2008,587.232,25.66,95.74,88.61,8.67,0.98
Bajra,2009,976.966,20.01,95.74,88.61,8.67,0.55
Bajra,2010,1235.416,22.65,95.74,88.61,8.67,0.76
Bajra,2011,889.897,28.25,95.74,88.61,8.67,0.91
Bajra,2012,771.451,26.09,95.74,88.61,8.67,1.13
Bajra,2013,975.658,24.65,95.74,88.61,8.67,1.14
Bajra,2014,457.654,28.56,95.74,88.61,8.67,1.01
Bajra,2015,1068.254,25.67,95.74,88.61,8.67,0.7
Bajra,2016,845.256,26.89,95.74,88.61,8.67,0.67
Bajra,2017,598.565,24.45,95.74,88.61,8.67,1.45
Cotton,1998,787.609,30.85,95.74,88.61,8.67,0.95
Cotton,1999,956.216,28.58,95.74,88.61,8.67,1.07
Cotton,2000,686.066,26.32,95.74,88.61,8.67,1.45
Cotton,2001,843.808,27.47,95.74,88.61,8.67,0.91
Cotton,2002,731.11,26.83,95.74,88.61,8.67,1.63
Cotton,2003,622.438,28.52,95.74,88.61,8.67,1.04
Cotton,2004,792.492,25.84,95.74,88.61,8.67,1.15
Cotton,2005,659.568,26.32,95.74,88.61,8.67,0.85
Cotton,2006,561.416,22.35,95.74,88.61,8.67,0.8
Cotton,2007,620.758,33.23,95.74,88.61,8.67,0.82
Cotton,2008,778.954,26.52,95.74,88.61,8.67,0.92
Cotton,2009,587.232,25.66,95.74,88.61,8.67,0.96
Cotton,2010,976.966,20.01,95.74,88.61,8.67,1.14
Cotton,2011,1235.416,22.65,95.74,88.61,8.67,2.03
Cotton,2012,889.897,28.25,95.74,88.61,8.67,2.3
Cotton,2013,771.451,26.09,95.74,88.61,8.67,2.96
Cotton,2014,975.658,24.65,95.74,88.61,8.67,2.73
Cotton,2015,457.654,28.56,95.74,88.61,8.67,1.84
Cotton,2016,1068.254,25.67,95.74,88.61,8.67,2.1
Cotton,2017,845.256,26.89,95.74,88.61,8.67,3.5
Groundnut,1997,598.565,24.45,95.74,88.61,8.67,0.26
Groundnut,1998,787.609,30.85,95.74,88.61,8.67,0.29
Groundnut,1999,956.216,28.58,95.74,88.61,8.67,0.53
Groundnut,2000,686.066,26.32,95.74,88.61,8.67,0.32
Groundnut,2001,843.808,27.47,95.74,88.61,8.67,0.75
Groundnut,2002,731.11,26.83,95.74,88.61,8.67,0.53
Groundnut,2003,622.438,28.52,95.74,88.61,8.67,0.36
