Crop ,Year,Rainfall,Temperature,N ,P,K,Yield
Bajra,1998,,,68.45,7.15,9.18,0.56
Bajra,1999,,,68.45,7.15,9.18,0.47
Bajra,2000,,,68.45,7.15,9.18,0.58
Bajra,2001,,,68.45,7.15,9.18,0.43
Bajra,2002,,,68.45,7.15,9.18,0.35
Bajra,2003,,,68.45,7.15,9.18,0.6
Bajra,2004,,,68.45,7.15,9.18,0.55
Bajra,2005,,,68.45,7.15,9.18,0.61
Bajra,2006,,,68.45,7.15,9.18,0.74
Bajra,2007,,,68.45,7.15,9.18,1
Bajra,2008,,,68.45,7.15,9.18,0.63
Bajra,2009,,,68.45,7.15,9.18,0.67
Bajra,2010,,,68.45,7.15,9.18,1.5
Bajra,2011,,,68.45,7.15,9.18,0.65
Bajra,2012,,,68.45,7.15,9.18,0.73
Bajra,2013,,,68.45,7.15,9.18,1.01
Bajra,2014,,,68.45,7.15,9.18,0.99
Bajra,2015,,,68.45,7.15,9.18,0.84
Bajra,2016,,,68.45,7.15,9.18,0.66
Bajra,2017,,,68.45,7.15,9.18,1.49
Cotton,1998,,,68.45,7.15,9.18,1.19
Cotton,1999,,,68.45,7.15,9.18,1.08
Cotton,2000,,,68.45,7.15,9.18,1.28
Cotton,2001,,,68.45,7.15,9.18,0.89
Cotton,2002,,,68.45,7.15,9.18,0.93
Cotton,2003,,,68.45,7.15,9.18,0.82
Cotton,2004,,,68.45,7.15,9.18,1.84
Cotton,2005,,,68.45,7.15,9.18,1.31
Cotton,2006,,,68.45,7.15,9.18,2.03
Cotton,2007,,,68.45,7.15,9.18,2.9
Cotton,2008,,,68.45,7.15,9.18,1.96
Cotton,2009,,,68.45,7.15,9.18,1.67
Cotton,2010,,,68.45,7.15,9.18,2.19
Cotton,2011,,,68.45,7.15,9.18,2.57
Cotton,2012,,,68.45,7.15,9.18,1.79
Cotton,2013,,,68.45,7.15,9.18,1.34
Cotton,2014,,,68.45,7.15,9.18,1.44
Cotton,2015,,,68.45,7.15,9.18,2.4
Cotton,2016,,,68.45,7.15,9.18,1.16
Cotton,2017,,,68.45,7.15,9.18,1.42
Groundnut,1998,,,68.45,7.15,9.18,1.27
Groundnut,1999,,,68.45,7.15,9.18,0.89
Groundnut,2000,,,68.45,7.15,9.18,1.15
Groundnut,2001,,,68.45,7.15,9.18,1.11
Groundnut,2002,,,68.45,7.15,9.18,0.84
Groundnut,2003,,,68.45,7.15,9.18,0.87
Groundnut,2004,,,68.45,7.15,9.18,0.9
Groundnut,2005,,,68.45,7.15,9.18,0.86
Groundnut,2006,,,68.45,7.15,9.18,0.68
Groundnut,2007,,,68.45,7.15,9.18,0.92
Groundnut,2008,,,68.45,7.15,9.18,0.71
Groundnut,2009,,,68.45,7.15,9.18,0.99
Groundnut,2010,,,68.45,7.15,9.18,1.3
Groundnut,2011,,,68.45,7.15,9.18,0.96
Groundnut,2012,,,68.45,7.15,9.18,1.01
Groundnut,2013,,,68.45,7.15,9.18,1.06
Groundnut,2014,,,68.45,7.15,9.18,1.13
Groundnut,2015,,,68.45,7.15,9.18,1.11
Groundnut,2016,,,68.45,7.15,9.18,0.8
Groundnut,2017,,,68.45,7.15,9.18,1.52
Jowar,1998,,,68.45,7.15,9.18,2.18
Jowar,1999,,,68.45,7.15,9.18,1.46
Jowar,2000,,,68.45,7.15,9.18,1.79
Jowar,2001,,,68.45,7.15,9.18,1.44
Jowar,2002,,,68.45,7.15,9.18,1.39
Jowar,2003,,,68.45,7.15,9.18,0.98
Jowar,2004,,,68.45,7.15,9.18,1.62
Jowar,2005,,,68.45,7.15,9.18,2.08
Jowar,2006,,,68.45,7.15,9.18,1.37
Jowar,2007,,,68.45,7.15,9.18,2.35
Jowar,2008,,,68.45,7.15,9.18,1.87
Jowar,2009,,,68.45,7.15,9.18,1.98
Jowar,2010,,,68.45,7.15,9.18,2.17
Jowar,2011,,,68.45,7.15,9.18,1.89
Jowar,2012,,,68.45,7.15,9.18,1.62
Jowar,2013,,,68.45,7.15,9.18,1.98
Jowar,2014,,,68.45,7.15,9.18,2.13
Jowar,2015,,,68.45,7.15,9.18,1.82
Jowar,2016,,,68.45,7.15,9.18,1.74
Jowar,2017,,,68.45,7.15,9.18,1.62
Maize,1998,,,68.45,7.15,9.18,3.7
Maize,1999,,,68.45,7.15,9.18,2.09
Maize,2000,,,68.45,7.15,9.18,3.41
Maize,2001,,,68.45,7.15,9.18,2.17
Maize,2002,,,68.45,7.15,9.18,1.53
Maize,2003,,,68.45,7.15,9.18,1.41
Maize,2004,,,68.45,7.15,9.18,3.1
Maize,2005,,,68.45,7.15,9.18,3.04
Maize,2006,,,68.45,7.15,9.18,2.28
Maize,2007,,,68.45,7.15,9.18,3.11
Maize,2008,,,68.45,7.15,9.18,2.54
Maize,2009,,,68.45,7.15,9.18,2.98
Maize,2010,,,68.45,7.15,9.18,3.61
Maize,2011,,,68.45,7.15,9.18,2.73
Maize,2012,,,68.45,7.15,9.18,2.74
Maize,2013,,,68.45,7.15,9.18,3.64
Maize,2014,,,68.45,7.15,9.18,3.22
Maize,2015,,,68.45,7.15,9.18,3.02
Maize,2016,,,68.45,7.15,9.18,1.95
Maize,2017,,,68.45,7.15,9.18,4.31
Rice,1998,,,68.45,7.15,9.18,3.31
Rice,1999,,,68.45,7.15,9.18,3.33
Rice,2000,,,68.45,7.15,9.18,3.57
Rice,2001,,,68.45,7.15,9.18,3.29
Rice,2002,,,68.45,7.15,9.18,2.9
Rice,2003,,,68.45,7.15,9.18,3.31
Rice,2004,,,68.45,7.15,9.18,3.8
Rice,2005,,,68.45,7.15,9.18,3.47
Rice,2006,,,68.45,7.15,9.18,3.43
Rice,2007,,,68.45,7.15,9.18,3.47
Rice,2008,,,68.45,7.15,9.18,3.43
Rice,2009,,,68.45,7.15,9.18,3.42
Rice,2010,,,68.45,7.15,9.18,3.72
Rice,2011,,,68.45,7.15,9.18,3.75
Rice,2012,,,68.45,7.15,9.18,3.31
Rice,2013,,,68.45,7.15,9.18,3.54
Rice,2014,,,68.45,7.15,9.18,3.66
Rice,2015,,,68.45,7.15,9.18,3.75
Rice,2016,,,68.45,7.15,9.18,3.22
Rice,2017,,,68.45,7.15,9.18,3.79
Soyabean,1998,,,68.45,7.15,9.18,1.13
Soyabean,1999,,,68.45,7.15,9.18,0.75
Soyabean,2000,,,68.45,7.15,9.18,0.5
Soyabean,2001,,,68.45,7.15,9.18,1
Soyabean,2002,,,68.45,7.15,9.18,1.53
Sugarcane,1999,,,68.45,7.15,9.18,37.05
Sugarcane,2000,,,68.45,7.15,9.18,125.4
Sugarcane,2001,,,68.45,7.15,9.18,97.85
Sugarcane,2002,,,68.45,7.15,9.18,107.35
Sugarcane,2003,,,68.45,7.15,9.18,85.5
Sugarcane,2004,,,68.45,7.15,9.18,111.15
Sugarcane,2005,,,68.45,7.15,9.18,123.5
Sugarcane,2006,,,68.45,7.15,9.18,112.1
Sugarcane,2007,,,68.45,7.15,9.18,106.4
Sugarcane,2008,,,68.45,7.15,9.18,122.55
Sugarcane,2009,,,68.45,7.15,9.18,135.85
Sugarcane,2010,,,68.45,7.15,9.18,133
Sugarcane,2011,,,68.45,7.15,9.18,110.2
Sugarcane,2012,,,68.45,7.15,9.18,114.95
Sugarcane,2013,,,68.45,7.15,9.18,128.25
Sugarcane,2014,,,68.45,7.15,9.18,107.35
Sugarcane,2015,,,68.45,7.15,9.18,108.3
Wheat,1998,,,68.45,7.15,9.18,0.79
Wheat,1999,,,68.45,7.15,9.18,0.98
Wheat,2000,,,68.45,7.15,9.18,0.88
Wheat,2001,,,68.45,7.15,9.18,0.83
Wheat,2002,,,68.45,7.15,9.18,0.57
Wheat,2003,,,68.45,7.15,9.18,0.57
Wheat,2004,,,68.45,7.15,9.18,1.21
Wheat,2005,,,68.45,7.15,9.18,0.91
Wheat,2006,,,68.45,7.15,9.18,0.91
Wheat,2007,,,68.45,7.15,9.18,1
Wheat,2008,,,68.45,7.15,9.18,0.94
Wheat,2009,,,68.45,7.15,9.18,0.85
Wheat,2010,,,68.45,7.15,9.18,1.08
Wheat,2011,,,68.45,7.15,9.18,0.81
Wheat,2012,,,68.45,7.15,9.18,1.55
Wheat,2013,,,68.45,7.15,9.18,1.01
Wheat,2014,,,68.45,7.15,9.18,1.93
Wheat,2015,,,68.45,7.15,9.18,0.88
Wheat,2016,,,68.45,7.15,9.18,1.02
Wheat,2017,,,68.45,7.15,9.18,1.13
