Crop ,Year,Rainfall,Temperature,pH,N ,P,K,Yield
Bajra,1998,,,,93.5,35.74,0.89,0.5
Bajra,1999,,,,93.5,35.74,0.89,0.56
Bajra,2000,,,,93.5,35.74,0.89,0.6
Bajra,2001,,,,93.5,35.74,0.89,0.41
Bajra,2002,,,,93.5,35.74,0.89,0.12
Bajra,2003,,,,93.5,35.74,0.89,0.64
Bajra,2004,,,,93.5,35.74,0.89,0.46
Bajra,2005,,,,93.5,35.74,0.89,1.07
Bajra,2006,,,,93.5,35.74,0.89,0.24
Bajra,2007,,,,93.5,35.74,0.89,0.85
Bajra,2008,,,,93.5,35.74,0.89,0.55
Bajra,2009,,,,93.5,35.74,0.89,0.33
Bajra,2010,,,,93.5,35.74,0.89,1.23
Bajra,2011,,,,93.5,35.74,0.89,1.15
Bajra,2012,,,,93.5,35.74,0.89,1.36
Bajra,2013,,,,93.5,35.74,0.89,1.67
Bajra,2014,,,,93.5,35.74,0.89,1.73
Bajra,2015,,,,93.5,35.74,0.89,0.71
Bajra,2016,,,,93.5,35.74,0.89,0.67
Bajra,2017,,,,93.5,35.74,0.89,1.82
Cotton,1998,,,,93.5,35.74,0.89,0.96
Cotton,1999,,,,93.5,35.74,0.89,0.75
Cotton,2000,,,,93.5,35.74,0.89,0.81
Cotton,2001,,,,93.5,35.74,0.89,1.08
Cotton,2002,,,,93.5,35.74,0.89,0.93
Cotton,2003,,,,93.5,35.74,0.89,0.41
Cotton,2004,,,,93.5,35.74,0.89,0.92
Cotton,2005,,,,93.5,35.74,0.89,0.41
Cotton,2006,,,,93.5,35.74,0.89,0.51
Cotton,2007,,,,93.5,35.74,0.89,0.71
Cotton,2008,,,,93.5,35.74,0.89,1.41
Cotton,2009,,,,93.5,35.74,0.89,0.42
Cotton,2010,,,,93.5,35.74,0.89,1.35
Cotton,2011,,,,93.5,35.74,0.89,1.23
Cotton,2012,,,,93.5,35.74,0.89,1.89
Cotton,2013,,,,93.5,35.74,0.89,2.16
Cotton,2014,,,,93.5,35.74,0.89,2.17
Cotton,2015,,,,93.5,35.74,0.89,0.82
Cotton,2016,,,,93.5,35.74,0.89,0.89
Cotton,2017,,,,93.5,35.74,0.89,1.93
Groundnut,1998,,,,93.5,35.74,0.89,0.59
Groundnut,1999,,,,93.5,35.74,0.89,0.70
Groundnut,2000,,,,93.5,35.74,0.89,0.83
Groundnut,2001,,,,93.5,35.74,0.89,0.93
Groundnut,2002,,,,93.5,35.74,0.89,0.52
Groundnut,2003,,,,93.5,35.74,0.89,0.66
Groundnut,2004,,,,93.5,35.74,0.89,0.54
Groundnut,2005,,,,93.5,35.74,0.89,0.57
Groundnut,2006,,,,93.5,35.74,0.89,0.34
Groundnut,2007,,,,93.5,35.74,0.89,0.74
Groundnut,2008,,,,93.5,35.74,0.89,0.61
Groundnut,2009,,,,93.5,35.74,0.89,0.54
Groundnut,2010,,,,93.5,35.74,0.89,0.88
Groundnut,2011,,,,93.5,35.74,0.89,0.80
Groundnut,2012,,,,93.5,35.74,0.89,0.54
Groundnut,2013,,,,93.5,35.74,0.89,0.87
Groundnut,2014,,,,93.5,35.74,0.89,0.85
Groundnut,2015,,,,93.5,35.74,0.89,0.77
Groundnut,2016,,,,93.5,35.74,0.89,0.53
Groundnut,2017,,,,93.5,35.74,0.89,1.19
Jowar,1998,,,,93.5,35.74,0.89,0.71
Jowar,1999,,,,93.5,35.74,0.89,0.78
Jowar,2000,,,,93.5,35.74,0.89,0.78
Jowar,2001,,,,93.5,35.74,0.89,0.66
Jowar,2002,,,,93.5,35.74,0.89,0.32
Jowar,2003,,,,93.5,35.74,0.89,0.26
Jowar,2004,,,,93.5,35.74,0.89,0.54
Jowar,2005,,,,93.5,35.74,0.89,0.84
Jowar,2006,,,,93.5,35.74,0.89,0.29
Jowar,2007,,,,93.5,35.74,0.89,1.15
