Crop ,Year,Rainfall,Temperature,N ,P,K,Yield
Bajra,1997,,,97.82,24.21,10.17,0.21
Bajra,1998,,,97.82,24.21,10.17,0.47
Bajra,1999,,,97.82,24.21,10.17,0.38
Bajra,2000,,,97.82,24.21,10.17,0.44
Bajra,2001,,,97.82,24.21,10.17,0.40
Bajra,2002,,,97.82,24.21,10.17,0.36
Bajra,2003,,,97.82,24.21,10.17,0.28
Bajra,2004,,,97.82,24.21,10.17,0.37
Bajra,2005,,,97.82,24.21,10.17,0.85
Bajra,2006,,,97.82,24.21,10.17,0.45
Bajra,2007,,,97.82,24.21,10.17,0.70
Bajra,2008,,,97.82,24.21,10.17,0.49
Bajra,2009,,,97.82,24.21,10.17,0.31
Bajra,2010,,,97.82,24.21,10.17,0.55
Bajra,2011,,,97.82,24.21,10.17,0.71
Bajra,2012,,,97.82,24.21,10.17,1.04
Bajra,2013,,,97.82,24.21,10.17,1.18
Bajra,2014,,,97.82,24.21,10.17,1.06
Bajra,2015,,,97.82,24.21,10.17,0.66
Bajra,2016,,,97.82,24.21,10.17,1.05
Bajra,2017,,,97.82,24.21,10.17,1.58
Cotton,1998,,,97.82,24.21,10.17,1.50
Cotton,1999,,,97.82,24.21,10.17,1.68
Cotton,2000,,,97.82,24.21,10.17,2.15
Cotton,2001,,,97.82,24.21,10.17,1.86
Cotton,2002,,,97.82,24.21,10.17,1.84
Cotton,2003,,,97.82,24.21,10.17,2.24
Cotton,2004,,,97.82,24.21,10.17,1.51
Cotton,2005,,,97.82,24.21,10.17,1.98
Cotton,2006,,,97.82,24.21,10.17,1.90
Cotton,2007,,,97.82,24.21,10.17,2.72
Cotton,2008,,,97.82,24.21,10.17,3.79
Cotton,2009,,,97.82,24.21,10.17,2.48
Cotton,2010,,,97.82,24.21,10.17,2.97
Cotton,2011,,,97.82,24.21,10.17,2.82
Cotton,2012,,,97.82,24.21,10.17,2.30
Cotton,2013,,,97.82,24.21,10.17,2.24
Cotton,2014,,,97.82,24.21,10.17,2.58
Cotton,2015,,,97.82,24.21,10.17,1.80
Cotton,2016,,,97.82,24.21,10.17,12.94
Cotton,2017,,,97.82,24.21,10.17,0.53
Groundnut,1997,,,97.82,24.21,10.17,0.64
Groundnut,1998,,,97.82,24.21,10.17,1.39
Groundnut,1999,,,97.82,24.21,10.17,0.52
Groundnut,2000,,,97.82,24.21,10.17,1.38
Groundnut,2001,,,97.82,24.21,10.17,0.38
Groundnut,2002,,,97.82,24.21,10.17,0.56
Groundnut,2003,,,97.82,24.21,10.17,0.32
Groundnut,2004,,,97.82,24.21,10.17,0.67
Groundnut,2005,,,97.82,24.21,10.17,0.44
Groundnut,2006,,,97.82,24.21,10.17,0.25
Groundnut,2007,,,97.82,24.21,10.17,0.85
Groundnut,2008,,,97.82,24.21,10.17,0.29
Groundnut,2009,,,97.82,24.21,10.17,0.36
