Crop ,Year,Rainfall,Temperature,N ,P,K,Yield
Bajra,2010,,,94.48,49.06,4.71,0.78
Bajra,2011,,,94.48,49.06,4.71,0.58
Bajra,2012,,,94.48,49.06,4.71,0.90
Bajra,2013,,,94.48,49.06,4.71,1.04
Bajra,2014,,,94.48,49.06,4.71,0.96
Bajra,2015,,,94.48,49.06,4.71,0.72
Bajra,2016,,,94.48,49.06,4.71,0.79
Bajra,2017,,,94.48,49.06,4.71,1.65
Cotton,2010,,,94.48,49.06,4.71,2.61
Cotton,2011,,,94.48,49.06,4.71,1.77
Cotton,2012,,,94.48,49.06,4.71,3.07
Cotton,2013,,,94.48,49.06,4.71,4.74
Cotton,2014,,,94.48,49.06,4.71,3.49
Cotton,2015,,,94.48,49.06,4.71,1.95
Cotton,2016,,,94.48,49.06,4.71,2.41
Cotton,2017,,,94.48,49.06,4.71,6.50
Groundnut,2010,,,94.48,49.06,4.71,0.62
Groundnut,2011,,,94.48,49.06,4.71,0.56
Groundnut,2012,,,94.48,49.06,4.71,0.98
Groundnut,2013,,,94.48,49.06,4.71,0.77
Groundnut,2014,,,94.48,49.06,4.71,0.61
Groundnut,2015,,,94.48,49.06,4.71,0.43
Groundnut,2016,,,94.48,49.06,4.71,0.90
Groundnut,2017,,,94.48,49.06,4.71,1.08
Jowar,2010,,,94.48,49.06,4.71,1.07
Jowar,2011,,,94.48,49.06,4.71,0.68
Jowar,2012,,,94.48,49.06,4.71,1.04
Jowar,2013,,,94.48,49.06,4.71,1.33
Jowar,2014,,,94.48,49.06,4.71,1.17
Jowar,2015,,,94.48,49.06,4.71,0.75
Jowar,2016,,,94.48,49.06,4.71,1.22
Jowar,2017,,,94.48,49.06,4.71,1.56
Maize,2010,,,94.48,49.06,4.71,2.16
Maize,2011,,,94.48,49.06,4.71,2.43
Maize,2012,,,94.48,49.06,4.71,2.81
Maize,2013,,,94.48,49.06,4.71,3.00
Maize,2014,,,94.48,49.06,4.71,3.26
Maize,2015,,,94.48,49.06,4.71,2.14
Maize,2016,,,94.48,49.06,4.71,2.01
Maize,2017,,,94.48,49.06,4.71,4.12
Rice,2010,,,94.48,49.06,4.71,2.05
Rice,2011,,,94.48,49.06,4.71,1.91
Rice,2012,,,94.48,49.06,4.71,1.34
Rice,2013,,,94.48,49.06,4.71,1.94
Rice,2014,,,94.48,49.06,4.71,2.65
Rice,2015,,,94.48,49.06,4.71,2.01
Rice,2016,,,94.48,49.06,4.71,3.30
Rice,2017,,,94.48,49.06,4.71,3.22
Sugarcane,2010,,,94.48,49.06,4.71,96.90
Sugarcane,2011,,,94.48,49.06,4.71,91.20
Sugarcane,2012,,,94.48,49.06,4.71,83.60
Sugarcane,2013,,,94.48,49.06,4.71,89.30
Sugarcane,2014,,,94.48,49.06,4.71,91.20
Sugarcane,2016,,,94.48,49.06,4.71,69.35
Sugarcane,2017,,,94.48,49.06,4.71,94.05
Wheat,2010,,,94.48,49.06,4.71,0.89
Wheat,2011,,,94.48,49.06,4.71,0.67
Wheat,2012,,,94.48,49.06,4.71,0.80
Wheat,2013,,,94.48,49.06,4.71,0.94
Wheat,2014,,,94.48,49.06,4.71,1.05
Wheat,2015,,,94.48,49.06,4.71,0.59
Wheat,2016,,,94.48,49.06,4.71,1.04
Wheat,2017,,,94.48,49.06,4.71,0.80
