Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Bajra,1997,2015.932,25.84,28.97,73.84,54.4,0.16
Bajra,1998,1737.503,26.06,28.97,73.84,54.4,0.29
Bajra,1999,1622.36,25.58,28.97,73.84,54.4,0.35
Bajra,2000,1628.754,25.6,28.97,73.84,54.4,0.43
Bajra,2001,1134.703,25.8,28.97,73.84,54.4,0.28
Bajra,2002,1334.194, 26.11,28.97,73.84,54.4,0.13
Bajra,2003,2068.896,25.23,28.97,73.84,54.4,0.18
Bajra,2004,1834.359,26.6,28.97,73.84,54.4,0.5
Bajra,2005,1224.952,24.94,28.97,73.84,54.4,0.39
Bajra,2006,1750.977,25.18,28.97,73.84,54.4,0.32
Bajra,2007,1719.052,26.23,28.97,73.84,54.4,0.48
Bajra,2008,2083.291,28.8,28.97,73.84,54.4,0.41
Bajra,2009,1682.053,24.3,28.97,73.84,54.4,0.26
Bajra,2010,2056.684,25.19,28.97,73.84,54.4,0.61
Bajra,2011,1836.464,27.99,28.97,73.84,54.4,0.53
Bajra,2012,1752.294,24.52,28.97,73.84,54.4,0.35
Bajra,2013,2042.12,28.97,28.97,73.84,54.4,0.66
Bajra,2014,1926.984,26.57,28.97,73.84,54.4,0.66
Bajra,2015,1826.553,24.23,28.97,73.84,54.4,0.36
Bajra,2016,2042.951,27.65,28.97,73.84,54.4,0.6
Bajra,2017,1635.014,29.84,28.97,73.84,54.4,1.21
Cotton,1997,2015.932,25.84,28.97,73.84,54.4,1.5
Cotton,1998,1737.503,26.06,28.97,73.84,54.4,1.77
Cotton,1999,1622.36,25.58,28.97,73.84,54.4,1.92
Cotton,2000,1628.754,25.6,28.97,73.84,54.4,1.24
Cotton,2001,1134.703,25.8,28.97,73.84,54.4,1.08
Cotton,2002,1334.194, 26.11,28.97,73.84,54.4,0.73
Cotton,2003,2068.896,25.23,28.97,73.84,54.4,1.66
Cotton,2004,1834.359,26.6,28.97,73.84,54.4,1.66
Cotton,2005,1224.952,24.94,28.97,73.84,54.4,1.48
Cotton,2006,1750.977,25.18,28.97,73.84,54.4,1.8
Cotton,2007,1719.052,26.23,28.97,73.84,54.4,2.44
Cotton,2008,2083.291,28.8,28.97,73.84,54.4,1.93
Cotton,2009,1682.053,24.3,28.97,73.84,54.4,2.11
Cotton,2010,2056.684,25.19,28.97,73.84,54.4,2.21
Cotton,2011,1836.464,27.99,28.97,73.84,54.4,2.26
Cotton,2012,1752.294,24.52,28.97,73.84,54.4,1.84
Cotton,2013,2042.12,28.97,28.97,73.84,54.4,2.79
Cotton,2014,1926.984,26.57,28.97,73.84,54.4,2.73
Cotton,2015,1826.553,24.23,28.97,73.84,54.4,1.49
