Crop,Year,Rainfall,Temp,N,P,K,Yield(Tons/Hectre)
Bajra,1998,838.459,25.27,93.14,10.56,4.57,0.51
Bajra,1999,693.496,,93.14,10.56,4.57,0.93
Bajra,2000,787.626,,93.14,10.56,4.57,0.62
Bajra,2001,575.605,,93.14,10.56,4.57,0.82
Bajra,2002,574.325,,93.14,10.56,4.57,0.76
Bajra,2003,733.779,,93.14,10.56,4.57,0.48
Bajra,2004,518.116,,93.14,10.56,4.57,0.67
Bajra,2005,565.301,,93.14,10.56,4.57,0.71
Bajra,2006,950.527,,93.14,10.56,4.57,0.8
Bajra,2007,789.737,,93.14,10.56,4.57,0.47
Bajra,2008,880.991,,93.14,10.56,4.57,0.85
Bajra,2009,407.42,,93.14,10.56,4.57,0.61
Bajra,2010,919.562,,93.14,10.56,4.57,0.61
Bajra,2011,781.617,,93.14,10.56,4.57,0.84
Bajra,2012,678.775,,93.14,10.56,4.57,0.66
Bajra,2013,605.366,,93.14,10.56,4.57,0.81
Bajra,2014,746.599,,93.14,10.56,4.57,1.01
Bajra,2015,660.517,,93.14,10.56,4.57,1.07
Bajra,2016,820.227,,93.14,10.56,4.57,0.92
Bajra,2017,577.14,,93.14,10.56,4.57,1.26
Cotton,1998,838.459,,93.14,10.56,4.57,1.29
Cotton,1999,693.496,,93.14,10.56,4.57,1.01
Cotton,2000,787.626,,93.14,10.56,4.57,1.32
Cotton,2001,575.605,,93.14,10.56,4.57,1.35
Cotton,2002,574.325,,93.14,10.56,4.57,1.11
Cotton,2003,733.779,,93.14,10.56,4.57,0.84
Cotton,2004,518.116,,93.14,10.56,4.57,1.15
Cotton,2005,565.301,,93.14,10.56,4.57,1.32
Cotton,2006,950.527,,93.14,10.56,4.57,1.51
Cotton,2007,789.737,,93.14,10.56,4.57,1.82
Cotton,2008,880.991,,93.14,10.56,4.57,1.85
Cotton,2009,407.42,,93.14,10.56,4.57,1.86
Cotton,2010,919.562,,93.14,10.56,4.57,2.7
Cotton,2011,781.617,,93.14,10.56,4.57,2.14
Cotton,2012,678.775,,93.14,10.56,4.57,2.74
Cotton,2013,605.366,,93.14,10.56,4.57,2.56
Cotton,2014,746.599,,93.14,10.56,4.57,3.08
Cotton,2015,660.517,,93.14,10.56,4.57,2.16
Cotton,2016,820.227,,93.14,10.56,4.57,2.78
Cotton,2017,577.14,,93.14,10.56,4.57,3.37
Groundnut,1998,838.459,,93.14,10.56,4.57,0.5
Groundnut,1999,693.496,,93.14,10.56,4.57,0.9
Groundnut,2000,787.626,,93.14,10.56,4.57,0.94
Groundnut,2001,575.605,,93.14,10.56,4.57,0.91
Groundnut,2002,574.325,,93.14,10.56,4.57,0.87
Groundnut,2003,733.779,,93.14,10.56,4.57,0.58
Groundnut,2004,518.116,,93.14,10.56,4.57,0.65
Groundnut,2005,565.301,,93.14,10.56,4.57,0.39
Groundnut,2006,950.527,,93.14,10.56,4.57,0.42
Groundnut,2007,789.737,,93.14,10.56,4.57,0.23
Groundnut,2008,880.991,,93.14,10.56,4.57,0.75
Groundnut,2009,407.42,,93.14,10.56,4.57,0.26
Groundnut,2010,919.562,,93.14,10.56,4.57,0.26
Groundnut,2011,781.617,,93.14,10.56,4.57,0.33
Groundnut,2012,678.775,,93.14,10.56,4.57,0.47
Groundnut,2013,605.366,,93.14,10.56,4.57,0.68
Groundnut,2014,746.599,,93.14,10.56,4.57,1.23
Groundnut,2015,660.517,,93.14,10.56,4.57,0.99
Groundnut,2016,820.227,,93.14,10.56,4.57,0.92
Groundnut,2017,577.14,,93.14,10.56,4.57,1.21
Jowar,1998,838.459,,93.14,10.56,4.57,1.69
Jowar,1999,693.496,,93.14,10.56,4.57,1.56
Jowar,2000,787.626,,93.14,10.56,4.57,1.54
Jowar,2001,575.605,,93.14,10.56,4.57,1.87
Jowar,2002,574.325,,93.14,10.56,4.57,1.47
Jowar,2003,733.779,,93.14,10.56,4.57,1
Jowar,2004,518.116,,93.14,10.56,4.57,1.41
Jowar,2005,565.301,,93.14,10.56,4.57,1.76
Jowar,2006,950.527,,93.14,10.56,4.57,2.13
Jowar,2007,789.737,,93.14,10.56,4.57,1.14
Jowar,2008,880.991,,93.14,10.56,4.57,1.63
