Crop,Year,Rainfall,Temp,N,P,K,Yield(Tons/Hectre)
Bajra,1998,,,96.9,22.72,2.96,0.43
Bajra,1999,,,96.9,22.72,2.96,0.73
Bajra,2000,,,96.9,22.72,2.96,0.65
Bajra,2001,,,96.9,22.72,2.96,0.80
Bajra,2002,,,96.9,22.72,2.96,0.53
Bajra,2003,,,96.9,22.72,2.96,0.41
Bajra,2004,,,96.9,22.72,2.96,0.58
Bajra,2005,,,96.9,22.72,2.96,0.66
Bajra,2006,,,96.9,22.72,2.96,0.63
Bajra,2007,,,96.9,22.72,2.96,0.46
Bajra,2008,,,96.9,22.72,2.96,0.64
Bajra,2009,,,96.9,22.72,2.96,0.56
Bajra,2010,,,96.9,22.72,2.96,0.46
Bajra,2011,,,96.9,22.72,2.96,0.70
Bajra,2012,,,96.9,22.72,2.96,0.75
Bajra,2013,,,96.9,22.72,2.96,0.94
Bajra,2014,,,96.9,22.72,2.96,1.08
Bajra,2015,,,96.9,22.72,2.96,0.76
Bajra,2016,,,96.9,22.72,2.96,0.28
Bajra,2017,,,96.9,22.72,2.96,1.14
Cotton,1998,,,96.9,22.72,2.96,1.45
Cotton,1999,,,96.9,22.72,2.96,1.77
Cotton,2000,,,96.9,22.72,2.96,1.87
Cotton,2001,,,96.9,22.72,2.96,1.32
Cotton,2002,,,96.9,22.72,2.96,1.29
Cotton,2003,,,96.9,22.72,2.96,1.43
Cotton,2004,,,96.9,22.72,2.96,2.52
Cotton,2005,,,96.9,22.72,2.96,2.99
Cotton,2006,,,96.9,22.72,2.96,1.90
Cotton,2007,,,96.9,22.72,2.96,2.52
Cotton,2008,,,96.9,22.72,2.96,2.33
Cotton,2009,,,96.9,22.72,2.96,2.08
Cotton,2010,,,96.9,22.72,2.96,2.76
Cotton,2011,,,96.9,22.72,2.96,2.64
Cotton,2012,,,96.9,22.72,2.96,2.30
Cotton,2013,,,96.9,22.72,2.96,2.36
Cotton,2014,,,96.9,22.72,2.96,2.27
Cotton,2015,,,96.9,22.72,2.96,1.49
Cotton,2016,,,96.9,22.72,2.96,2.66
Cotton,2017,,,96.9,22.72,2.96,2.69
Groundnut,1998,,,96.9,22.72,2.96,0.30
Groundnut,1999,,,96.9,22.72,2.96,0.25
Groundnut,2000,,,96.9,22.72,2.96,0.47
Groundnut,2001,,,96.9,22.72,2.96,0.44
Groundnut,2002,,,96.9,22.72,2.96,0.79
Groundnut,2003,,,96.9,22.72,2.96,0.36
Groundnut,2004,,,96.9,22.72,2.96,0.29
Groundnut,2005,,,96.9,22.72,2.96,0.30
Groundnut,2006,,,96.9,22.72,2.96,0.42
Groundnut,2007,,,96.9,22.72,2.96,0.33
Groundnut,2008,,,96.9,22.72,2.96,0.40
Groundnut,2009,,,96.9,22.72,2.96,0.52
Groundnut,2010,,,96.9,22.72,2.96,0.33
Groundnut,2011,,,96.9,22.72,2.96,0.41
Groundnut,2012,,,96.9,22.72,2.96,0.54
Groundnut,2013,,,96.9,22.72,2.96,0.62
Groundnut,2014,,,96.9,22.72,2.96,0.72
Groundnut,2015,,,96.9,22.72,2.96,0.65
Groundnut,2016,,,96.9,22.72,2.96,0.28
Groundnut,2017,,,96.9,22.72,2.96,0.71
Jowar,1998,,,96.9,22.72,2.96,1.59
Jowar,1999,,,96.9,22.72,2.96,1.88
Jowar,2000,,,96.9,22.72,2.96,2.32
Jowar,2001,,,96.9,22.72,2.96,2.45
Jowar,2002,,,96.9,22.72,2.96,1.28
Jowar,2003,,,96.9,22.72,2.96,1.92
Jowar,2004,,,96.9,22.72,2.96,1.78
Jowar,2005,,,96.9,22.72,2.96,2.01
Jowar,2006,,,96.9,22.72,2.96,1.81
Jowar,2007,,,96.9,22.72,2.96,2.31
Jowar,2008,,,96.9,22.72,2.96,2.04
Jowar,2009,,,96.9,22.72,2.96,2.08
Jowar,2010,,,96.9,22.72,2.96,1.05
Jowar,2011,,,96.9,22.72,2.96,1.00
Jowar,2012,,,96.9,22.72,2.96,0.60
Jowar,2013,,,96.9,22.72,2.96,1.10
Jowar,2014,,,96.9,22.72,2.96,1.20
Jowar,2015,,,96.9,22.72,2.96,0.93
Jowar,2016,,,96.9,22.72,2.96,0.55
Jowar,2017,,,96.9,22.72,2.96,0.96
Maize,1998,,,96.9,22.72,2.96,3.51
Maize,1999,,,96.9,22.72,2.96,3.72
Maize,2000,,,96.9,22.72,2.96,2.52
Maize,2001,,,96.9,22.72,2.96,3.11
Maize,2002,,,96.9,22.72,2.96,2.11
Maize,2003,,,96.9,22.72,2.96,2.16
Maize,2004,,,96.9,22.72,2.96,2.71
Maize,2005,,,96.9,22.72,2.96,2.86
Maize,2006,,,96.9,22.72,2.96,2.75
Maize,2007,,,96.9,22.72,2.96,2.04
Maize,2008,,,96.9,22.72,2.96,2.97
Maize,2009,,,96.9,22.72,2.96,2.77
Maize,2010,,,96.9,22.72,2.96,2.55
Maize,2011,,,96.9,22.72,2.96,2.77
Maize,2012,,,96.9,22.72,2.96,3.56
Maize,2013,,,96.9,22.72,2.96,3.09
Maize,2014,,,96.9,22.72,2.96,3.61
Maize,2015,,,96.9,22.72,2.96,3.19
