Crop,Year,Rainfall,Temp,N,P,K,Yield
Bajra,1997,1771.634,24.98,22.02,90.04,16.47,0.69
Bajra,1998,2230.988, 25.21,22.02,90.04,16.47,0.6
Bajra,1999,1520.125,24.62,22.02,90.04,16.47,0.75
Bajra,2000,1645.762, 24.60,22.02,90.04,16.47,0.5
Bajra,2001,1329.86,24.93,22.02,90.04,16.47,0.66
Bajra,2002,1334.754,25.08,22.02,90.04,16.47,0.66
Bajra,2003,1482.25,24.38,22.02,90.04,16.47,0.81
Bajra,2004,1943.256,25.27,22.02,90.04,16.47,0.99
Bajra,2005,1976.86,22.92,22.02,90.04,16.47,0.63
Bajra,2006,1350.256,24.19,22.02,90.04,16.47,1.24
Bajra,2007,1453.256,26.56,22.02,90.04,16.47,0.71
Bajra,2008,1863.256,24.21,22.02,90.04,16.47,0.56
Bajra,2009,2202.32,25.68,22.02,90.04,16.47,0.98
Bajra,2010,1269.568,27.56,22.02,90.04,16.47,0.83
Bajra,2011,1197.256,26.65,22.02,90.04,16.47,1.97
Bajra,2012,1269.045,24.15,22.02,90.04,16.47,1.54
Bajra,2013,1510.214,25.23,22.02,90.04,16.47,1.24
Bajra,2014,1073.562,28.89,22.02,90.04,16.47,1.27
Bajra,2015,1161.235,27.56,22.02,90.04,16.47,0.68
Bajra,2016,1364.526,24.56,22.02,90.04,16.47,1.75
Bajra,2017,1533.245,25.68,22.02,90.04,16.47,1.24
Cotton,1997,1771.634,24.98,22.02,90.04,16.47,2.54
Cotton,1998,2230.988, 25.21,22.02,90.04,16.47,1.38
Cotton,1999,1520.125,24.62,22.02,90.04,16.47,0.82
Cotton,2000,1645.762, 24.60,22.02,90.04,16.47,0.67
Cotton,2001,1329.86,24.93,22.02,90.04,16.47,0.18
Cotton,2002,1334.754,25.08,22.02,90.04,16.47,0.21
Cotton,2003,1482.25,24.38,22.02,90.04,16.47,0.25
Cotton,2004,1943.256,25.27,22.02,90.04,16.47,0.46
Cotton,2005,1976.86,22.92,22.02,90.04,16.47,0.48
Cotton,2006,1350.256,24.19,22.02,90.04,16.47,0.79
Cotton,2007,1453.256,26.56,22.02,90.04,16.47,0.95
Cotton,2008,1863.256,24.21,22.02,90.04,16.47,0.91
Cotton,2009,2202.32,25.68,22.02,90.04,16.47,0.98
Cotton,2010,1269.568,27.56,22.02,90.04,16.47,1.58
Cotton,2011,1197.256,26.65,22.02,90.04,16.47,0.86
Cotton,2012,1269.045,24.15,22.02,90.04,16.47,2.96
Cotton,2013,1510.214,25.23,22.02,90.04,16.47,1.17
Cotton,2014,1073.562,28.89,22.02,90.04,16.47,1.05
Cotton,2015,1161.235,27.56,22.02,90.04,16.47,0.26
Cotton,2016,1364.526,24.56,22.02,90.04,16.47,2.22
Cotton,2017,1533.245,25.68,22.02,90.04,16.47,1.17
Groundnut,1997,1771.634,24.98,22.02,90.04,16.47,1.33
Groundnut,1998,2230.988, 25.21,22.02,90.04,16.47,1.2
Groundnut,1999,1520.125,24.62,22.02,90.04,16.47,1.28
Groundnut,2000,1645.762, 24.60,22.02,90.04,16.47,1.3
Groundnut,2001,1329.86,24.93,22.02,90.04,16.47,0.71
Groundnut,2002,1334.754,25.08,22.02,90.04,16.47,0.48
Groundnut,2003,1482.25,24.38,22.02,90.04,16.47,1.03
Groundnut,2004,1943.256,25.27,22.02,90.04,16.47,0.85
Groundnut,2005,1976.86,22.92,22.02,90.04,16.47,0.56
Groundnut,2006,1350.256,24.19,22.02,90.04,16.47,0.64
Groundnut,2007,1453.256,26.56,22.02,90.04,16.47,0.58
Groundnut,2008,1863.256,24.21,22.02,90.04,16.47,0.55
Groundnut,2009,2202.32,25.68,22.02,90.04,16.47,0.62
Groundnut,2010,1269.568,27.56,22.02,90.04,16.47,0.56
Groundnut,2011,1197.256,26.65,22.02,90.04,16.47,0.81
Groundnut,2012,1269.045,24.15,22.02,90.04,16.47,0.5
Groundnut,2013,1510.214,25.23,22.02,90.04,16.47,0.89
Groundnut,2014,1073.562,28.89,22.02,90.04,16.47,0.7
Groundnut,2015,1161.235,27.56,22.02,90.04,16.47,0.78
Groundnut,2016,1364.526,24.56,22.02,90.04,16.47,0.21
Groundnut,2017,1533.245,25.68,22.02,90.04,16.47,1.22
Jowar,1997,1771.634,24.98,22.02,90.04,16.47,0.82
Jowar,1998,2230.988, 25.21,22.02,90.04,16.47,0.55
Jowar,1999,1520.125,24.62,22.02,90.04,16.47,0.68
Jowar,2000,1645.762, 24.60,22.02,90.04,16.47,0.49
Jowar,2001,1329.86,24.93,22.02,90.04,16.47,0.21
Jowar,2002,1334.754,25.08,22.02,90.04,16.47,0.13
Jowar,2003,1482.25,24.38,22.02,90.04,16.47,1.21
Jowar,2004,1943.256,25.27,22.02,90.04,16.47,0.53
Jowar,2005,1976.86,22.92,22.02,90.04,16.47,0.67
Jowar,2006,1350.256,24.19,22.02,90.04,16.47,0.75
Jowar,2007,1453.256,26.56,22.02,90.04,16.47,0.54
Jowar,2008,1863.256,24.21,22.02,90.04,16.47,0.51
Jowar,2009,2202.32,25.68,22.02,90.04,16.47,0.82
Jowar,2010,1269.568,27.56,22.02,90.04,16.47,0.61
Jowar,2011,1197.256,26.65,22.02,90.04,16.47,0.41
Jowar,2012,1269.045,24.15,22.02,90.04,16.47,0.81
Jowar,2013,1510.214,25.23,22.02,90.04,16.47,0.43
Jowar,2014,1073.562,28.89,22.02,90.04,16.47,0.63
Jowar,2015,1161.235,27.56,22.02,90.04,16.47,0.72
Jowar,2016,1364.526,24.56,22.02,90.04,16.47,0.8
Jowar,2017,1533.245,25.68,22.02,90.04,16.47,0.41
Rice,1997,1771.634,24.98,22.02,90.04,16.47,3.26
Rice,1998,2230.988, 25.21,22.02,90.04,16.47,2.99
Rice,1999,1520.125,24.62,22.02,90.04,16.47,2.61
Rice,2000,1645.762, 24.60,22.02,90.04,16.47,2.97
Rice,2001,1329.86,24.93,22.02,90.04,16.47,3.29
Rice,2002,1334.754,25.08,22.02,90.04,16.47,2.67
Rice,2003,1482.25,24.38,22.02,90.04,16.47,3.36
Rice,2004,1943.256,25.27,22.02,90.04,16.47,2.77
Rice,2005,1976.86,22.92,22.02,90.04,16.47,2.87
Rice,2006,1350.256,24.19,22.02,90.04,16.47,2.64
Rice,2007,1453.256,26.56,22.02,90.04,16.47,2.84
Rice,2008,1863.256,24.21,22.02,90.04,16.47,2.64
Rice,2009,2202.32,25.68,22.02,90.04,16.47,2.88
Rice,2010,1269.568,27.56,22.02,90.04,16.47,3.01
Rice,2011,1197.256,26.65,22.02,90.04,16.47,3.41
Rice,2012,1269.045,24.15,22.02,90.04,16.47,3.72
Rice,2013,1510.214,25.23,22.02,90.04,16.47,3.24
Rice,2014,1073.562,28.89,22.02,90.04,16.47,3.6
Rice,2015,1161.235,27.56,22.02,90.04,16.47,2.2
Rice,2016,1364.526,24.56,22.02,90.04,16.47,3.71
Rice,2017,1533.245,25.68,22.02,90.04,16.47,2.68
Soyabean,1997,1771.634,24.98,22.02,90.04,16.47,1.07
Soyabean,1998,2230.988, 25.21,22.02,90.04,16.47,1
Soyabean,1999,1520.125,24.62,22.02,90.04,16.47,1
Soyabean,2000,1645.762, 24.60,22.02,90.04,16.47,1
Soyabean,2001,1329.86,24.93,22.02,90.04,16.47,1.07
Soyabean,2002,1334.754,25.08,22.02,90.04,16.47,1
Soyabean,2003,1482.25,24.38,22.02,90.04,16.47,1
Soyabean,2004,1943.256,25.27,22.02,90.04,16.47,1
Soyabean,2005,1976.86,22.92,22.02,90.04,16.47,1.07
Soyabean,2006,1350.256,24.19,22.02,90.04,16.47,1
Soyabean,2007,1453.256,26.56,22.02,90.04,16.47,1
Soyabean,2008,1863.256,24.21,22.02,90.04,16.47,1
Soyabean,2009,2202.32,25.68,22.02,90.04,16.47,1.07
Soyabean,2010,1269.568,27.56,22.02,90.04,16.47,1
Soyabean,2011,1197.256,26.65,22.02,90.04,16.47,1
Soyabean,2012,1269.045,24.15,22.02,90.04,16.47,1
Soyabean,2013,1510.214,25.23,22.02,90.04,16.47,1.07
Soyabean,2014,1073.562,28.89,22.02,90.04,16.47,1
Soyabean,2015,1161.235,27.56,22.02,90.04,16.47,1
Soyabean,2016,1364.526,24.56,22.02,90.04,16.47,1
