Crop,Year,Rainfall,Temp,N,P,K,Yield(Tons/Hectre)
Bajra,1998,,,95.75,28.79,9.9,0.91
Bajra,1999,,,95.75,28.79,9.9,1.19
Bajra,2000,,,95.75,28.79,9.9,1.00
Bajra,2001,,,95.75,28.79,9.9,0.66
Bajra,2002,,,95.75,28.79,9.9,1.05
Bajra,2003,,,95.75,28.79,9.9,1.59
Bajra,2004,,,95.75,28.79,9.9,0.91
Bajra,2005,,,95.75,28.79,9.9,1.19
Bajra,2006,,,95.75,28.79,9.9,1.00
Bajra,2007,,,95.75,28.79,9.9,0.66
Bajra,2008,,,95.75,28.79,9.9,1.05
Bajra,2009,,,95.75,28.79,9.9,1.59
Bajra,2010,,,95.75,28.79,9.9,0.91
Bajra,2011,,,95.75,28.79,9.9,1.19
Bajra,2012,,,95.75,28.79,9.9,1.00
Bajra,2013,,,95.75,28.79,9.9,0.66
Bajra,2014,,,95.75,28.79,9.9,1.05
Bajra,2015,,,95.75,28.79,9.9,1.59
Bajra,2016,,,95.75,28.79,9.9,0.91
Bajra,2017,,,95.75,28.79,9.9,1.19
Cotton,1998,,,95.75,28.79,9.9,2.62
Cotton,1999,,,95.75,28.79,9.9,3.06
Cotton,2000,,,95.75,28.79,9.9,2.30
Cotton,2001,,,95.75,28.79,9.9,2.96
Cotton,2002,,,95.75,28.79,9.9,2.73
Cotton,2003,,,95.75,28.79,9.9,1.84
Cotton,2004,,,95.75,28.79,9.9,2.09
Cotton,2005,,,95.75,28.79,9.9,3.50
Cotton,2006,,,95.75,28.79,9.9,2.62
Cotton,2007,,,95.75,28.79,9.9,3.06
Cotton,2008,,,95.75,28.79,9.9,2.30
Cotton,2009,,,95.75,28.79,9.9,2.96
Cotton,2010,,,95.75,28.79,9.9,2.73
Cotton,2011,,,95.75,28.79,9.9,1.84
Cotton,2012,,,95.75,28.79,9.9,2.09
Cotton,2013,,,95.75,28.79,9.9,3.50
Cotton,2014,,,95.75,28.79,9.9,3.18
Cotton,2015,,,95.75,28.79,9.9,3.44
Cotton,2016,,,95.75,28.79,9.9,3.69
Cotton,2017,,,95.75,28.79,9.9,3.95
Groundnut,1998,,,95.75,28.79,9.9,0.92
Groundnut,1999,,,95.75,28.79,9.9,0.65
Groundnut,2000,,,95.75,28.79,9.9,0.46
Groundnut,2001,,,95.75,28.79,9.9,1.02
Groundnut,2002,,,95.75,28.79,9.9,0.60
Groundnut,2003,,,95.75,28.79,9.9,0.46
Groundnut,2004,,,95.75,28.79,9.9,0.89
Groundnut,2005,,,95.75,28.79,9.9,0.52
Groundnut,2006,,,95.75,28.79,9.9,0.87
Groundnut,2007,,,95.75,28.79,9.9,0.33
Groundnut,2008,,,95.75,28.79,9.9,1.29
Groundnut,2009,,,95.75,28.79,9.9,0.92
Groundnut,2010,,,95.75,28.79,9.9,0.65
Groundnut,2011,,,95.75,28.79,9.9,0.46
Groundnut,2012,,,95.75,28.79,9.9,1.02
Groundnut,2013,,,95.75,28.79,9.9,0.60
Groundnut,2014,,,95.75,28.79,9.9,0.46
Groundnut,2015,,,95.75,28.79,9.9,0.89
Groundnut,2016,,,95.75,28.79,9.9,0.52
Groundnut,2017,,,95.75,28.79,9.9,0.87
Jowar,1998,,,95.75,28.79,9.9,1.62
Jowar,1999,,,95.75,28.79,9.9,1.22
Jowar,2000,,,95.75,28.79,9.9,1.42
Jowar,2001,,,95.75,28.79,9.9,1.38
Jowar,2002,,,95.75,28.79,9.9,1.14
Jowar,2003,,,95.75,28.79,9.9,1.16
Jowar,2004,,,95.75,28.79,9.9,1.62
Jowar,2005,,,95.75,28.79,9.9,1.22
Jowar,2006,,,95.75,28.79,9.9,1.42
Jowar,2007,,,95.75,28.79,9.9,1.38
Jowar,2008,,,95.75,28.79,9.9,1.14
Jowar,2009,,,95.75,28.79,9.9,1.16
Jowar,2010,,,95.75,28.79,9.9,1.62
Jowar,2011,,,95.75,28.79,9.9,1.22
Jowar,2012,,,95.75,28.79,9.9,1.42
Jowar,2013,,,95.75,28.79,9.9,1.38
Jowar,2014,,,95.75,28.79,9.9,1.14
Jowar,2015,,,95.75,28.79,9.9,1.16
Jowar,2016,,,95.75,28.79,9.9,1.62
Jowar,2017,,,95.75,28.79,9.9,1.22
Maize,1998,,,95.75,28.79,9.9,1.75
Maize,1999,,,95.75,28.79,9.9,3.53
Maize,2000,,,95.75,28.79,9.9,3.02
Maize,2001,,,95.75,28.79,9.9,2.80
Maize,2002,,,95.75,28.79,9.9,3.25
Maize,2003,,,95.75,28.79,9.9,2.38
Maize,2004,,,95.75,28.79,9.9,2.73
Maize,2005,,,95.75,28.79,9.9,3.09
Maize,2006,,,95.75,28.79,9.9,2.77
Maize,2007,,,95.75,28.79,9.9,2.76
Maize,2008,,,95.75,28.79,9.9,3.73
Maize,2009,,,95.75,28.79,9.9,3.60
Maize,2010,,,95.75,28.79,9.9,2.01
Maize,2011,,,95.75,28.79,9.9,3.36
Maize,2012,,,95.75,28.79,9.9,1.56
Maize,2013,,,95.75,28.79,9.9,1.64
Maize,2014,,,95.75,28.79,9.9,4.94
Maize,2015,,,95.75,28.79,9.9,4.08
Maize,2016,,,95.75,28.79,9.9,4.56
Maize,2017,,,95.75,28.79,9.9,5.04
