Crop,Year,Rainfall,Temp,N,P,K,Yield
Cotton,1997,2662.193, 26.33,95.18,42.79,21.28,1.5
Cotton,1998,2931.677,26.48,95.18,42.79,21.28,1.18
Cotton,1999,2127.181,25.98,95.18,42.79,21.28,1.48
Cotton,2000,2244.44,25.89,95.18,42.79,21.28,0.83
Cotton,2001,1899.461, 26.24,95.18,42.79,21.28,1.14
Cotton,2002,1923.742,26.45,95.18,42.79,21.28,1.04
Cotton,2003,2339.082,24.53,95.18,42.79,21.28,1.23
Cotton,2004,2304.524,25.57,95.18,42.79,21.28,0.83
Cotton,2005,3532.256,27.2,95.18,42.79,21.28,1.1
Cotton,2006,2565.256,28.36,95.18,42.79,21.28,1.81
Cotton,2007,2669.568,27.86,95.18,42.79,21.28,1.13
Cotton,2008,3132.564,25.51,95.18,42.79,21.28,1.39
Cotton,2009,2660.256,24.56,95.18,42.79,21.28,2.33
Cotton,2010,1998.145,25.07,95.18,42.79,21.28,1.15
Cotton,2011,2083.564,25.58,95.18,42.79,21.28,0.82
Cotton,2012,1737.4458,25.2,95.18,42.79,21.28,1.07
Cotton,2013,3012.254,24.35,95.18,42.79,21.28,1.64
Cotton,2014,2343.564,26.34,95.18,42.79,21.28,1.37
Cotton,2015,2084.145,27.58,95.18,42.79,21.28,0.64
Cotton,2016,2300.146,25.35,95.18,42.79,21.28,2.07
Cotton,2017,2761.458,26.56,95.18,42.79,21.28,1.64
Groundnut,1997,2662.193, 26.33,95.18,42.79,21.28,1.24
Groundnut,1998,2931.677,26.48,95.18,42.79,21.28,1.29
Groundnut,1999,2127.181,25.98,95.18,42.79,21.28,0.73
Groundnut,2000,2244.44,25.89,95.18,42.79,21.28,1.29
Groundnut,2001,1899.461, 26.24,95.18,42.79,21.28,0.89
Groundnut,2002,1923.742,26.45,95.18,42.79,21.28,0.71
Groundnut,2003,2339.082,24.53,95.18,42.79,21.28,0.64
Groundnut,2004,2304.524,25.57,95.18,42.79,21.28,0.69
Groundnut,2005,3532.256,27.2,95.18,42.79,21.28,0.84
Groundnut,2006,2565.256,28.36,95.18,42.79,21.28,0.48
Groundnut,2007,2669.568,27.86,95.18,42.79,21.28,0.72
Groundnut,2008,3132.564,25.51,95.18,42.79,21.28,0.95
Groundnut,2009,2660.256,24.56,95.18,42.79,21.28,1.01
Groundnut,2010,1998.145,25.07,95.18,42.79,21.28,0.93
Groundnut,2011,2083.564,25.58,95.18,42.79,21.28,1.13
Groundnut,2012,1737.4458,25.2,95.18,42.79,21.28,0.56
Groundnut,2013,3012.254,24.35,95.18,42.79,21.28,0.76
Groundnut,2014,2343.564,26.34,95.18,42.79,21.28,0.8
