Crop,Year,Rainfall,Temp,N,P,K,Yield(Tons/Hectre)
Bajra,1998,,,37.26,85.21,0.5,0.36
Bajra,1999,,,37.26,85.21,0.5,0.44
Bajra,2000,,,37.26,85.21,0.5,1.07
Bajra,2001,,,37.26,85.21,0.5,1.13
Bajra,2002,,,37.26,85.21,0.5,1.00
Bajra,2003,,,37.26,85.21,0.5,0.36
Bajra,2004,,,37.26,85.21,0.5,0.44
Bajra,2005,,,37.26,85.21,0.5,1.07
Bajra,2006,,,37.26,85.21,0.5,1.13
Bajra,2007,,,37.26,85.21,0.5,1.00
Bajra,2008,,,37.26,85.21,0.5,0.36
Bajra,2009,,,37.26,85.21,0.5,0.44
Bajra,2010,,,37.26,85.21,0.5,1.07
Bajra,2011,,,37.26,85.21,0.5,1.13
Bajra,2012,,,37.26,85.21,0.5,1.00
Bajra,2013,,,37.26,85.21,0.5,0.36
Bajra,2014,,,37.26,85.21,0.5,0.44
Bajra,2015,,,37.26,85.21,0.5,1.07
Bajra,2016,,,37.26,85.21,0.5,1.13
Bajra,2017,,,37.26,85.21,0.5,1.00
Cotton,1998,,,37.26,85.21,0.5,1.85
Cotton,1999,,,37.26,85.21,0.5,0.71
Cotton,2000,,,37.26,85.21,0.5,1.28
Cotton,2001,,,37.26,85.21,0.5,0.47
Cotton,2002,,,37.26,85.21,0.5,0.43
Cotton,2003,,,37.26,85.21,0.5,0.59
Cotton,2004,,,37.26,85.21,0.5,0.82
Cotton,2005,,,37.26,85.21,0.5,0.93
Cotton,2006,,,37.26,85.21,0.5,1.16
Cotton,2007,,,37.26,85.21,0.5,1.26
Cotton,2008,,,37.26,85.21,0.5,1.66
Cotton,2009,,,37.26,85.21,0.5,1.56
Cotton,2010,,,37.26,85.21,0.5,2.16
Cotton,2011,,,37.26,85.21,0.5,1.82
Cotton,2012,,,37.26,85.21,0.5,1.45
Cotton,2013,,,37.26,85.21,0.5,1.32
Cotton,2014,,,37.26,85.21,0.5,2.09
Cotton,2015,,,37.26,85.21,0.5,0.95
Cotton,2016,,,37.26,85.21,0.5,1.39
Cotton,2017,,,37.26,85.21,0.5,1.82
Groundnut,1998,,,37.26,85.21,0.5,0.63
Groundnut,1999,,,37.26,85.21,0.5,1.00
Groundnut,2000,,,37.26,85.21,0.5,0.72
Groundnut,2001,,,37.26,85.21,0.5,1.13
Groundnut,2002,,,37.26,85.21,0.5,0.39
Groundnut,2003,,,37.26,85.21,0.5,0.70
Groundnut,2004,,,37.26,85.21,0.5,0.13
Groundnut,2005,,,37.26,85.21,0.5,1.26
Groundnut,2006,,,37.26,85.21,0.5,0.47
Groundnut,2007,,,37.26,85.21,0.5,0.65
Groundnut,2008,,,37.26,85.21,0.5,0.81
Groundnut,2009,,,37.26,85.21,0.5,0.46
Groundnut,2010,,,37.26,85.21,0.5,0.94
Groundnut,2011,,,37.26,85.21,0.5,1.36
Groundnut,2012,,,37.26,85.21,0.5,0.85
Groundnut,2013,,,37.26,85.21,0.5,0.57
Groundnut,2014,,,37.26,85.21,0.5,0.88
Groundnut,2015,,,37.26,85.21,0.5,0.82
Groundnut,2016,,,37.26,85.21,0.5,0.48
Groundnut,2017,,,37.26,85.21,0.5,0.50
Jowar,1998,,,37.26,85.21,0.5,1.30
Jowar,1999,,,37.26,85.21,0.5,1.28
Jowar,2000,,,37.26,85.21,0.5,1.12
Jowar,2001,,,37.26,85.21,0.5,1.11
Jowar,2002,,,37.26,85.21,0.5,0.57
Jowar,2003,,,37.26,85.21,0.5,0.80
Jowar,2004,,,37.26,85.21,0.5,0.39
Jowar,2005,,,37.26,85.21,0.5,0.70
Jowar,2006,,,37.26,85.21,0.5,0.83
Jowar,2007,,,37.26,85.21,0.5,0.67
Jowar,2008,,,37.26,85.21,0.5,1.08
Jowar,2009,,,37.26,85.21,0.5,0.82
Jowar,2010,,,37.26,85.21,0.5,0.79
Jowar,2011,,,37.26,85.21,0.5,0.93
Jowar,2012,,,37.26,85.21,0.5,0.66
Jowar,2013,,,37.26,85.21,0.5,0.59
Jowar,2014,,,37.26,85.21,0.5,0.84
Jowar,2015,,,37.26,85.21,0.5,0.80
Jowar,2016,,,37.26,85.21,0.5,0.29
Jowar,2017,,,37.26,85.21,0.5,0.20
Maize,1998,,,37.26,85.21,0.5,2.58
Maize,1999,,,37.26,85.21,0.5,3.52
Maize,2000,,,37.26,85.21,0.5,2.80
Maize,2001,,,37.26,85.21,0.5,3.34
Maize,2002,,,37.26,85.21,0.5,1.58
Maize,2003,,,37.26,85.21,0.5,1.98
Maize,2004,,,37.26,85.21,0.5,1.09
Maize,2005,,,37.26,85.21,0.5,2.11
Maize,2006,,,37.26,85.21,0.5,3.16
Maize,2007,,,37.26,85.21,0.5,3.99
Maize,2008,,,37.26,85.21,0.5,2.16
Maize,2009,,,37.26,85.21,0.5,2.29
Maize,2010,,,37.26,85.21,0.5,2.26
Maize,2011,,,37.26,85.21,0.5,3.02
Maize,2012,,,37.26,85.21,0.5,2.99
Maize,2013,,,37.26,85.21,0.5,2.10
Maize,2014,,,37.26,85.21,0.5,2.41
Maize,2015,,,37.26,85.21,0.5,2.68
Maize,2016,,,37.26,85.21,0.5,2.74
Maize,2017,,,37.26,85.21,0.5,1.89
Rice,1998,,,37.26,85.21,0.5,1.15
Rice,1999,,,37.26,85.21,0.5,0.91
Rice,2000,,,37.26,85.21,0.5,0.96
Rice,2001,,,37.26,85.21,0.5,1.38
Rice,2002,,,37.26,85.21,0.5,0.21
Rice,2003,,,37.26,85.21,0.5,0.20
Rice,2004,,,37.26,85.21,0.5,0.22
Rice,2005,,,37.26,85.21,0.5,0.66
Rice,2006,,,37.26,85.21,0.5,1.73
Rice,2007,,,37.26,85.21,0.5,1.33
Rice,2008,,,37.26,85.21,0.5,1.74
Rice,2009,,,37.26,85.21,0.5,0.85
Rice,2010,,,37.26,85.21,0.5,1.15
Rice,2011,,,37.26,85.21,0.5,1.21
Rice,2012,,,37.26,85.21,0.5,1.01
Rice,2013,,,37.26,85.21,0.5,0.88
Rice,2014,,,37.26,85.21,0.5,1.12
Rice,2015,,,37.26,85.21,0.5,1.59
