Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Bajra,1997,1256.84,25.64,88.2,70.61,98.97,0.5
Bajra,1998,1247.022,25.88,88.2,70.61,98.97,0.38
Bajra,1999,1111.59, 25.36,88.2,70.61,98.97,0.51
Bajra,2000,1243.124, 25.35,88.2,70.61,98.97,0.53
Bajra,2001,836.128,25.62,88.2,70.61,98.97,0.58
Bajra,2002,925.145, 25.87,88.2,70.61,98.97,0.46
Bajra,2003,1282.365,22.87,88.2,70.61,98.97,0.59
Bajra,2004,1161.556,24.36,88.2,70.61,98.97,0.89
Bajra,2005,865.565,26.9,88.2,70.61,98.97,0.44
Bajra,2006,1531.564,28.45,88.2,70.61,98.97,1.64
Bajra,2007,1418.256,25.69,88.2,70.61,98.97,0.57
Bajra,2008,1049.565,24.25,88.2,70.61,98.97,0.51
Bajra,2009,1478.245,24.57,88.2,70.61,98.97,0.64
Bajra,2010,1380.457,26.89,88.2,70.61,98.97,0.57
Bajra,2011,914.478,23.77,88.2,70.61,98.97,0.78
Bajra,2012,1468.154,22.45,88.2,70.61,98.97,0.78
Bajra,2013,1110.234,26.87,88.2,70.61,98.97,0.59
Bajra,2014,1468.568,24.21,88.2,70.61,98.97,0.38
Bajra,2015,1101.456,28.56,88.2,70.61,98.97,0.68
Bajra,2016,1731.245,25.65,88.2,70.61,98.97,1.33
Bajra,2017,1296.854,24.78,88.2,70.61,98.97,0.38
Cotton,1997,1256.84,25.64,88.2,70.61,98.97,1.11
Cotton,1998,1247.022,25.88,88.2,70.61,98.97,0.72
Cotton,1999,1111.59, 25.36,88.2,70.61,98.97,1.44
Cotton,2000,1243.124, 25.35,88.2,70.61,98.97,0.65
Cotton,2001,836.128,25.62,88.2,70.61,98.97,0.45
Cotton,2002,925.145, 25.87,88.2,70.61,98.97,0.2
Cotton,2003,1282.365,22.87,88.2,70.61,98.97,0.71
Cotton,2004,1161.556,24.36,88.2,70.61,98.97,0.8
Cotton,2005,865.565,26.9,88.2,70.61,98.97,0.47
Cotton,2006,1531.564,28.45,88.2,70.61,98.97,1.55
Cotton,2007,1418.256,25.69,88.2,70.61,98.97,2.28
Cotton,2008,1049.565,24.25,88.2,70.61,98.97,1.32
Cotton,2009,1478.245,24.57,88.2,70.61,98.97,2.31
Cotton,2010,1380.457,26.89,88.2,70.61,98.97,1.75
Cotton,2011,914.478,23.77,88.2,70.61,98.97,1.59
Cotton,2012,1468.154,22.45,88.2,70.61,98.97,3.91
Cotton,2013,1110.234,26.87,88.2,70.61,98.97,3.06
Cotton,2014,1468.568,24.21,88.2,70.61,98.97,1.98
Cotton,2015,1101.456,28.56,88.2,70.61,98.97,1.87
Cotton,2016,1731.245,25.65,88.2,70.61,98.97,4.02
Cotton,2017,1296.854,24.78,88.2,70.61,98.97,1.92
Groundnut,1997,1256.84,25.64,88.2,70.61,98.97,0.7
Groundnut,1998,1247.022,25.88,88.2,70.61,98.97,0.35
Groundnut,1999,1111.59, 25.36,88.2,70.61,98.97,0.54
Groundnut,2000,1243.124, 25.35,88.2,70.61,98.97,0.27
Groundnut,2001,836.128,25.62,88.2,70.61,98.97,0.2
Groundnut,2002,925.145, 25.87,88.2,70.61,98.97,0.5
Groundnut,2003,1282.365,22.87,88.2,70.61,98.97,0.35
Groundnut,2004,1161.556,24.36,88.2,70.61,98.97,0.29
Groundnut,2005,865.565,26.9,88.2,70.61,98.97,0.55
Groundnut,2006,1531.564,28.45,88.2,70.61,98.97,0.4
Groundnut,2007,1418.256,25.69,88.2,70.61,98.97,0.36
Groundnut,2008,1049.565,24.25,88.2,70.61,98.97,0.76
Groundnut,2009,1478.245,24.57,88.2,70.61,98.97,0.76
Groundnut,2010,1380.457,26.89,88.2,70.61,98.97,0.72
Groundnut,2011,914.478,23.77,88.2,70.61,98.97,0.84
Groundnut,2012,1468.154,22.45,88.2,70.61,98.97,0.84
Groundnut,2013,1110.234,26.87,88.2,70.61,98.97,0.52
Groundnut,2014,1468.568,24.21,88.2,70.61,98.97,0.6
Groundnut,2015,1101.456,28.56,88.2,70.61,98.97,0.89
Groundnut,2016,1731.245,25.65,88.2,70.61,98.97,0.52
Groundnut,2017,1296.854,24.78,88.2,70.61,98.97,0.4
Jowar,1997,1256.84,25.64,88.2,70.61,98.97,0.67
Jowar,1998,1247.022,25.88,88.2,70.61,98.97,0.53
Jowar,1999,1111.59, 25.36,88.2,70.61,98.97,0.61
Jowar,2000,1243.124, 25.35,88.2,70.61,98.97,0.5
Jowar,2001,836.128,25.62,88.2,70.61,98.97,0.32
Jowar,2002,925.145, 25.87,88.2,70.61,98.97,0.13
Jowar,2003,1282.365,22.87,88.2,70.61,98.97,0.67
Jowar,2004,1161.556,24.36,88.2,70.61,98.97,0.78
Jowar,2005,865.565,26.9,88.2,70.61,98.97,0.39
Jowar,2006,1531.564,28.45,88.2,70.61,98.97,1.02
Jowar,2007,1418.256,25.69,88.2,70.61,98.97,0.97
Jowar,2008,1049.565,24.25,88.2,70.61,98.97,0.77
Jowar,2009,1478.245,24.57,88.2,70.61,98.97,0.62
Jowar,2010,1380.457,26.89,88.2,70.61,98.97,0.65
Jowar,2011,914.478,23.77,88.2,70.61,98.97,0.81
Jowar,2012,1468.154,22.45,88.2,70.61,98.97,0.98
Jowar,2013,1110.234,26.87,88.2,70.61,98.97,0.5
Jowar,2014,1468.568,24.21,88.2,70.61,98.97,0.3
Jowar,2015,1101.456,28.56,88.2,70.61,98.97,0.71
Jowar,2016,1731.245,25.65,88.2,70.61,98.97,0.5
Jowar,2017,1296.854,24.78,88.2,70.61,98.97,1.02
Rice,1997,1256.84,25.64,88.2,70.61,98.97,2.46
Rice,1998,1247.022,25.88,88.2,70.61,98.97,2.49
Rice,1999,1111.59, 25.36,88.2,70.61,98.97,2.42
Rice,2000,1243.124, 25.35,88.2,70.61,98.97,2.13
Rice,2001,836.128,25.62,88.2,70.61,98.97,2.17
Rice,2002,925.145, 25.87,88.2,70.61,98.97,2.56
Rice,2003,1282.365,22.87,88.2,70.61,98.97,3.04
Rice,2004,1161.556,24.36,88.2,70.61,98.97,4.3
Rice,2005,865.565,26.9,88.2,70.61,98.97,2.3
Rice,2006,1531.564,28.45,88.2,70.61,98.97,2.48
Rice,2007,1418.256,25.69,88.2,70.61,98.97,1.4
Rice,2008,1049.565,24.25,88.2,70.61,98.97,1.85
Rice,2009,1478.245,24.57,88.2,70.61,98.97,2.81
Rice,2010,1380.457,26.89,88.2,70.61,98.97,2.58
Rice,2011,914.478,23.77,88.2,70.61,98.97,2.39
Rice,2012,1468.154,22.45,88.2,70.61,98.97,2.76
Rice,2013,1110.234,26.87,88.2,70.61,98.97,2.94
Rice,2014,1468.568,24.21,88.2,70.61,98.97,3.27
Rice,2015,1101.456,28.56,88.2,70.61,98.97,2.36
Rice,2016,1731.245,25.65,88.2,70.61,98.97,3.13
Rice,2017,1296.854,24.78,88.2,70.61,98.97,2.58
Soyabean,1997,1256.84,25.64,88.2,70.61,98.97,1.08
Soyabean,1998,1247.022,25.88,88.2,70.61,98.97,0.63
Soyabean,1999,1111.59, 25.36,88.2,70.61,98.97,0.56
Soyabean,2000,1243.124, 25.35,88.2,70.61,98.97,0.74
Soyabean,2001,836.128,25.62,88.2,70.61,98.97,0.8
Soyabean,2002,925.145, 25.87,88.2,70.61,98.97,0.67
Soyabean,2003,1282.365,22.87,88.2,70.61,98.97,0.5
Soyabean,2004,1161.556,24.36,88.2,70.61,98.97,0.5
Soyabean,2005,865.565,26.9,88.2,70.61,98.97,0.67
Soyabean,2006,1531.564,28.45,88.2,70.61,98.97,1.5
Soyabean,2007,1418.256,25.69,88.2,70.61,98.97,1.08
Soyabean,2008,1049.565,24.25,88.2,70.61,98.97,0.63
Soyabean,2009,1478.245,24.57,88.2,70.61,98.97,0.56
Soyabean,2010,1380.457,26.89,88.2,70.61,98.97,0.74
Soyabean,2011,914.478,23.77,88.2,70.61,98.97,0.8
Soyabean,2012,1468.154,22.45,88.2,70.61,98.97,0.67
Soyabean,2013,1110.234,26.87,88.2,70.61,98.97,0.5
Soyabean,2014,1468.568,24.21,88.2,70.61,98.97,0.5
Soyabean,2015,1101.456,28.56,88.2,70.61,98.97,0.67
Soyabean,2016,1731.245,25.65,88.2,70.61,98.97,1.5
Sugarcane,1997,1296.854,24.78,88.2,70.61,98.97,100.7
Sugarcane,1998,1247.022,25.88,88.2,70.61,98.97,102.6
Sugarcane,1999,1111.59, 25.36,88.2,70.61,98.97,80.75
Sugarcane,2000,1243.124, 25.35,88.2,70.61,98.97,84.55
Sugarcane,2001,836.128,25.62,88.2,70.61,98.97,65.55
Sugarcane,2002,925.145, 25.87,88.2,70.61,98.97,88.34
Sugarcane,2003,1282.365,22.87,88.2,70.61,98.97,87.4
Sugarcane,2004,1161.556,24.36,88.2,70.61,98.97,84.55
Sugarcane,2005,865.565,26.9,88.2,70.61,98.97,86.45
Sugarcane,2006,1531.564,28.45,88.2,70.61,98.97,95.95
Sugarcane,2007,1418.256,25.69,88.2,70.61,98.97,96.9
Sugarcane,2008,1049.565,24.25,88.2,70.61,98.97,91.2
Sugarcane,2009,1478.245,24.57,88.2,70.61,98.97,83.6
Sugarcane,2010,1380.457,26.89,88.2,70.61,98.97,93.1
Sugarcane,2011,914.478,23.77,88.2,70.61,98.97,105.45
Sugarcane,2012,1468.154,22.45,88.2,70.61,98.97,56.05
Sugarcane,2013,1110.234,26.87,88.2,70.61,98.97,68.4
Sugarcane,2014,1468.568,24.21,88.2,70.61,98.97,86.45
Sugarcane,2015,1101.456,28.56,88.2,70.61,98.97,95.95
Sugarcane,2016,1731.245,25.65,88.2,70.61,98.97,68.4
Sugarcane,2017,1296.854,24.78,88.2,70.61,98.97,105.45
Wheat,1997,1256.84,25.64,88.2,70.61,98.97,0.71
Wheat,1998,1247.022,25.88,88.2,70.61,98.97,0.62
Wheat,1999,1111.59, 25.36,88.2,70.61,98.97,0.51
Wheat,2000,1243.124, 25.35,88.2,70.61,98.97,0.32
Wheat,2001,836.128,25.62,88.2,70.61,98.97,0.21
