Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Bajra,1997,657.689,27.69,96.71,20.61,20.64,0.59
Bajra,1998,757.61,28.16,96.71,20.61,20.64,0.64
Bajra,1999,568.029,27.4,96.71,20.61,20.64,0.72
Bajra,2000,733.168,27.42,96.71,20.61,20.64,0.9
Bajra,2001,601.898, 27.76,96.71,20.61,20.64,0.7
Bajra,2002,525.402,27.85,96.71,20.61,20.64,0.76
Bajra,2003,,,96.71,20.61,20.64,0.72
Bajra,2004,,,96.71,20.61,20.64,0.79
Bajra,2005,,,96.71,20.61,20.64,0.97
Bajra,2006,,,96.71,20.61,20.64,0.66
Bajra,2007,,,96.71,20.61,20.64,0.66
Bajra,2008,,,96.71,20.61,20.64,0.78
Bajra,2009,,,96.71,20.61,20.64,0.8
Bajra,2010,,,96.71,20.61,20.64,0.57
Bajra,2011,,,96.71,20.61,20.64,0.73
Bajra,2012,,,96.71,20.61,20.64,0.8
Bajra,2013,,,96.71,20.61,20.64,1.09
Bajra,2014,,,96.71,20.61,20.64,1.33
Bajra,2015,,,96.71,20.61,20.64,1.16
Bajra,2016,,,96.71,20.61,20.64,0.65
Bajra,2017,,,96.71,20.61,20.64,2.65
Cotton,1997,657.689,27.69,96.71,20.61,20.64,1.92
Cotton,1998,757.61,28.16,96.71,20.61,20.64,1.55
Cotton,1999,568.029,27.4,96.71,20.61,20.64,2.66
Cotton,2000,733.168,27.42,96.71,20.61,20.64,1.9
Cotton,2001,601.898, 27.76,96.71,20.61,20.64,2.63
Cotton,2002,525.402,27.85,96.71,20.61,20.64,2.81
Cotton,2003,,,96.71,20.61,20.64,2.65
Cotton,2004,,,96.71,20.61,20.64,3.61
Cotton,2005,,,96.71,20.61,20.64,3.61
Cotton,2006,,,96.71,20.61,20.64,4.08
Cotton,2007,,,96.71,20.61,20.64,3.64
Cotton,2008,,,96.71,20.61,20.64,2.36
Cotton,2009,,,96.71,20.61,20.64,2.78
Cotton,2010,,,96.71,20.61,20.64,4.05
Cotton,2011,,,96.71,20.61,20.64,2.3
Cotton,2012,,,96.71,20.61,20.64,5.7
Cotton,2013,,,96.71,20.61,20.64,4.09
Cotton,2014,,,96.71,20.61,20.64,2.1
Cotton,2015,,,96.71,20.61,20.64,3.27
Cotton,2016,,,96.71,20.61,20.64,5.21
Cotton,2017,,,96.71,20.61,20.64,2.3
Groundnut,1997,657.689,27.69,96.71,20.61,20.64,0.89
Groundnut,1998,757.61,28.16,96.71,20.61,20.64,0.61
Groundnut,1999,568.029,27.4,96.71,20.61,20.64,0.68
Groundnut,2000,733.168,27.42,96.71,20.61,20.64,0.75
Groundnut,2001,601.898, 27.76,96.71,20.61,20.64,0.79
Groundnut,2002,525.402,27.85,96.71,20.61,20.64,0.98
Groundnut,2003,,,96.71,20.61,20.64,0.82
Groundnut,2004,,,96.71,20.61,20.64,0.69
Groundnut,2005,,,96.71,20.61,20.64,0.81
Groundnut,2006,,,96.71,20.61,20.64,0.47
Groundnut,2007,,,96.71,20.61,20.64,0.75
Groundnut,2008,,,96.71,20.61,20.64,0.65
Groundnut,2009,,,96.71,20.61,20.64,0.65
Groundnut,2010,,,96.71,20.61,20.64,0.61
Groundnut,2011,,,96.71,20.61,20.64,0.68
Groundnut,2012,,,96.71,20.61,20.64,0.89
Groundnut,2013,,,96.71,20.61,20.64,0.71
Groundnut,2014,,,96.71,20.61,20.64,0.77
Groundnut,2015,,,96.71,20.61,20.64,0.57
Groundnut,2016,,,96.71,20.61,20.64,1.25
Groundnut,2017,,,96.71,20.61,20.64,1.29
Jowar,1997,657.689,27.69,96.71,20.61,20.64,0.42
Jowar,1998,757.61,28.16,96.71,20.61,20.64,0.63
Jowar,1999,568.029,27.4,96.71,20.61,20.64,0.77
Jowar,2000,733.168,27.42,96.71,20.61,20.64,0.73
Jowar,2001,601.898, 27.76,96.71,20.61,20.64,0.76
Jowar,2002,525.402,27.85,96.71,20.61,20.64,0.78
Jowar,2003,,,96.71,20.61,20.64,0.59
Jowar,2004,,,96.71,20.61,20.64,0.73
Jowar,2005,,,96.71,20.61,20.64,0.91
Jowar,2006,,,96.71,20.61,20.64,0.79
Jowar,2007,,,96.71,20.61,20.64,1
Jowar,2008,,,96.71,20.61,20.64,1.02
Jowar,2009,,,96.71,20.61,20.64,0.98
Jowar,2010,,,96.71,20.61,20.64,0.83
Jowar,2011,,,96.71,20.61,20.64,0.93
Jowar,2012,,,96.71,20.61,20.64,1.1
Jowar,2013,,,96.71,20.61,20.64,1.27
Jowar,2014,,,96.71,20.61,20.64,1.14
Jowar,2015,,,96.71,20.61,20.64,0.6
Jowar,2016,,,96.71,20.61,20.64,1.52
Jowar,2017,,,96.71,20.61,20.64,1.31
Rice,1997,657.689,27.69,96.71,20.61,20.64,1.98
Rice,1998,757.61,28.16,96.71,20.61,20.64,1.86
Rice,1999,568.029,27.4,96.71,20.61,20.64,2.15
Rice,2000,733.168,27.42,96.71,20.61,20.64,1.9
Rice,2001,601.898, 27.76,96.71,20.61,20.64,1.57
Rice,2002,525.402,27.85,96.71,20.61,20.64,2.13
Rice,2003,,,96.71,20.61,20.64,2.88
Rice,2004,,,96.71,20.61,20.64,3.26
Rice,2005,,,96.71,20.61,20.64,2.77
Rice,2006,,,96.71,20.61,20.64,2.16
Rice,2007,,,96.71,20.61,20.64,2.46
Rice,2008,,,96.71,20.61,20.64,2.34
Rice,2009,,,96.71,20.61,20.64,2.27
Rice,2010,,,96.71,20.61,20.64,2.11
Rice,2011,,,96.71,20.61,20.64,1.57
Rice,2012,,,96.71,20.61,20.64,1.6
Rice,2013,,,96.71,20.61,20.64,2.56
Rice,2014,,,96.71,20.61,20.64,1.39
Rice,2015,,,96.71,20.61,20.64,2.09
Rice,2016,,,96.71,20.61,20.64,3.68
Rice,2017,,,96.71,20.61,20.64,2.95
Soyabean,1997,657.689,27.69,96.71,20.61,20.64,1
Soyabean,1998,757.61,28.16,96.71,20.61,20.64,0.91
Soyabean,1999,568.029,27.4,96.71,20.61,20.64,1.03
Soyabean,2000,733.168,27.42,96.71,20.61,20.64,0.81
Soyabean,2001,601.898, 27.76,96.71,20.61,20.64,0.81
Soyabean,2002,525.402,27.85,96.71,20.61,20.64,0.48
Soyabean,2003,,,96.71,20.61,20.64,0.62
Soyabean,2004,,,96.71,20.61,20.64,0.56
Soyabean,2005,,,96.71,20.61,20.64,0.74
Soyabean,2006,,,96.71,20.61,20.64,0.82
Soyabean,2007,,,96.71,20.61,20.64,0.69
Soyabean,2008,,,96.71,20.61,20.64,0.1
Soyabean,2009,,,96.71,20.61,20.64,0.37
Soyabean,2010,,,96.71,20.61,20.64,0.37
