Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Bajra,1997,2005.748, 25.596,72.19,26.88,10.42,0.66
Bajra,1998,2184.974,25.76,72.19,26.88,10.42,0.54
Bajra,1999,1761.816,25.29,72.19,26.88,10.42,0.76
Bajra,2000,1873.395, 25.27,72.19,26.88,10.42,0.5
Bajra,2001,1244.919,26.59,72.19,26.88,10.42,0.36
Bajra,2002,1473.343,24.56,72.19,26.88,10.42,0.58
Bajra,2003,1892.526,23.34,72.19,26.88,10.42,0.54
Bajra,2004,1889.758,24.42,72.19,26.88,10.42,0.85
Bajra,2005,2356.564,25.67,72.19,26.88,10.42,0.41
Bajra,2006,2052.256,28.68,72.19,26.88,10.42,0.72
Bajra,2007,1907.145,39.65,72.19,26.88,10.42,0.53
Bajra,2008,2050.356,27.65,72.19,26.88,10.42,0
Bajra,2009,2319.564,27.81,72.19,26.88,10.42,0.86
Bajra,2010,1928.254,27.65,72.19,26.88,10.42,1.03
Bajra,2011,1654.266,25.34,72.19,26.88,10.42,1
Bajra,2012,2182.256,24.78,72.19,26.88,10.42,0.5
Bajra,2013,2104.656,24.47,72.19,26.88,10.42,0.36
Bajra,2014,1342.562,24.93,72.19,26.88,10.42,0.58
Bajra,2015,1984.657,25.65,72.19,26.88,10.42,0.5
Bajra,2016,2168.157,23.33,72.19,26.88,10.42,0.36
Bajra,2017,2054.256,29.25,72.19,26.88,10.42,0.58
Cotton,1997,2005.748, 25.596,72.19,26.88,10.42,1.16
Cotton,1998,2184.974,25.76,72.19,26.88,10.42,0.91
Cotton,1999,1761.816,25.29,72.19,26.88,10.42,1.78
Cotton,2000,1873.395, 25.27,72.19,26.88,10.42,0.98
Cotton,2001,1244.919,26.59,72.19,26.88,10.42,0.83
Cotton,2002,1473.343,24.56,72.19,26.88,10.42,0.66
Cotton,2003,1892.526,23.34,72.19,26.88,10.42,1.46
Cotton,2004,1889.758,24.42,72.19,26.88,10.42,1.61
Cotton,2005,2356.564,25.67,72.19,26.88,10.42,1.7
Cotton,2006,2052.256,28.68,72.19,26.88,10.42,1.94
Cotton,2007,1907.145,39.65,72.19,26.88,10.42,1.78
Cotton,2008,2050.356,27.65,72.19,26.88,10.42,1.31
Cotton,2009,2319.564,27.81,72.19,26.88,10.42,2.68
Cotton,2010,1928.254,27.65,72.19,26.88,10.42,2.88
Cotton,2011,1654.266,25.34,72.19,26.88,10.42,2.22
Cotton,2012,2182.256,24.78,72.19,26.88,10.42,1.99
Cotton,2013,2104.656,24.47,72.19,26.88,10.42,2.12
Cotton,2014,1342.562,24.93,72.19,26.88,10.42,1.27
Cotton,2015,1984.657,25.65,72.19,26.88,10.42,2.98
Cotton,2016,2168.157,23.33,72.19,26.88,10.42,2.12
Cotton,2017,2054.256,29.25,72.19,26.88,10.42,2.98
Groundnut,1997,2005.748, 25.596,72.19,26.88,10.42,1.19
Groundnut,1998,2184.974,25.76,72.19,26.88,10.42,0.88
Groundnut,1999,1761.816,25.29,72.19,26.88,10.42,1.21
Groundnut,2000,1873.395, 25.27,72.19,26.88,10.42,0.49
Groundnut,2001,1244.919,26.59,72.19,26.88,10.42,0.48
Groundnut,2002,1473.343,24.56,72.19,26.88,10.42,0.72
Groundnut,2003,1892.526,23.34,72.19,26.88,10.42,0.57
Groundnut,2004,1889.758,24.42,72.19,26.88,10.42,0.7
Groundnut,2005,2356.564,25.67,72.19,26.88,10.42,0.78
Groundnut,2006,2052.256,28.68,72.19,26.88,10.42,0.63
Groundnut,2007,1907.145,39.65,72.19,26.88,10.42,0.68
Groundnut,2008,2050.356,27.65,72.19,26.88,10.42,1.19
Groundnut,2009,2319.564,27.81,72.19,26.88,10.42,1.05
Groundnut,2010,1928.254,27.65,72.19,26.88,10.42,0.61
Groundnut,2011,1654.266,25.34,72.19,26.88,10.42,1.41
Groundnut,2012,2182.256,24.78,72.19,26.88,10.42,1.27
Groundnut,2013,2104.656,24.47,72.19,26.88,10.42,0.84
Groundnut,2014,1342.562,24.93,72.19,26.88,10.42,0.74
Groundnut,2015,1984.657,25.65,72.19,26.88,10.42,1.29
Groundnut,2016,2168.157,23.33,72.19,26.88,10.42,1.05
Groundnut,2017,2054.256,29.25,72.19,26.88,10.42,1.41
Jowar,1997,2005.748, 25.596,72.19,26.88,10.42,1.27
Jowar,1998,2184.974,25.76,72.19,26.88,10.42,1.11
Jowar,1999,1761.816,25.29,72.19,26.88,10.42,1.32
Jowar,2000,1873.395, 25.27,72.19,26.88,10.42,0.65
Jowar,2001,1244.919,26.59,72.19,26.88,10.42,0.5
Jowar,2002,1473.343,24.56,72.19,26.88,10.42,0.26
Jowar,2003,1892.526,23.34,72.19,26.88,10.42,1.05
Jowar,2004,1889.758,24.42,72.19,26.88,10.42,1.09
Jowar,2005,2356.564,25.67,72.19,26.88,10.42,1.05
Jowar,2006,2052.256,28.68,72.19,26.88,10.42,1.23
Jowar,2007,1907.145,39.65,72.19,26.88,10.42,1.02
Jowar,2008,2050.356,27.65,72.19,26.88,10.42,0.78
Jowar,2009,2319.564,27.81,72.19,26.88,10.42,1.3
Jowar,2010,1928.254,27.65,72.19,26.88,10.42,0.93
Jowar,2011,1654.266,25.34,72.19,26.88,10.42,0.67
Jowar,2012,2182.256,24.78,72.19,26.88,10.42,1.07
Jowar,2013,2104.656,24.47,72.19,26.88,10.42,1.11
Jowar,2014,1342.562,24.93,72.19,26.88,10.42,0.74
Jowar,2015,1984.657,25.65,72.19,26.88,10.42,0.33
Jowar,2016,2168.157,23.33,72.19,26.88,10.42,0.73
Jowar,2017,2054.256,29.25,72.19,26.88,10.42,0.74
Rice,1997,2005.748, 25.596,72.19,26.88,10.42,1.7
Rice,1998,2184.974,25.76,72.19,26.88,10.42,2.07
Rice,1999,1761.816,25.29,72.19,26.88,10.42,0.53
Rice,2000,1873.395, 25.27,72.19,26.88,10.42,0.48
Rice,2001,1244.919,26.59,72.19,26.88,10.42,0.8
Rice,2002,1473.343,24.56,72.19,26.88,10.42,1.57
Rice,2003,1892.526,23.34,72.19,26.88,10.42,2.23
Rice,2004,1889.758,24.42,72.19,26.88,10.42,2.01
Rice,2005,2356.564,25.67,72.19,26.88,10.42,2.49
Rice,2006,2052.256,28.68,72.19,26.88,10.42,1.39
Rice,2007,1907.145,39.65,72.19,26.88,10.42,1.2
Rice,2008,2050.356,27.65,72.19,26.88,10.42,2.1
Rice,2009,2319.564,27.81,72.19,26.88,10.42,2.39
Rice,2010,1928.254,27.65,72.19,26.88,10.42,0.92
Rice,2011,1654.266,25.34,72.19,26.88,10.42,2.52
Rice,2012,2182.256,24.78,72.19,26.88,10.42,2.56
Rice,2013,2104.656,24.47,72.19,26.88,10.42,1.22
Rice,2014,1342.562,24.93,72.19,26.88,10.42,1.14
Rice,2015,1984.657,25.65,72.19,26.88,10.42,1.95
Rice,2016,2168.157,23.33,72.19,26.88,10.42,2.39
Rice,2017,2054.256,29.25,72.19,26.88,10.42,1.39
Soyabean,1997,2005.748, 25.596,72.19,26.88,10.42,1.08
Soyabean,1998,2184.974,25.76,72.19,26.88,10.42,0.91
Soyabean,1999,1761.816,25.29,72.19,26.88,10.42,1.04
Soyabean,2000,1873.395, 25.27,72.19,26.88,10.42,0.83
Soyabean,2001,1244.919,26.59,72.19,26.88,10.42,0.83
Soyabean,2002,1473.343,24.56,72.19,26.88,10.42,0.48
Soyabean,2003,1892.526,23.34,72.19,26.88,10.42,0.63
Soyabean,2004,1889.758,24.42,72.19,26.88,10.42,0.28
Soyabean,2005,2356.564,25.67,72.19,26.88,10.42,0.93
Soyabean,2006,2052.256,28.68,72.19,26.88,10.42,0.68
Soyabean,2007,1907.145,39.65,72.19,26.88,10.42,0.67
Soyabean,2008,2050.356,27.65,72.19,26.88,10.42,0.33
Soyabean,2009,2319.564,27.81,72.19,26.88,10.42,1.11
Soyabean,2010,1928.254,27.65,72.19,26.88,10.42,1.09
Soyabean,2011,1654.266,25.34,72.19,26.88,10.42,0.41
Soyabean,2012,2182.256,24.78,72.19,26.88,10.42,1.17
Soyabean,2013,2104.656,24.47,72.19,26.88,10.42,0.83
Soyabean,2014,1342.562,24.93,72.19,26.88,10.42,0.88
Soyabean,2015,1984.657,25.65,72.19,26.88,10.42,0.82
Soyabean,2016,2168.157,23.33,72.19,26.88,10.42,0.97
Sugarcane,1997,2054.256,29.25,72.19,26.88,10.42,92.15
Sugarcane,1998,2184.974,25.76,72.19,26.88,10.42,95
Sugarcane,1999,1761.816,25.29,72.19,26.88,10.42,78.85
Sugarcane,2000,1873.395, 25.27,72.19,26.88,10.42,37.05
Sugarcane,2001,1244.919,26.59,72.19,26.88,10.42,43.7
Sugarcane,2002,1473.343,24.56,72.19,26.88,10.42,88.35
Sugarcane,2003,1892.526,23.34,72.19,26.88,10.42,86.45
Sugarcane,2004,1889.758,24.42,72.19,26.88,10.42,71.25
Sugarcane,2005,2356.564,25.67,72.19,26.88,10.42,49.4
Sugarcane,2006,2052.256,28.68,72.19,26.88,10.42,75.05
Sugarcane,2007,1907.145,39.65,72.19,26.88,10.42,95
Sugarcane,2008,2050.356,27.65,72.19,26.88,10.42,82.65
Sugarcane,2009,2319.564,27.81,72.19,26.88,10.42,65.55
Sugarcane,2010,1928.254,27.65,72.19,26.88,10.42,118.75
Sugarcane,2011,1654.266,25.34,72.19,26.88,10.42,105.45
Sugarcane,2012,2182.256,24.78,72.19,26.88,10.42,92.15
Sugarcane,2013,2104.656,24.47,72.19,26.88,10.42,86.45
Sugarcane,2014,1342.562,24.93,72.19,26.88,10.42,88.35
Sugarcane,2015,1984.657,25.65,72.19,26.88,10.42,86.45
Sugarcane,2016,2168.157,23.33,72.19,26.88,10.42,71.25
Sugarcane,2017,2054.256,29.25,72.19,26.88,10.42,49.4
Wheat,1997,2005.748, 25.596,72.19,26.88,10.42,0.73
Wheat,1998,2184.974,25.76,72.19,26.88,10.42,0.62
Wheat,1999,1761.816,25.29,72.19,26.88,10.42,0.65
Wheat,2000,1873.395, 25.27,72.19,26.88,10.42,0.71
Wheat,2001,1244.919,26.59,72.19,26.88,10.42,0.38
Wheat,2002,1473.343,24.56,72.19,26.88,10.42,0.16
Wheat,2003,1892.526,23.34,72.19,26.88,10.42,0.55
Wheat,2004,1889.758,24.42,72.19,26.88,10.42,0.65
Wheat,2005,2356.564,25.67,72.19,26.88,10.42,0.83
Wheat,2006,2052.256,28.68,72.19,26.88,10.42,0.79
Wheat,2007,1907.145,39.65,72.19,26.88,10.42,0.59
Wheat,2008,2050.356,27.65,72.19,26.88,10.42,0.71
Wheat,2009,2319.564,27.81,72.19,26.88,10.42,0.93
Wheat,2010,1928.254,27.65,72.19,26.88,10.42,1.18
Wheat,2011,1654.266,25.34,72.19,26.88,10.42,0.36
Wheat,2012,2182.256,24.78,72.19,26.88,10.42,0.72
Wheat,2013,2104.656,24.47,72.19,26.88,10.42,0.74
Wheat,2014,1342.562,24.93,72.19,26.88,10.42,0.42
Wheat,2015,1984.657,25.65,72.19,26.88,10.42,1.02
Wheat,2016,2168.157,23.33,72.19,26.88,10.42,0.29
Wheat,2017,2054.256,29.25,72.19,26.88,10.42,0.71
