Crop,Year,Rainfall,Temp,N,P ,K ,Yield
Bajra,1997,2884.676,25.63,89.49,22.5,8.22,0.44
Bajra,1998,3595.758,25.82,89.49,22.5,8.22,0.5
Bajra,1999,2380.598, 25.30,89.49,22.5,8.22,0.56
Bajra,2000,2551.345, 25.25,89.49,22.5,8.22,0.71
Bajra,2001,2187.089,25.57,89.49,22.5,8.22,1.25
Bajra,2002,2242.378,25.76,89.49,22.5,8.22,0.44
Bajra,2003,3007.868,26.27,89.49,22.5,8.22,0.5
Bajra,2004,2542.588,26.34,89.49,22.5,8.22,0.56
Bajra,2005,2509.262,25.15,89.49,22.5,8.22,0.71
Bajra,2006,2764.769,24.58,89.49,22.5,8.22,1.25
Bajra,2007,2029.405,23.56,89.49,22.5,8.22,0.44
Bajra,2008,2472.548,26.39,89.49,22.5,8.22,0.5
Bajra,2009,2414.977,24.95,89.49,22.5,8.22,0.56
Bajra,2010,2539.619,24.68,89.49,22.5,8.22,0.71
Bajra,2011,2825.164,28.36,89.49,22.5,8.22,1.25
Bajra,2012,2362.213,26.84,89.49,22.5,8.22,0.44
Bajra,2013,1845.256,24.16,89.49,22.5,8.22,0.5
Bajra,2014,1786.835,25.5,89.49,22.5,8.22,0.56
Bajra,2015,3493.256,28.6,89.49,22.5,8.22,0.71
Bajra,2016,2787.154,27.86,89.49,22.5,8.22,1.25
Bajra,2017,2984.321,26.95,89.49,22.5,8.22,0.5
Cotton,1997,2884.676,25.63,89.49,22.5,8.22,2.56
Cotton,1998,3595.758,25.82,89.49,22.5,8.22,2.44
Cotton,1999,2380.598, 25.30,89.49,22.5,8.22,2.02
Cotton,2000,2551.345, 25.25,89.49,22.5,8.22,1.37
Cotton,2001,2187.089,25.57,89.49,22.5,8.22,0.88
Cotton,2002,2242.378,25.76,89.49,22.5,8.22,0.78
Cotton,2003,3007.868,26.27,89.49,22.5,8.22,1.15
Cotton,2004,2542.588,26.34,89.49,22.5,8.22,1.69
Cotton,2005,2509.262,25.15,89.49,22.5,8.22,0.92
Cotton,2006,2764.769,24.58,89.49,22.5,8.22,0.68
Cotton,2007,2029.405,23.56,89.49,22.5,8.22,0.8
Cotton,2008,2472.548,26.39,89.49,22.5,8.22,1.31
Cotton,2009,2414.977,24.95,89.49,22.5,8.22,1.6
Cotton,2010,2539.619,24.68,89.49,22.5,8.22,1.13
Cotton,2011,2825.164,28.36,89.49,22.5,8.22,2.96
Cotton,2012,2362.213,26.84,89.49,22.5,8.22,1.78
Cotton,2013,1845.256,24.16,89.49,22.5,8.22,1.32
Cotton,2014,1786.835,25.5,89.49,22.5,8.22,0.65
Cotton,2015,3493.256,28.6,89.49,22.5,8.22,2.37
Cotton,2016,2787.154,27.86,89.49,22.5,8.22,1.13
Cotton,2017,2984.321,26.95,89.49,22.5,8.22,2.96
Groundnut,1997,2884.676,25.63,89.49,22.5,8.22,1.03
Groundnut,1998,3595.758,25.82,89.49,22.5,8.22,1.12
Groundnut,1999,2380.598, 25.30,89.49,22.5,8.22,0.65
Groundnut,2000,2551.345, 25.25,89.49,22.5,8.22,0.96
Groundnut,2001,2187.089,25.57,89.49,22.5,8.22,0.78
Groundnut,2002,2242.378,25.76,89.49,22.5,8.22,0.59
Groundnut,2003,3007.868,26.27,89.49,22.5,8.22,0.8
Groundnut,2004,2542.588,26.34,89.49,22.5,8.22,0.61
Groundnut,2005,2509.262,25.15,89.49,22.5,8.22,0.41
Groundnut,2006,2764.769,24.58,89.49,22.5,8.22,0.68
Groundnut,2007,2029.405,23.56,89.49,22.5,8.22,0.73
Groundnut,2008,2472.548,26.39,89.49,22.5,8.22,0.74
Groundnut,2009,2414.977,24.95,89.49,22.5,8.22,0.86
Groundnut,2010,2539.619,24.68,89.49,22.5,8.22,0.7
Groundnut,2011,2825.164,28.36,89.49,22.5,8.22,0.46
Groundnut,2012,2362.213,26.84,89.49,22.5,8.22,0.68
Groundnut,2013,1845.256,24.16,89.49,22.5,8.22,0.66
Groundnut,2014,1786.835,25.5,89.49,22.5,8.22,0.36
Groundnut,2015,3493.256,28.6,89.49,22.5,8.22,1.04
Groundnut,2016,2787.154,27.86,89.49,22.5,8.22,0.86
Groundnut,2017,2984.321,26.95,89.49,22.5,8.22,0.7
Jowar,1997,2884.676,25.63,89.49,22.5,8.22,0.91
Jowar,1998,3595.758,25.82,89.49,22.5,8.22,1.16
Jowar,1999,2380.598, 25.30,89.49,22.5,8.22,1.1
Jowar,2000,2551.345, 25.25,89.49,22.5,8.22,0.89
Jowar,2001,2187.089,25.57,89.49,22.5,8.22,0.68
Jowar,2002,2242.378,25.76,89.49,22.5,8.22,0.47
Jowar,2003,3007.868,26.27,89.49,22.5,8.22,0.45
Jowar,2004,2542.588,26.34,89.49,22.5,8.22,1.66
Jowar,2005,2509.262,25.15,89.49,22.5,8.22,1.27
Jowar,2006,2764.769,24.58,89.49,22.5,8.22,1.45
Jowar,2007,2029.405,23.56,89.49,22.5,8.22,1.13
Jowar,2008,2472.548,26.39,89.49,22.5,8.22,0.92
Jowar,2009,2414.977,24.95,89.49,22.5,8.22,0.78
Jowar,2010,2539.619,24.68,89.49,22.5,8.22,1.22
Jowar,2011,2825.164,28.36,89.49,22.5,8.22,0.15
Jowar,2012,2362.213,26.84,89.49,22.5,8.22,1.25
Jowar,2013,1845.256,24.16,89.49,22.5,8.22,1.42
Jowar,2014,1786.835,25.5,89.49,22.5,8.22,1.27
