Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,0.705,0.711,9.645,69.332,73.587,176.751,81.984,68.788,102.864,73.438,48.07,1.494
1902,0,0,3.248,21.924,75.567,156.835,92.385,47.636,89.789,110.949,30.936,27.56
1903,0.098,0,0,10.96,56.789,122.488,315.382,151.615,112.648,127.348,83.341,12.595
1904,0.281,0,22.43,9.289,66.391,134.83,87.092,36.023,81.532,117.113,0.442,0
1905,0,2.791,3.852,22.064,34.339,86.485,55.944,158.771,23.801,100.963,5.897,0
1906,7.335,0,0,1.911,47.571,163.641,142.347,322.189,78.95,77.027,33.034,37.201
1907,0.26,0.168,2.331,116.647,0.874,69.405,172.781,147.733,135.423,7.016,16.586,8.93
1908,0.038,0,6.873,16.197,37.392,63.205,139.192,77.95,184.247,17.512,1.17,0
1909,3.495,0,17.387,18.769,36.529,114.091,124.36,187.751,132.954,22.033,14.618,0.662
1910,0,0,10.409,3.161,58.68,100.472,186.436,239.2,146.086,59.247,83.294,0
1911,0,0,0.106,10.484,56.422,57.846,293.814,112.021,54.753,83.261,12.865,1.942
1912,0,1.345,0.51,40.201,25.588,70.28,187.436,102.364,58.954,122.679,38.166,1.088
1913,0,0.268,0,43.572,142.731,120.075,228.397,42.478,68.914,90.782,7.226,2.224
1914,0,0,1.086,12.061,39.235,56.345,229.962,256.588,122.429,27.237,89.277,12.267
1915,2.436,2.858,29.987,30.407,84.113,131.486,282.052,42.144,228.395,77.221,34.889,3.078
1916,0,0,0,15.622,80.185,104.627,275.231,106.656,126.528,188.053,177.877,0
1917,0,3.171,27.275,20.351,24.467,189.197,52.605,202.346,169.677,155.855,76.627,0
1918,3.267,0,1.313,6.395,178.291,32.952,22.999,44.791,97.789,11.47,52.513,0.782
1919,1.41,0,0.288,9.955,95.382,158.712,58.621,37.92,191.394,75.867,78.327,12.416
1920,3.298,0,0,30.881,33.179,109.243,93.722,98.41,123.383,45.408,1.565,0
1921,0.496,0,0.2,22.804,5.987,64.325,272.071,36.64,47.363,171.833,118.038,0
1922,1.142,0,0,41.585,54.915,85.681,120.76,39.518,30.239,69.71,101.718,0
1923,0.332,0.878,42.275,38.872,45.44,15.518,288.761,52.042,80.488,9.224,0.379,0.365
1924,0.021,0,1.8,31.156,34.537,52.379,108.068,187.345,147.033,38.724,6.621,8.318
1925,0,0,0.512,32.112,88.849,57.575,65.878,162.83,77.239,132.439,65.327,30.415
1926,7.636,0.769,0.072,15.352,73.091,73.134,137.912,85.54,151.181,26.74,0.694,0
1927,0,0,3.958,12.811,84.081,119.053,197.873,31.828,109.469,23.56,75.975,0
1928,0,7.752,11.57,21.873,11.624,122.618,256.727,98.833,138.696,107.281,0.383,12.518
1929,0.767,3.533,3.204,55.59,74.141,130.915,67.574,29.367,182.536,136.034,48.054,1.191
