Year,Rainfall
1901,707.369
1902,656.829
1903,993.264
1904,555.423
1905,494.907
1906,911.206
1907,678.154
1908,543.776
1909,672.649
1910,886.985
1911,683.514
1912,648.611
1913,746.667
1914,846.487
1915,949.066
1916,1074.779
1917,921.571
1918,452.562
1919,720.292
1920,539.089
1921,739.757
1922,545.268
1923,574.574
1924,616.002
1925,713.176
1926,572.121
1927,658.608
1928,789.875
1929,732.906
1930,748.284
1931,803.945
1932,1171.418
1933,1176.805
1934,890.275
1935,833.621
1936,514.425
1937,528.325
1938,839.525
1939,733.476
1940,691.826
1941,652.263
1942,646.585
1943,939.126
1944,774.132
1945,541.807
1946,967.446
1947,771.872
1948,769.836
1949,731.794
1950,785.708
1951,818.351
1952,646.829
1953,998.734
1954,900.36
1955,945.039
1956,1414.17
1957,1070.525
1958,1008.341
1959,866.128
1960,692.738
1961,997.647
1962,981.205
1963,955.478
1964,1389.239
1965,672.731
1966,876.714
1967,907.677
1968,924.787
1969,906.486
1970,837.454
1971,841.561
1972,443.878
1973,1008.973
1974,993.736
1975,1101.211
1976,620.826
1977,1021.8
1978,1079.47
1979,784.985
1980,731.522
1981,916.391
1982,920.06
1983,836.112
1984,723.428
1985,577.649
1986,607.498
1987,724.135
1988,914.743
1989,743.915
1990,750.282
1991,884.167
1992,954.16
1993,808.459
1994,1017.934
1995,833.713
1996,845.678
1997,880.061
1998,815.087
1999,768.995
2000,857.558
2001,607.528
2002,632.97
2003,837.454
2004,841.561
2005,443.878
2006,1008.973
2007,993.736
2008,1101.211
2009,620.826
2010,1021.8
2011,1079.47
2012,784.985
2013,731.522
2014,916.391
2015,920.06
2016,836.112
2017,723.428
