Year ,Rainfall
1901,1901.616
1902,1735.258
1903,1778.02
1904,1562.044
1905,1039.236
1906,1942.914
1907,2031.396
1908,1932.873
1909,1685.612
1910,1877.923
1911,1627.82
1912,2035.246
1913,1509.112
1914,2853.194
1915,2132.648
1916,1970.054
1917,1908.002
1918,907.13
1919,1678.817
1920,1526.426
1921,1528.007
1922,1571.331
1923,1751.894
1924,1731.494
1925,1687.562
1926,1681.634
1927,1702.616
1928,1583.281
1929,1591.684
1930,1631.588
1931,2045.018
1932,2600.722
1933,2309.872
1934,1804.782
1935,1702.149
1936,1551.342
1937,1497.494
1938,1726.453
1939,2153.185
1940,1662.331
1941,1503.25
1942,1882.615
1943,1803.115
1944,1974.902
1945,1578.67
1946,2244.989
1947,1766.522
1948,1724.419
1949,1425.873
1950,1875.295
1951,1731.642
1952,1879.7
1953,2681.808
1954,1863.243
1955,2120.55
1956,2606.052
1957,2135.475
1958,2120.708
1959,2546.752
1960,1712.865
1961,2498.491
1962,1839.502
1963,1982.79
1964,2335.498
1965,1996.847
1966,2001.979
1967,2205.32
1968,1484.372
1969,2056.715
1970,2068.896
1971,1834.359
1972,1224.952
1973,1750.977
1974,1719.052
1975,2083.291
1976,1682.053
1977,2056.684
1978,1836.464
1979,1752.294
1980,2042.12
1981,1926.984
1982,1826.553
1983,2042.951
1984,1635.014
1985,1269.775
1986,1293.745
1987,1317.123
1988,1990.03
1989,1460.204
1990,1398.05
1991,1760.697
1992,1991.86
1993,1683.752
1994,2292.875
1995,1327.716
1996,1602.53
1997,2015.932
1998,1737.503
1999,1622.36
2000,1628.754
2001,1134.703
2002,1334.194
2003,2068.896
2004,1834.359
2005,1224.952
2006,1750.977
2007,1719.052
2008,2083.291
2009,1682.053
2010,2056.684
2011,1836.464
2012,1752.294
2013,2042.12
2014,1926.984
2015,1826.553
2016,2042.951
2017,1635.014
