Year,Rainfall
1901,666.387
1902,732.557
1903,900.684
1904,762.623
1905,558.843
1906,816.487
1907,668.304
1908,529.848
1909,693.206
1910,1019.568
1911,597.203
1912,808.344
1913,587.56
1914,691.617
1915,894.752
1916,810.312
1917,947.906
1918,506.667
1919,815.097
1920,561.67
1921,801.442
1922,562.042
1923,541.094
1924,715.69
1925,673.167
1926,674.079
1927,618.49
1928,782.8
1929,696.759
1930,795.191
1931,602.093
1932,955.285
1933,1069.417
1934,654.452
1935,764.559
1936,618.049
1937,577.626
1938,600.263
1939,815.315
1940,855.614
1941,693.327
1942,588.536
1943,705.169
1944,794.75
1945,483.479
1946,821.476
1947,797.006
1948,888.813
1949,624.287
1950,808.514
1951,817.16
1952,559.782
1953,785.7
1954,736.312
1955,974.459
1956,1085.989
1957,814.228
1958,770.088
1959,723.095
1960,577.374
1961,759.898
1962,810.232
1963,756.823
1964,869.938
1965,567.047
1966,1007.793
1967,696.462
1968,870.473
1969,758.249
1970,733.779
1971,518.116
1972,565.301
1973,950.527
1974,789.737
1975,880.991
1976,407.42
1977,919.562
1978,781.617
1979,678.775
1980,605.366
1981,746.599
1982,660.517
1983,820.227
1984,577.14
1985,468.686
1986,604.428
1987,613.39
1988,797.044
1989,647.727
1990,613.339
1991,784.282
1992,812.097
1993,729.29
1994,743.364
1995,808.637
1996,810.289
1997,787.972
1998,838.459
1999,693.496
2000,787.626
2001,575.605
2002,574.325
2003,733.779
2004,518.116
2005,565.301
2006,950.527
2007,789.737
2008,880.991
2009,407.42
2010,919.562
2011,781.617
2012,678.775
2013,605.366
2014,746.599
2015,660.517
2016,820.227
2017,577.14
