Year,Rainfall
1901,676.362
1902,686.523
1903,1184.533
1904,756.624
1905,648.94
1906,859.996
1907,659.873
1908,838.048
1909,792.422
1910,1028.935
1911,561.412
1912,651.882
1913,620.785
1914,972.982
1915,803.386
1916,1236.743
1917,1139.382
1918,694.511
1919,778.727
1920,544.227
1921,613.706
1922,587.262
1923,616.894
1924,580.376
1925,682.074
1926,849.134
1927,712.204
1928,962.252
1929,532.09
1930,772.305
1931,925.745
1932,701.196
1933,976.993
1934,789.358
1935,889.688
1936,636.793
1937,616.04
1938,913.255
1939,530.433
1940,771.121
1941,588.549
1942,687.479
1943,1042.152
1944,662.31
1945,792.854
1946,720.163
1947,835.937
1948,881.72
1949,1235.416
1950,678.095
1951,710.027
1952,729.25
1953,960.394
1954,975.279
1955,1163.027
1956,1010.817
1957,841.089
1958,859.629
1959,902.484
1960,738.301
1961,915.986
1962,1093.495
1963,943.668
1964,963.729
1965,682.785
1966,891.261
1967,660.247
1968,741.287
1969,769.249
1970,931.783
1971,631.678
1972,484.145
1973,830.83
1974,845.701
1975,1082.594
1976,720.815
1977,624.534
1978,1012.805
1979,868.638
1980,620.619
1981,924.851
1982,880.613
1983,1141.831
1984,563.659
1985,568.613
1986,698.095
1987,763.831
1988,983.392
1989,854.101
1990,915.955
1991,768.883
1992,712.943
1993,736.991
1994,873.362
1995,1047.493
1996,996.17
1997,787.609
1998,956.216
1999,686.066
2000,843.808
2001,731.11
2002,622.438
