Year,Rainfall
1901,529.562
1902,523.481
1903,1002.477
1904,440.457
1905,454.861
1906,743.617
1907,522.34
1908,467.698
1909,566.438
1910,736.265
1911,470.909
1912,497.737
1913,578.65
1914,585.199
1915,697.271
1916,997.449
1917,789.629
1918,416.064
1919,618.14
1920,349.876
1921,567.958
1922,409.441
1923,429.862
1924,422.901
1925,623.023
1926,439.64
1927,567.139
1928,705.979
1929,580.388
1930,609.499
1931,643.708
1932,810.454
1933,870.084
1934,674.753
1935,693.512
1936,388.508
1937,455.108
1938,798.066
1939,534.038
1940,611.063
1941,460.688
1942,469.972
1943,819.321
1944,563.414
1945,455.435
1946,750.135
1947,566.969
1948,679.365
1949,705.656
1950,607.284
1951,658.028
1952,513.08
1953,794.993
1954,630.245
1955,793.45
1956,1121.328
1957,857.754
1958,749.69
1959,672.38
1960,596.088
1961,746.523
1962,860.493
1963,767.084
1964,1106.621
1965,482.68
1966,644.841
1967,703.329
1968,736.038
1969,771.113
1970,693.141
1971,666.922
1972,319.742
1973,809.816
1974,826.284
1975,949.714
1976,641.708
1977,836.571
1978,966.583
1979,718.373
1980,494.542
1981,877.013
1982,737.087
1983,688.348
1984,598.88
1985,498.655
1986,506.327
1987,654.375
1988,772.757
1989,643.175
1990,695.213
1991,706.448
1992,738.256
1993,655.59
1994,838.01
1995,789.15
1996,766.77
1997,719.708
1998,719.923
1999,634.118
2000,708.708
2001,559.484
2002,533.939
