Year,Rainfall
1901,1482.837
1902,1943.78
1903,1976.078
1904,1350.842
1905,1453.078
1906,1863.614
1907,1634.13
1908,1058.81
1909,1804.853
1910,1848.896
1911,2202.554
1912,1563.36
1913,1173.358
1914,1467.617
1915,1979.338
1916,2490.63
1917,1269.097
1918,1197.638
1919,1467.814
1920,1142.546
1921,1538.145
1922,1374.553
1923,1510.906
1924,1979.518
1925,1346.436
1926,1073.76
1927,1161.67
1928,1407.33
1929,1261.406
1930,1624.89
1931,1111.705
1932,1661.517
1933,1671.016
1934,1254.064
1935,1364.585
1936,1533.279
1937,1494.887
1938,1302.672
1939,1413.989
1940,1574.288
1941,1497.075
1942,1583.256
1943,1702.843
1944,1529.422
1945,1223.345
1946,1732.353
1947,1320.628
1948,1529.651
1949,1589.279
1950,1419.481
1951,1551.675
1952,1150.645
1953,1893.838
1954,1558.612
1955,1443.635
1956,1376.291
1957,1287.507
1958,1646.708
1959,2166.594
1960,1406.238
1961,2001.664
1962,1733.141
1963,1356.357
1964,2300.923
1965,1012.975
1966,1531.89
1967,1536.275
1968,1142.048
1969,1714.798
1970,1402.42
1971,1276.806
1972,1715.519
1973,1789.267
1974,1225.889
1975,1772.12
1976,1206.847
1977,1846.643
1978,1269.209
1979,1765.951
1980,1303.165
1981,1491.81
1982,1283.388
1983,1454.127
1984,1473.401
1985,1130.16
1986,1542.832
1987,1310.795
1988,1826.136
1989,1552.163
1990,1184.708
1991,1725.25
1992,1731.615
1993,1599.342
1994,1251.059
1995,1553.854
1996,1849.167
1997,1771.634
1998,2230.988
1999,1520.125
2000,1645.762
2001,1329.86
2002,1334.754
