Year,Rainfall
1901,2339.082
1902,2304.501
1903,3532.412
1904,2465.661
1905,1694.06
1906,2565.287
1907,3398.578
1908,1701.737
1909,2669.077
1910,3132.691
1911,2630.125
1912,2990.342
1913,2436.843
1914,2517.359
1915,2172.522
1916,2998.564
1917,2226.998
1918,1130.194
1919,2552.577
1920,1790.007
1921,1998.872
1922,1952.766
1923,3187.475
1924,3256.44
1925,2083.807
1926,2686.837
1927,1983.952
1928,1930.809
1929,2700.272
1930,1737.257
1931,2581.553
1932,3012.854
1933,3261.058
1934,1992.114
1935,2343.109
1936,2300.274
1937,2084.955
1938,2088.35
1939,2195.945
1940,2316.292
1941,2761.045
1942,2936.089
1943,2224.679
1944,2352.201
1945,2176.817
1946,3245.518
1947,2449.41
1948,2566.531
1949,1842.698
1950,2699.183
1951,2629.362
1952,1892.631
1953,3959.142
1954,2883.665
1955,2262.695
1956,2758.509
1957,3007.408
1958,3751.167
1959,3942.052
1960,1939.96
1961,4254.525
1962,2504.737
1963,2126.109
1964,3284.497
1965,2012.045
1966,1955.504
1967,2265.061
1968,1884.779
1969,2321.718
1970,1758.99
1971,2619.608
1972,1977.045
1973,2325.901
1974,2065.685
1975,2648.402
1976,2006.551
1977,2405.037
1978,2686.746
1979,2322.444
1980,2797.889
1981,2193.703
1982,1860.061
1983,2589.864
1984,1957.074
1985,1984.93
1986,2048.992
1987,1757.474
1988,2763.88
1989,2094.575
1990,1679.358
1991,2485.867
1992,2872.205
1993,2293.874
1994,2583.243
1995,2074.373
1996,2610.518
1997,2662.193
1998,2931.677
1999,2127.181
2000,2244.44
2001,1899.461
2002,1923.742
