Year,Rainfall
1901,765.944
1902,894.261
1903,1267.874
1904,866.262
1905,613.25
1906,1011.147
1907,867.154
1908,569.983
1909,925.697
1910,1205.41
1911,710.16
1912,1018.257
1913,672.727
1914,713.94
1915,843.255
1916,1000.227
1917,1022.32
1918,510.461
1919,1012.793
1920,596.611
1921,803.601
1922,685.687
1923,767.249
1924,838.373
1925,799.303
1926,844.975
1927,627.049
1928,972.914
1929,799.459
1930,887.831
1931,843.956
1932,1066.49
1933,1232.308
1934,722.454
1935,919.836
1936,740.017
1937,693.843
1938,724.202
1939,1044.101
1940,1073.813
1941,834.04
1942,854.22
1943,795.303
1944,845.869
1945,531.807
1946,969.335
1947,836.718
1948,1053.242
1949,614.01
1950,859.481
1951,904.895
1952,678.475
1953,936.733
1954,921.891
1955,1052.217
1956,1056.007
1957,902.144
1958,1042.961
1959,978.782
1960,691.329
1961,992.674
1962,930.441
1963,794.641
1964,996.686
1965,559.244
1966,1078.911
1967,711.061
1968,759.521
1969,881.154
1970,775.492
1971,668.318
1972,796.866
1973,1105.303
1974,775.478
1975,949.726
1976,545.908
1977,1045.446
1978,982.904
1979,952.337
1980,832.167
1981,737.827
1982,653.893
1983,761.144
1984,727.997
1985,552.379
1986,720.053
1987,687.667
1988,959.923
1989,766.674
1990,627.754
1991,938.757
1992,945.808
1993,859.153
1994,761.036
1995,872.581
1996,946.427
1997,932.481
1998,1067.351
1999,840.96
2000,930.422
2001,666.366
2002,674.17
