Year,Rainfall
1901,1280.307
1902,1304.489
1903,1921.797
1904,1505.993
1905,995.637
1906,1689.518
1907,1516.136
1908,1158.612
1909,1417.198
1910,1970.975
1911,1170.017
1912,1609.514
1913,1200.899
1914,1342.719
1915,1308.687
1916,1525.713
1917,1542.275
1918,788.343
1919,1577.126
1920,954.398
1921,1115.027
1922,1167.298
1923,1458.711
1924,1378.716
1925,1203.024
1926,1480.895
1927,1027.272
1928,1643.097
1929,1370.953
1930,1180.453
1931,1397.006
1932,1762.772
1933,1947.527
1934,1259.878
1935,1518.117
1936,1202.034
1937,1027.688
1938,1281.048
1939,1685.231
1940,1585.003
1941,1280.654
1942,1585.894
1943,1200.453
1944,1325.053
1945,980.381
1946,1576.515
1947,1521.282
1948,1769.925
1949,1038.25
1950,1501.994
1951,1489.523
1952,1092.44
1953,1538.564
1954,1473.157
1955,1653.227
1956,1717.239
1957,1558.633
1958,1781.386
1959,1825.448
1960,1166.73
1961,1809.906
1962,1363.835
1963,1280.192
1964,1633.227
1965,1074.544
1966,1571.44
1967,1171.049
1968,1157.203
1969,1370.905
1970,1245.718
1971,1153.013
1972,1154.758
1973,1895.626
1974,1338.371
1975,1503.214
1976,1000.725
1977,1552.204
1978,1541.343
1979,1376.163
1980,1291.194
1981,1120.332
1982,1154.579
1983,1433.655
1984,1263.284
1985,933.961
1986,1107.048
1987,1019.545
1988,1587.505
1989,1218.705
1990,914.765
1991,1464.117
1992,1619.961
1993,1372.297
1994,1363.355
1995,1242.351
1996,1462.926
1997,1417.644
1998,1658.671
1999,1278.477
2000,1406.391
2001,960.033
2002,1060.343
