Year,Rainfall
1901,2447.561
1902,2215.863
1903,2177.689
1904,2213.543
1905,1471.209
1906,2464.667
1907,2619.869
1908,2244.803
1909,2246.733
1910,2118.146
1911,2462.35
1912,2068.818
1913,1901.896
1914,3325.735
1915,2272.435
1916,2344.51
1917,2207.24
1918,1623.562
1919,2470.649
1920,2002.283
1921,1943.914
1922,2064.153
1923,2386.746
1924,2391.904
1925,2386.507
1926,2092.925
1927,2351.779
1928,2431.431
1929,2341.437
1930,2040.753
1931,2426.251
1932,2811.311
1933,3029.116
1934,2310.936
1935,2004.165
1936,1917.664
1937,1671.2
1938,1824.496
1939,2326.627
1940,2028.565
1941,1640.481
1942,2041.254
1943,2128.676
1944,2514.485
1945,2189.445
1946,3125.081
1947,2465.366
1948,2413.3
1949,1826.858
1950,2700.52
1951,2678.495
1952,2462.902
1953,3296.063
1954,2231.205
1955,2462.948
1956,3070.746
1957,2705.965
1958,2564.545
1959,3312.744
1960,2007.212
1961,3203.249
1962,2207.94
1963,2099.132
1964,2611.834
1965,2278.923
1966,2410.227
1967,2464.502
1968,2054.52
1969,2304.829
1970,2292.414
1971,1986.532
1972,1718.507
1973,2120.557
1974,2205.963
1975,2175.154
1976,1759.481
1977,2386.41
1978,2187.459
1979,2148.12
1980,2167.182
1981,1817.342
1982,2167.033
1983,2641.757
1984,2129.617
1985,1447.271
1986,1626.512
1987,1494.189
1988,2442.583
1989,1750.683
1990,1416.221
1991,2200.604
1992,2561.675
1993,2109.744
1994,2562.151
1995,1622.526
1996,2020.556
1997,2307.553
1998,2216.913
1999,1958.884
2000,2029.734
2001,1329.153
2002,1623.548
