Year,Rainfall
1901,1282.08
1902,1161.558
1903,1281.982
1904,1166.833
1905,839.3
1906,1531.893
1907,1418.832
1908,1049.996
1909,1225.062
1910,1328.073
1911,1479.19
1912,1058.112
1913,1062.181
1914,1616.731
1915,1295.242
1916,1380.723
1917,1283.541
1918,914.265
1919,1468.036
1920,1104.455
1921,1087.461
1922,1101.797
1923,1235.181
1924,1321.062
1925,1296.376
1926,1138.23
1927,1244.611
1928,1365.656
1929,1204.843
1930,1187.708
1931,1304.935
1932,1731.227
1933,1682.34
1934,1282.379
1935,1296.306
1936,909.634
1937,839.851
1938,993.359
1939,1194.916
1940,1055.992
1941,924.002
1942,1029.64
1943,1126.251
1944,1443.323
1945,995.25
1946,1805.336
1947,1492.396
1948,1354.348
1949,981.53
1950,1478.522
1951,1462.427
1952,1279.691
1953,1638.748
1954,1319.431
1955,1297.489
1956,1787.173
1957,1631.257
1958,1480.656
1959,1700.01
1960,1077.327
1961,1687.786
1962,1241.466
1963,1169.161
1964,1497.249
1965,1240.685
1966,1520.419
1967,1345.826
1968,1263.182
1969,1267.805
1970,1101.991
1971,1031.65
1972,976.658
1973,1392.886
1974,1296.7
1975,1211.151
1976,917.813
1977,1471.658
1978,1277.512
1979,1269.02
1980,1113.482
1981,983.584
1982,1216.378
1983,1438.529
1984,1138.673
1985,807.228
1986,937.786
1987,929.439
1988,1350.538
1989,1049.885
1990,907.882
1991,1295.906
1992,1437.299
1993,1189.518
1994,1386.317
1995,1082.616
1996,1209.253
1997,1256.84
1998,1247.022
1999,1111.59
2000,1243.124
2001,836.128
2002,925.145
