Year,Rainfall
1901,581.905
1902,614.791
1903,1108.54
1904,543.218
1905,624.777
1906,791.954
1907,589.649
1908,620.683
1909,604.968
1910,769.345
1911,445.096
1912,538.354
1913,505.416
1914,673.582
1915,656.387
1916,970.511
1917,892.932
1918,571.854
1919,645.011
1920,373.44
1921,511.893
1922,461.757
1923,458.08
1924,439.652
1925,639.17
1926,490.74
1927,665.984
1928,774.721
1929,478.78
1930,604.223
1931,673.904
1932,625.786
1933,833.401
1934,580.381
1935,722.51
1936,457.955
1937,524.505
1938,739.956
1939,511.09
1940,746.547
1941,400.622
1942,471.083
1943,867.582
1944,616.955
1945,594.248
1946,743.046
1947,608.53
1948,716.408
1949,901.617
1950,644.139
1951,704.45
1952,554.505
1953,744.097
1954,557.971
1955,905.801
1956,966.642
1957,753.299
1958,641.894
1959,712.684
1960,693.46
1961,727.85
1962,864.59
1963,731.678
1964,929.686
1965,523.357
1966,675.983
1967,643.459
1968,722.778
1969,780.998
1970,777.703
1971,521.803
1972,376.596
1973,644.633
1974,808.842
1975,899.737
1976,748.656
1977,757.17
1978,938.613
1979,770.934
1980,443.893
1981,941.417
1982,684.842
1983,811.142
1984,526.132
1985,450.342
1986,534.627
1987,639.17
1988,771.341
1989,666.837
1990,714.785
1991,681.617
1992,672.209
1993,639.907
1994,772.788
1995,886.468
1996,798.539
1997,657.689
1998,757.61
1999,568.029
2000,733.168
2001,601.898
2002,525.402
