Year,Rainfall
1901,2348.744
1902,2490.148
1903,3776.305
1904,2301.935
1905,2139.736
1906,3028.391
1907,3707.961
1908,1952.765
1909,3135.188
1910,3554.256
1911,3190.921
1912,2806.637
1913,2699.309
1914,2560.371
1915,3261.09
1916,3817.552
1917,2355.469
1918,1416.53
1919,2596.078
1920,2306.198
1921,2715.637
1922,2406.901
1923,3083.707
1924,3365.602
1925,2385.047
1926,2687.147
1927,2404.058
1928,2025.803
1929,2462.476
1930,1799.923
1931,2609.825
1932,3326.986
1933,3810.83
1934,2297.575
1935,2536.067
1936,2711.55
1937,2528.706
1938,2485.047
1939,2141.458
1940,2876.266
1941,3004.064
1942,2960.764
1943,2678.625
1944,2555.381
1945,3038.227
1946,3358.422
1947,2716.467
1948,2592
1949,2448.598
1950,2832.726
1951,2622.013
1952,2259.231
1953,3665.233
1954,3536.093
1955,2382.762
1956,2756.223
1957,2887.598
1958,3358.228
1959,3643.656
1960,2247.237
1961,5023.617
1962,2864.247
1963,2487.789
1964,4219.153
1965,2137.779
1966,2086.71
1967,2648.739
1968,1982.417
1969,2446.459
1970,1995.106
1971,2933.537
1972,2505.104
1973,2521.971
1974,2181.418
1975,3499.54
1976,1860.283
1977,2710.311
1978,2976.472
1979,2835.979
1980,3043.435
1981,2450.991
1982,2059.553
1983,3080.334
1984,2143.769
1985,2164.859
1986,2422.616
1987,2052.536
1988,3286.467
1989,2549.38
1990,1925.097
1991,2881.53
1992,3279.838
1993,2633.146
1994,2755.089
1995,2563.236
1996,3120.57
1997,2976.928
1998,3663.805
1999,2447.383
2000,2692.923
2001,2213.051
2002,2200.349
