Year,Rainfall
1901,1892.536
1902,1889.576
1903,2356.905
1904,2052.669
1905,1396.942
1906,2266.319
1907,2050.264
1908,1867.967
1909,1907.735
1910,2319.727
1911,1680.929
1912,1928.979
1913,1654.043
1914,2180.745
1915,1849.071
1916,2103.841
1917,2104.449
1918,1342.074
1919,2168.678
1920,1450.825
1921,1549.26
1922,1728.617
1923,1984.743
1924,1872.597
1925,1781.538
1926,1908.526
1927,1675.151
1928,2399.803
1929,2054.725
1930,1617.011
1931,2047.545
1932,2414.778
1933,2740.638
1934,1826.49
1935,2001.347
1936,1742.431
1937,1429.852
1938,1781.762
1939,2102.741
1940,2126.241
1941,1511.472
1942,2004.934
1943,1757.305
1944,1980.508
1945,1691.655
1946,2273.03
1947,2177.576
1948,2386.505
1949,1648.856
1950,2187.8
1951,2153.645
1952,1693.255
1953,2200.973
1954,1946.176
1955,2338.662
1956,2421.302
1957,2146.269
1958,2245.308
1959,2553.598
1960,1753.099
1961,2733.39
1962,1954.025
1963,1805.5
1964,2293.051
1965,1595.141
1966,2104.512
1967,1758.844
1968,1685.533
1969,1845.522
1970,2001.702
1971,1629.517
1972,1530.009
1973,2426.632
1974,2058.178
1975,2093.409
1976,1443.957
1977,2105.859
1978,2096.246
1979,1843.222
1980,1716.376
1981,1557.383
1982,1836.985
1983,2275.504
1984,1871.673
1985,1317.045
1986,1509.901
1987,1361.518
1988,2226.482
1989,1641.693
1990,1231.674
1991,2013.961
1992,2310.987
1993,1913.379
1994,2090.93
1995,1570.888
1996,1950.578
1997,2005.748
1998,2184.974
1999,1761.816
2000,1873.395
2001,1244.919
2002,1473.343
