Year,Rainfall
1901,1795.34
1902,2047.201
1903,2436.419
1904,1851.019
1905,1667.291
1906,2199.792
1907,2375.653
1908,1610.468
1909,2282.982
1910,2289.37
1911,2496.608
1912,2024.372
1913,1837.106
1914,1958.918
1915,2363.012
1916,2661.256
1917,1727.577
1918,1443.121
1919,1961.427
1920,1998.552
1921,1968.951
1922,2054.736
1923,2245.879
1924,2488.392
1925,1996.042
1926,1740.522
1927,1887.123
1928,1489.14
1929,1866.722
1930,1689.044
1931,1892.509
1932,2307.184
1933,2772.66
1934,1739.833
1935,1742.774
1936,2263.324
1937,1808.893
1938,1920.668
1939,1651.13
1940,2152.937
1941,1991.486
1942,2214.527
1943,2286.456
1944,1577.339
1945,1881.042
1946,2191.84
1947,1960.262
1948,2049.839
1949,1925.32
1950,2032.199
1951,1879.722
1952,1642.118
1953,2231.819
1954,2317.646
1955,1900.253
1956,2197.52
1957,1935.162
1958,2127.622
1959,2793.638
1960,1876.341
1961,3567.932
1962,2198.376
1963,1790.208
1964,2555.637
1965,1379.965
1966,1636.803
1967,1807.608
1968,1524.505
1969,1895.491
1970,1745.138
1971,1914.299
1972,1882.204
1973,1870.683
1974,1607.258
1975,2360.188
1976,1344.792
1977,2162.862
1978,2287.881
1979,1992.962
1980,2253.913
1981,1891.278
1982,1549.223
1983,1951.742
1984,1968.702
1985,1606.259
1986,1842.456
1987,1518.385
1988,2193.932
1989,1747.783
1990,1552.074
1991,1969.16
1992,2370.413
1993,1821.169
1994,2163.605
1995,1779.08
1996,2095.967
1997,2304.719
1998,2465.775
1999,1734.817
2000,1773.902
2001,1686.078
2002,1691.933
