Year,Rainfall
1901,863.853
1902,969.252
1903,1375.104
1904,720.451
1905,631.014
1906,1004.522
1907,813.067
1908,514.586
1909,948.357
1910,1048.753
1911,563.992
1912,870.314
1913,674.97
1914,699.631
1915,734.988
1916,1171.527
1917,1001.941
1918,572.902
1919,919.283
1920,609.074
1921,787.548
1922,767.719
1923,489.041
1924,735.76
1925,877.247
1926,651.04
1927,713.669
1928,979.891
1929,737.334
1930,1097.466
1931,710.467
1932,828.27
1933,1166.868
1934,686.9
1935,937.132
1936,931.297
1937,773.037
1938,762.342
1939,910.923
1940,1030.267
1941,722.772
1942,607.371
1943,932.834
1944,865.472
1945,622.499
1946,967.317
1947,676.999
1948,809.064
1949,804.229
1950,721.241
1951,684.501
1952,799.859
1953,1071.683
1954,836.192
1955,929.458
1956,1089.426
1957,717.473
1958,876.066
1959,714.72
1960,828.746
1961,780.395
1962,1017.773
1963,768.632
1964,1031.972
1965,544.846
1966,1297.098
1967,696.845
1968,764.33
1969,821.032
1970,792.264
1971,835.05
1972,888.389
1973,852.714
1974,843.928
1975,1094.149
1976,567.448
1977,957.432
1978,816.008
1979,1044.963
1980,730.276
1981,983.217
1982,528.437
1983,936.652
1984,747.208
1985,638.785
1986,904.005
1987,706.957
1988,1047.105
1989,875.228
1990,773.077
1991,943.988
1992,769.912
1993,937.971
1994,657.401
1995,1028.667
1996,1126.705
1997,1046.854
1998,1164.13
1999,864.103
2000,1008.54
2001,751.471
2002,724.545
