Year,Rainfall
1901,717.807
1902,733.859
1903,870.448
1904,771.676
1905,587.979
1906,836.558
1907,714.969
1908,519.257
1909,700.696
1910,983.142
1911,619.146
1912,734.612
1913,605.369
1914,758.244
1915,1000.285
1916,846.985
1917,964.163
1918,500.99
1919,733.074
1920,590.267
1921,794.367
1922,523.796
1923,530.335
1924,716.343
1925,658.883
1926,623.398
1927,640.912
1928,755.253
1929,717.628
1930,778.044
1931,609.359
1932,985.969
1933,1123.024
1934,711.484
1935,775.985
1936,605.821
1937,530.831
1938,581.465
1939,718.614
1940,754.866
1941,708.585
1942,560.831
1943,752.842
1944,840.328
1945,495.237
1946,835.642
1947,824.106
1948,863.496
1949,646.223
1950,852.115
1951,880.909
1952,554.248
1953,811.93
1954,799.124
1955,971.842
1956,1169.639
1957,898.419
1958,782.74
1959,713.955
1960,572.144
1961,791.969
1962,856.935
1963,799.065
1964,1001.752
1965,609.675
1966,1042.551
1967,799.856
1968,984.181
1969,781.257
1970,729.379
1971,548.36
1972,494.334
1973,906.166
1974,814.016
1975,925.34
1976,397.352
1977,921.123
1978,795.167
1979,669.484
1980,645.037
1981,813.545
1982,723.31
1983,890.009
1984,603.925
1985,485.488
1986,593.37
1987,638.98
1988,814.15
1989,668.959
1990,638.687
1991,805.147
1992,862.572
1993,740.068
1994,813.909
1995,815.783
1996,814.429
1997,779.995
1998,800.249
1999,697.567
2000,804.279
2001,577.208
2002,583.931
