Year,Rainfall
1901,1424.846
1902,1639.183
1903,2339.651
1904,1359.162
1905,1517.876
1906,2043.215
1907,2156.641
1908,1219.247
1909,2061.823
1910,2350.059
1911,2007.062
1912,1603.027
1913,1586.582
1914,1489.694
1915,2270.443
1916,2821.263
1917,1520.474
1918,1126.125
1919,1662.019
1920,1367.398
1921,1856.307
1922,1539.877
1923,1489.043
1924,1796.387
1925,1461.796
1926,1664.407
1927,1362.955
1928,1504.915
1929,1298.049
1930,1361.509
1931,1263.725
1932,2024.028
1933,2580.221
1934,1468.105
1935,1756.772
1936,1626.953
1937,1681.955
1938,1577.231
1939,1422.051
1940,1821.334
1941,1743.421
1942,1719.773
1943,1827.286
1944,1831.648
1945,1893.524
1946,1963.067
1947,1735.03
1948,1669.381
1949,1844.919
1950,1602.432
1951,1663.179
1952,1508.253
1953,2015.48
1954,2504.736
1955,1540.833
1956,1552.974
1957,1613.077
1958,1995.656
1959,1959.088
1960,1569.197
1961,2696.256
1962,1806.66
1963,1695
1964,2901.933
1965,1347.309
1966,1672.726
1967,1693.327
1968,1296.046
1969,1602.921
1970,1498.079
1971,1747.668
1972,1724.216
1973,1568.159
1974,1378.465
1975,2380.815
1976,1175.71
1977,1925.254
1978,1625.883
1979,1965.405
1980,1645.18
1981,1651.782
1982,1341.421
1983,2035.776
1984,1296.804
1985,1308.37
1986,1660.008
1987,1411.279
1988,2237.603
1989,1801.338
1990,1265.303
1991,1939.041
1992,2071.85
1993,1780.277
1994,1487.06
1995,1825.576
1996,2173.919
1997,1910.566
1998,2647.501
1999,1707.186
2000,1941.924
2001,1451.536
2002,1477.249
