Year,Rainfall
1901,2216.069
1902,2904.289
1903,3286.779
1904,2147.31
1905,2317.808
1906,3129.865
1907,3245.411
1908,1850.57
1909,3135.88
1910,3243.379
1911,3722.809
1912,2419.221
1913,2518.692
1914,2371.748
1915,3705.901
1916,4173.913
1917,2105.075
1918,1738.115
1919,2340.174
1920,2232.146
1921,2671.617
1922,2431.306
1923,2552.833
1924,3332.623
1925,2294.05
1926,2308.942
1927,2265.828
1928,2012.954
1929,1994.977
1930,2053.56
1931,1898.705
1932,2951.241
1933,3852.095
1934,2343.831
1935,2228.525
1936,2702.656
1937,2432.171
1938,2317.741
1939,2036.172
1940,2686.608
1941,2444.097
1942,2753.096
1943,2583.561
1944,2312.127
1945,2821.806
1946,2698.761
1947,2343.938
1948,2333.625
1949,2566.042
1950,2489.816
1951,2446.532
1952,2093.882
1953,3041.976
1954,3493.37
1955,2320.809
1956,2365.544
1957,2416.761
1958,2624.142
1959,3396.78
1960,2334.731
1961,4530.558
1962,2787.513
1963,2273.519
1964,4195.22
1965,1786.835
1966,2230.339
1967,2608.709
1968,1845.403
1969,2249.731
1970,2035.563
1971,2362.213
1972,2754.013
1973,2414.977
1974,1924.126
1975,3429.223
1976,1681.681
1977,2825.164
1978,2504.579
1979,2715.668
1980,2544.186
1981,2539.619
1982,2073.245
1983,2852.917
1984,2168.077
1985,1995.811
1986,2472.052
1987,2029.405
1988,3067.714
1989,2538.746
1990,1990.784
1991,2764.749
1992,3132.967
1993,2493.423
1994,2509.262
1995,2542.588
1996,3007.996
1997,2884.676
1998,3595.758
1999,2380.598
2000,2551.345
2001,2187.089
2002,2242.378
