Year,Rainfall
1901,594.219
1902,559.509
1903,815.489
1904,494.043
1905,508.943
1906,601.607
1907,418.47
1908,450.255
1909,472.066
1910,600.432
1911,359.119
1912,495.778
1913,436.594
1914,573.218
1915,716.724
1916,737.412
1917,808.2
1918,452.28
1919,482.381
1920,368.047
1921,604.81
1922,417.203
1923,273.471
1924,451.551
1925,523.45
1926,359.729
1927,507.619
1928,539.44
1929,490.742
1930,568.764
1931,504.904
1932,603.409
1933,869.484
1934,483.319
1935,531.242
1936,449.638
1937,447.758
1938,499.91
1939,504.371
1940,697.716
1941,429.819
1942,384.578
1943,710.014
1944,662.173
1945,425.001
1946,621.96
1947,516.602
1948,582.852
1949,643.122
1950,584.52
1951,655.98
1952,440.047
1953,569.866
1954,439.585
1955,764.907
1956,928.391
1957,600.476
1958,523.578
1959,544.651
1960,529.118
1961,550.225
1962,737.645
1963,665.132
1964,817.75
1965,431.231
1966,620.972
1967,568.139
1968,757.215
1969,594.641
1970,622.463
1971,456.612
1972,339.041
1973,573.364
1974,779.657
1975,749.597
1976,336.061
1977,667.996
1978,748.352
1979,581.755
1980,423.077
1981,779.246
1982,599.477
1983,695.105
1984,362.088
1985,353.735
1986,469.892
1987,527.555
1988,620.271
1989,519.06
1990,566.256
1991,597.893
1992,618.442
1993,565.709
1994,629.2
1995,752.252
1996,673.273
1997,593.673
1998,638.478
1999,509.043
2000,625.811
2001,482.044
2002,450.113
