Year,Rainfall
1901,2328.747
1902,2302.672
1903,3196.462
1904,2489.35
1905,1569.873
1906,2393.069
1907,2903.307
1908,1972.532
1909,2370.668
1910,2800.152
1911,2148.91
1912,2756.146
1913,2191.597
1914,2565.554
1915,1895.521
1916,2673.533
1917,2293.299
1918,1265.026
1919,2473.483
1920,1636.63
1921,1742.18
1922,1880.267
1923,2922.679
1924,2781.404
1925,2032.538
1926,2524.093
1927,1904.441
1928,2274.523
1929,2721.907
1930,1696.463
1931,2535.586
1932,2817.011
1933,3216.821
1934,1989.947
1935,2230.884
1936,2220.126
1937,1888.997
1938,2058.366
1939,2228.034
1940,2358.757
1941,2300.423
1942,2753.957
1943,2059.779
1944,2249.575
1945,2085.115
1946,2867.871
1947,2377.785
1948,2700.514
1949,1840.132
1950,2609.086
1951,2583.282
1952,1811.56
1953,3478.882
1954,2557.109
1955,2506.786
1956,2718.908
1957,2747.73
1958,3366.621
1959,3622.17
1960,1979.372
1961,3838.004
1962,2393.444
1963,2066.012
1964,2878.201
1965,1881.012
1966,2055.035
1967,2080.711
1968,1873.078
1969,2153.125
1970,2126.625
1971,2329.818
1972,1723.053
1973,2418.101
1974,2258.281
1975,2444.529
1976,1944.845
1977,2294.403
1978,2553.705
1979,2083.017
1980,2476.137
1981,2119.653
1982,2003.214
1983,2620.455
1984,2041.831
1985,1935.421
1986,1860.191
1987,1607.398
1988,2602.597
1989,1905.46
1990,1549.79
1991,2350.328
1992,2724.151
1993,2186.585
1994,2615.697
1995,1812.435
1996,2400.545
1997,2550.337
1998,2599.935
1999,2014.895
2000,2061.288
2001,1737.918
2002,1782.472
