Year,Rainfall
1901,908.367
1902,1052.268
1903,1482.655
1904,922.636
1905,780.038
1906,1200.646
1907,1078.273
1908,654.51
1909,1179.313
1910,1265.074
1911,944.919
1912,1122.661
1913,815.601
1914,884.781
1915,1055.456
1916,1395.451
1917,1104.521
1918,639.157
1919,1140.463
1920,772.828
1921,999.449
1922,849.542
1923,874.368
1924,1043.543
1925,949.715
1926,936.347
1927,805.095
1928,1008.363
1929,959.666
1930,1064.458
1931,1006.299
1932,1176.985
1933,1437.069
1934,720.253
1935,1105.337
1936,926.053
1937,985.718
1938,869.717
1939,990.161
1940,1219.19
1941,1017.315
1942,899.842
1943,1078.761
1944,1119.531
1945,779.089
1946,1220.775
1947,968.532
1948,1124.497
1949,913.393
1950,939.159
1951,998.918
1952,854.386
1953,1312.741
1954,1115.672
1955,1068.756
1956,1093.617
1957,954.288
1958,1200.196
1959,1198.569
1960,893.831
1961,1290.414
1962,1177.024
1963,986.534
1964,1447.513
1965,616.985
1966,1216.111
1967,917.528
1968,886.312
1969,1055.789
1970,967.826
1971,939.861
1972,1004.314
1973,994.007
1974,889.254
1975,1189.077
1976,648.338
1977,1201.581
1978,1057.915
1979,1302.893
1980,1003.09
1981,917.903
1982,748.564
1983,923.012
1984,799.348
1985,694.242
1986,950.648
1987,839.01
1988,1250.636
1989,1003.747
1990,759.423
1991,1167.244
1992,1132.274
1993,1062.045
1994,835.245
1995,1097.127
1996,1247.193
1997,1157.552
1998,1444.614
1999,1037.008
2000,1181.166
2001,838.199
2002,840.383
