Crop,Year,Rainfall,Temp,N,P,K,Yield(Tons/Hectre)
Bajra,1998,,,78.92,30.12,22.9,1.00
Bajra,1999,,,78.92,30.12,22.9,1.18
Bajra,2000,,,78.92,30.12,22.9,1.00
Bajra,2001,,,78.92,30.12,22.9,0.67
Bajra,2002,,,78.92,30.12,22.9,1.00
Bajra,2003,,,78.92,30.12,22.9,1.50
Bajra,2004,,,78.92,30.12,22.9,1.00
Bajra,2005,,,78.92,30.12,22.9,1.18
Bajra,2006,,,78.92,30.12,22.9,1.00
Bajra,2007,,,78.92,30.12,22.9,0.67
Bajra,2008,,,78.92,30.12,22.9,1.00
Bajra,2009,,,78.92,30.12,22.9,1.50
Bajra,2010,,,78.92,30.12,22.9,1.00
Bajra,2011,,,78.92,30.12,22.9,1.18
Bajra,2012,,,78.92,30.12,22.9,1.00
Bajra,2013,,,78.92,30.12,22.9,0.67
Bajra,2014,,,78.92,30.12,22.9,1.00
Bajra,2015,,,78.92,30.12,22.9,1.50
Bajra,2016,,,78.92,30.12,22.9,1.00
Bajra,2017,,,78.92,30.12,22.9,1.18
Cotton,1998,,,78.92,30.12,22.9,3.72
Cotton,1999,,,78.92,30.12,22.9,2.55
Cotton,2000,,,78.92,30.12,22.9,3.00
Cotton,2001,,,78.92,30.12,22.9,2.00
Cotton,2002,,,78.92,30.12,22.9,2.00
Cotton,2003,,,78.92,30.12,22.9,3.72
Cotton,2004,,,78.92,30.12,22.9,2.55
Cotton,2005,,,78.92,30.12,22.9,3.00
Cotton,2006,,,78.92,30.12,22.9,2.00
Cotton,2007,,,78.92,30.12,22.9,2.00
Cotton,2008,,,78.92,30.12,22.9,3.72
Cotton,2009,,,78.92,30.12,22.9,2.55
Cotton,2010,,,78.92,30.12,22.9,3.00
Cotton,2011,,,78.92,30.12,22.9,2.00
Cotton,2012,,,78.92,30.12,22.9,2.00
Cotton,2013,,,78.92,30.12,22.9,3.72
Cotton,2014,,,78.92,30.12,22.9,2.55
Cotton,2015,,,78.92,30.12,22.9,3.00
Cotton,2016,,,78.92,30.12,22.9,2.00
Cotton,2017,,,78.92,30.12,22.9,2.00
Groundnut,1998,,,78.92,30.12,22.9,0.74
Groundnut,1999,,,78.92,30.12,22.9,0.51
Groundnut,2000,,,78.92,30.12,22.9,0.78
Groundnut,2001,,,78.92,30.12,22.9,1.08
Groundnut,2002,,,78.92,30.12,22.9,0.83
Groundnut,2003,,,78.92,30.12,22.9,0.80
Groundnut,2004,,,78.92,30.12,22.9,0.89
Groundnut,2005,,,78.92,30.12,22.9,1.19
