Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.035,23.415,27.148,29.37,27.962,25.854,24.267,24.153,25.239,25.384,23.203,21.99
1902,22.898,24.153,27.87,29.13,29.325,26.665,25.146,25.309,24.501,25.396,22.636,22.397
1903,22.612,23.671,26.825,29.256,28.457,26.821,24.406,24.313,24.696,24.203,22.25,21.296
1904,22.12,23.569,26.586,29.041,28.463,25.561,24.271,24.882,24.752,25.087,22.118,21.535
1905,21.952,23.751,26.264,27.747,29.292,26.875,24.786,24.549,24.702,25.607,23.512,21.456
1906,22.8,24.035,26.734,30.181,29.816,25.831,24.411,24.451,23.874,24.651,23.641,22.406
1907,22.461,24.455,26.939,27.873,28.146,25.892,24.476,23.363,24.716,25.606,23.92,21.55
1908,22.278,23.816,26.806,29.878,28.625,26.714,23.737,23.901,24.88,25.288,22.469,20.689
1909,23.068,24.416,28.233,28.188,28.835,25.585,23.768,24.599,24.213,24.911,23.527,23.106
1910,22.586,23.969,27.572,29.756,29.155,26.166,24.838,24.209,24.037,24.299,21.529,20.837
1911,22.924,23.237,26.77,29.313,29.361,25.742,24.784,24.015,25.138,26.053,24.497,22.919
1912,22.694,25.232,27.811,30.094,29.695,27.417,24.758,24.451,25.335,25.166,22.853,21.508
1913,21.478,25.039,27.228,30.179,28.909,25.345,24.177,24.421,25.273,25.068,23.253,23.204
1914,22.21,25.001,27.19,28.847,29.421,26.563,24.169,24.214,24.86,25.076,23.742,22.871
1915,22.892,24.521,26.954,29.452,28.999,27.15,24.977,24.768,24.941,24.973,24.261,21.274
1916,22.329,24.22,28.121,29.82,29.219,25.121,25.199,24.449,24.836,24.886,23.378,21.126
1917,21.863,23.508,26.278,28.166,27.969,25.019,24.862,24.735,24.525,23.972,22.646,21.412
1918,21.517,23.837,26.408,28.419,27.298,25.68,25.599,24.936,25.208,26.324,24.96,23.055
1919,23.583,25.285,27.621,29.476,28.689,25.475,24.612,24.582,25.011,25.025,24.075,21.928
1920,22.909,24.149,27.639,28.97,28.6,26.087,24.213,24.594,25.224,25.541,23.425,21.956
1921,23.237,24.068,28.269,29.689,29.502,26.278,24.764,24.199,24.312,24.827,22.31,21.736
1922,23.011,24.465,27.752,29.842,28.764,26.053,23.998,24.368,24.542,24.837,22.941,20.722
1923,21.868,23.217,26.835,28.688,28.343,27.32,24.023,24.352,24.303,24.626,23.267,22.719
1924,23.22,24.988,28.206,30.178,29.517,26.521,24.932,24.947,24.625,24.107,22.06,21.72
1925,21.795,23.727,27.395,30.092,28.268,25.63,24.3,24.526,25.199,24.952,23.811,21.811
1926,23.322,25.262,27.602,27.867,29.001,27.71,25.28,24.624,24.813,25.421,23.167,22.196
1927,23.441,24.72,28.096,29.658,28.97,25.781,23.85,24.339,25.112,24.925,22.116,22.255
1928,23.084,24.425,27.408,29.582,29.331,26.582,24.627,24.42,24.489,24.896,23.459,22.15
1929,22.857,24.48,28.004,28.582,29.207,25.866,24.514,24.786,25.436,24.899,23.459,22.834
1930,23.192,23.036,27.468,28.8,28.806,26.385,23.927,24.2,24.775,25.085,22.505,22.854
