Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.095,23.345,26.511,28.672,27.987,25.727,24.487,24.424,25.358,25.653,24.447,23.149
1902,23.48,24.169,27.226,28.542,28.801,26.488,25.129,25.341,24.613,25.902,24.178,23.438
1903,23.063,23.584,25.985,28.306,27.953,26.23,24.559,24.533,24.751,24.88,23.308,22.367
1904,22.8,23.831,26.14,28.281,27.992,25.355,24.39,24.799,24.969,25.688,23.446,22.692
1905,22.45,23.571,25.467,26.966,28.597,26.779,24.87,24.811,24.916,26.006,24.619,22.621
1906,23.069,23.768,25.955,28.906,29.094,25.746,24.484,24.601,24.162,25.287,24.783,23.467
1907,23.237,24.24,26.353,26.985,27.715,25.71,24.569,23.742,24.931,25.918,24.804,22.738
1908,23.011,23.672,25.848,28.801,27.9,26.286,23.913,24.113,25.062,25.761,23.599,21.965
1909,23.006,24.024,27.188,27.609,28.268,25.668,23.944,24.689,24.287,25.331,24.381,23.616
1910,23.052,24.106,26.802,28.657,28.414,25.769,24.874,24.244,24.177,24.803,22.441,21.996
1911,23.373,23.203,26.052,28.051,28.468,25.576,24.803,24.302,25.22,26.15,25.204,24.023
1912,23.312,24.997,26.936,29.118,28.975,26.666,24.756,24.599,25.335,25.574,23.922,22.656
1913,22.362,24.594,26.258,28.861,28.524,25.352,24.29,24.597,25.265,25.483,24.18,23.67
1914,22.958,24.57,26.278,27.891,28.85,26.466,24.471,24.488,25.17,25.865,24.942,23.654
1915,23.462,24.194,26.41,28.682,28.599,26.683,25.124,25.01,25.062,25.463,25.052,22.468
1916,22.905,23.78,27.241,28.867,28.537,25.107,25.153,24.576,24.885,25.243,24.356,22.402
1917,22.729,23.66,25.84,27.673,27.478,24.971,25.043,24.695,24.639,24.4,23.478,22.386
1918,22.419,23.647,25.967,27.528,27.006,25.501,25.578,25.097,25.244,26.53,25.719,23.582
1919,23.79,24.59,26.514,28.503,28.165,25.583,24.682,24.618,25.166,25.677,24.998,23.048
1920,23.622,24.168,26.976,28.201,28.223,25.922,24.36,24.651,25.289,25.964,24.533,22.877
1921,23.658,23.975,27.259,28.638,28.712,26.07,24.743,24.336,24.386,25.521,23.663,22.899
1922,23.446,24.336,26.939,28.812,28.207,25.752,24.089,24.348,24.668,25.451,24.218,22.073
1923,22.649,23.247,26.341,27.88,27.819,26.788,24.067,24.501,24.561,25.377,24.178,23.662
1924,23.429,24.566,27.458,29.185,28.854,26.244,24.854,25.015,24.8,24.848,23.35,22.815
1925,22.324,23.256,26.791,29.136,27.992,25.325,24.525,24.793,25.35,25.908,24.987,23.215
1926,23.728,24.967,26.885,27.32,28.534,27.198,25.37,24.808,24.968,25.706,24.082,23.056
1927,23.373,24.27,26.965,28.502,28.3,25.626,24.121,24.524,25.178,25.454,23.11,23.187
1928,23.512,23.917,26.541,28.701,28.649,26.225,24.676,24.456,24.632,25.347,24.541,23.084
1929,23.144,24.157,27.209,28.118,28.579,25.488,24.597,24.847,25.448,25.358,24.659,23.32
1930,23.283,23.245,26.512,28.068,28.157,25.974,24.163,24.325,24.915,25.75,23.831,23.726
1931,23.597,24.383,26.463,29.331,28.99,27.008,24.574,24.821,24.787,25.008,24.426,22.917
1932,22.874,23.566,26.229,28.35,28.135,25.831,24.151,24.959,24.821,25.869,24.551,23.093
1933,23.014,24.042,26.245,28.278,27.366,24.973,24.445,24.19,24.407,24.951,24.688,22.801
1934,22.387,23.808,25.827,28.328,28.302,25.615,24.309,24.048,24.827,25.758,23.24,22.617
1935,22.484,23.84,26.202,27.469,28.614,26.089,24.079,24.322,24.069,25.727,23.622,23.359
1936,23.074,23.854,26.204,28.102,28.696,24.721,24.285,24.308,25.127,25.534,24.806,23.21
1937,22.621,24.243,26.234,27.626,28.185,25.744,23.819,24.61,24.826,25.068,24.204,22.79
1938,23.513,23.806,27.038,28.726,28.316,24.497,23.956,24.304,24.313,24.054,23.561,23.093
1939,23.218,24.116,25.828,27.92,28.115,25.967,23.8,24.322,24.483,25.515,23.776,22.624
1940,22.119,24.045,25.881,27.804,28.378,25.8,24.125,24.139,24.952,25.472,24.817,23.075
1941,22.954,24.92,27.477,29.472,29.377,26.325,24.998,25.346,25.621,26.596,25.66,24.914
1942,23.489,24.669,27.76,27.865,29.04,25.889,23.724,23.711,23.882,26.037,24.242,23.744
1943,23.889,23.642,26.151,27.843,27.303,24.701,23.904,24.281,23.884,24.81,24.715,22.272
1944,23.265,23.282,24.908,27.495,28.965,26.083,24.352,24.554,25.032,25.347,24.486,23.627
1945,22.344,23.903,26.827,27.388,28.275,25.874,24.305,24.727,24.226,25.218,23.75,22.247
1946,22.293,23.777,26.5,27.522,27.481,24.965,24.164,24.203,24.577,26.07,24.543,24.175
1947,23.373,23.761,26.503,27.222,28.323,26.319,24.454,25.147,24.304,24.474,23.813,23.224
1948,23.843,23.876,26.406,27.849,28.358,26.083,24.535,24.612,24.057,25.535,25.51,21.905
1949,23.009,23.396,26.536,27.753,27.533,25.576,24.71,24.819,24.273,25.336,23.48,23.038
1950,22.998,23.317,25.892,28.065,28.063,25.957,24.181,24.89,24.233,24.635,23.705,23.077
1951,23.178,24.018,26.302,27.362,28.468,25.346,24.622,24.462,25.957,26.081,25.658,22.387
1952,23.555,24.638,25.642,28.798,28.883,25.963,24.791,24.314,24.871,25.494,23.246,24.614
1953,22.979,24.761,28.276,27.569,28.937,26.635,24.446,24.186,24.636,25.601,24.053,22.575
1954,22.825,25.024,26.387,28.255,28.557,26.036,23.841,24.318,23.691,24.658,23.402,23.699
