Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.595,24.496,27.2,29.549,27.967,26.172,24.786,24.644,25.749,25.273,23.477,21.889
1902,22.925,24.438,28.071,29.269,29.267,27.062,25.648,25.768,24.807,25.158,22.924,22.616
1903,23.027,24.54,27.58,29.509,28.484,27.041,24.901,24.632,24.902,24.316,22.326,21.335
1904,22.222,23.937,27.016,29.34,28.173,25.576,24.628,25.11,25.107,25.058,22.406,21.616
1905,22.444,24.577,27.013,28.26,29.053,27.097,25.444,25.025,25.094,25.307,23.654,21.712
1906,23.427,25.038,27.041,30.481,29.974,26.289,25,24.864,24.223,24.727,23.699,22.456
1907,22.624,24.943,27.285,28.235,28.217,26.146,25,23.852,25.175,25.515,23.92,21.92
1908,22.652,24.394,26.965,30.08,28.654,27.031,24.307,24.379,25.107,25.203,22.729,21.152
1909,23.227,24.973,28.291,28.505,28.551,26.026,24.345,25.005,24.557,24.996,23.856,23.23
1910,22.917,24.565,27.883,29.955,29.219,26.46,25.403,24.546,24.198,24.436,21.895,21.017
1911,23.066,23.538,27.229,29.476,29.143,26.197,25.093,24.437,25.65,25.604,24.3,22.829
1912,22.769,25.76,28.16,30.002,29.772,27.401,25.038,24.765,25.493,24.986,22.948,21.527
1913,21.769,25.43,27.663,30.192,29.006,25.946,24.636,24.917,25.754,24.908,23.335,23.216
1914,22.301,25.469,27.711,29.08,29.311,26.994,24.751,24.58,25.186,24.986,23.739,23.006
1915,23.184,25.137,27.242,29.537,29.006,27.355,25.532,25.336,25.252,25.167,24.174,21.416
1916,22.451,24.88,28.146,29.942,28.964,25.39,25.485,24.732,24.993,24.811,23.282,21.263
1917,21.973,23.837,26.519,28.524,28.025,25.274,25.375,24.99,24.738,24.07,22.99,21.705
1918,21.854,23.921,26.514,28.762,27.183,26.01,26.087,25.202,25.455,26.085,24.796,22.89
1919,23.923,25.768,27.83,29.837,28.62,25.834,25.201,24.958,25.368,25.048,23.92,22.161
1920,22.789,24.85,28.007,29.136,28.808,26.586,24.975,25.153,25.469,25.483,23.609,22.022
1921,23.537,24.557,28.414,29.404,29.699,26.542,25.217,24.827,24.608,24.712,22.356,21.763
1922,23.109,24.618,28.049,29.877,28.66,26.354,24.662,24.891,24.927,24.677,23.174,21.001
1923,21.955,23.9,26.752,28.941,28.496,27.575,24.447,24.836,24.621,24.654,23.461,22.659
1924,23.209,25.466,28.046,30.365,29.566,26.755,25.292,25.272,24.908,24.367,22.391,21.648
1925,22.425,24.235,27.446,30.098,28.107,26.191,24.968,24.896,25.497,24.732,23.472,21.754
1926,23.421,25.315,27.922,28.447,29.075,27.986,25.992,25.163,25.168,25.22,23.262,22.378
1927,23.781,25.454,28.505,30.051,29.094,26.305,24.498,24.96,25.424,24.82,22.362,22.392
1928,23.354,24.895,27.526,29.673,29.582,26.851,25.187,24.874,25.15,24.828,23.455,22.113
1929,23.377,24.872,27.792,28.665,29.1,26.279,25.19,25.418,25.72,24.89,23.502,22.959
1930,23.433,23.948,27.648,29.143,28.6,26.837,24.831,24.853,25.215,24.928,22.828,22.866
1931,22.854,25.18,27.768,30.33,29.712,27.223,25.072,25.122,24.837,24.765,23.218,21.846
1932,21.816,24.036,26.683,29.359,28.408,26.317,24.558,25.348,24.868,25.328,23.609,21.997
1933,22.611,25.052,27.05,29.102,27.406,25.236,24.438,24.352,24.555,24.177,23.62,21.746
1934,22.318,24.239,26.893,29.401,29.103,26.511,24.837,24.42,25.244,25.246,22.27,21.31
1935,22.677,24.878,27.209,28.571,29.553,26.818,24.545,24.674,24.36,25.113,22.43,22.525
1936,23.526,24.742,27.044,29.317,29.168,25.204,24.761,24.548,25.455,25.023,23.675,22.518
1937,22.437,25.306,27.573,28.801,28.983,26.54,24.408,25.127,25.274,24.612,23.066,22.164
1938,23.63,24.984,28.27,29.702,28.838,24.965,24.374,24.458,24.482,23.786,22.616,21.969
1939,22.544,24.535,26.829,28.984,29.031,26.531,24.275,24.659,24.762,25.106,22.466,21.346
1940,21.553,24.531,27.195,28.842,28.588,26.33,24.334,24.326,25.166,24.92,23.594,22.274
1941,23.098,25.279,28.607,30.415,29.719,26.674,25.721,25.411,25.49,25.715,24.284,23.479
1942,23.169,25.24,28.345,29.223,29.571,26.511,24.508,24.22,24.437,25.085,23.195,22.867
1943,23.641,24.017,27.379,28.842,27.595,25.24,24.309,24.665,23.988,24.14,23.531,21.26
1944,23.153,24.335,26.138,28.514,29.426,26.612,24.645,25.111,25.159,24.886,23.447,22.243
1945,22.579,24.926,27.722,28.627,29.144,26.397,24.807,24.684,24.57,24.741,22.65,21.541
1946,21.76,24.205,27.714,28.808,28.383,25.706,24.701,24.564,24.956,25.505,23.599,22.807
1947,23.336,24.402,27.688,28.628,29.3,26.802,24.645,25.095,24.476,23.995,22.768,22.181
1948,23.423,24.971,27.259,29.017,28.901,26.617,25,24.726,24.435,25.086,24.451,21.044
1949,22.377,24.068,27.576,28.99,28.152,25.989,24.845,24.896,24.371,24.996,22.453,21.776
1950,22.544,24.349,26.941,29.328,28.917,26.169,24.531,25.136,24.307,24.204,22.676,21.81
1951,22.888,24.559,27.544,28.871,28.779,25.799,24.853,24.957,25.907,25.579,24.492,21.582
1952,23.19,25.341,27.249,29.881,29.463,26.677,25.59,24.836,25.127,24.686,21.916,22.912
1953,22.882,25.06,29.033,28.876,30.155,27.44,24.875,24.564,24.753,25.086,22.88,21.552
1954,22.816,25.482,27.402,29.754,29.343,26.617,24.3,24.572,24.136,24.121,22.284,22.591
1955,23.072,25.631,27.642,29.048,27.935,25.803,24.726,23.81,25.34,24.886,22.177,21.291
1956,22.503,24.166,28.196,29.928,27.706,25.44,23.582,24.075,24.236,24.171,23.438,21.837
1957,22.925,24.901,26.56,29.136,29.06,26.692,24.942,24.225,25.063,25.769,23.915,23.211
1958,23.169,25.199,27.803,29.743,29.131,28.029,24.672,24.892,24.563,24.887,24.267,22.5
1959,23.598,25.916,28.012,29.613,29.689,26.209,24.3,24.689,25.153,25.106,23.866,22.937
1960,23.729,25.097,27.768,29.472,28.727,26.483,25.381,25.645,25.029,24.987,23.558,22.794
1961,23.384,25.055,29.035,30.2,28.019,25.866,24.2,24.679,24.617,24.649,23.22,22.544
1962,22.165,25.115,27.559,28.842,28.47,27.011,24.969,24.665,24.823,25.182,23.067,22.018
1963,22.328,24.231,27.685,28.472,28.926,25.892,25.336,24.393,25.161,24.787,23.917,22.967
1964,23.133,25.64,28.45,30.134,29.499,26.81,25.254,24.231,24.261,24.996,22.678,21.618
1965,22.605,24.616,27.532,28.825,29.085,26.503,24.536,25.092,25.404,26.243,24.64,23.509
1966,23.862,26.124,28.687,30.098,28.79,27.169,25.59,25.765,25.169,25.067,24.024,22.426
1967,23.02,24.948,27.287,29.951,29.833,27.317,24.616,24.534,24.714,24.53,23.5,23.619
1968,22.744,25.677,27.439,29.25,29.57,26.904,24.949,25.057,25.248,24.585,23.712,23.119
1969,22.992,26.178,29.214,30.528,29.524,27.303,24.962,25.353,24.576,25.175,24.371,22.53
1970,23.599,25.659,28.47,30.193,29.083,25.937,25.209,24.393,24.812,24.998,23.312,21.204
1971,22.454,25.561,27.352,29.68,28.475,25.549,25.026,24.832,25.549,24.101,22.97,21.759
1972,22.431,24.868,28.275,29.611,28.715,27.737,25.659,25.83,25.952,25.9,24.426,23.565
1973,24.424,25.903,28.711,30.708,30.033,26.415,25.455,24.704,25.427,24.578,22.579,21.686
1974,23.163,25.083,27.904,30.161,28.807,26.009,24.982,24.904,24.95,24.291,23.877,21.604
1975,22.297,25.725,28.116,30.415,28.58,26.127,24.653,24.902,24.707,24.596,22.671,21.31
1976,21.545,24.057,27.945,28.629,28.568,26.887,25.076,25.046,25.048,26.534,25.029,23.839
1977,23.215,25.733,28.366,29.265,27.948,26.197,24.381,24.708,25.67,24.875,24.58,21.823
