Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.559,24.303,28.448,31.495,30.856,28.545,26.129,25.588,27.137,26.538,23.535,22.134
1902,23.406,25.037,29.635,31.598,33.415,29.656,27.747,27.327,26.222,26.793,22.402,22.386
1903,23.089,24.559,28.751,31.778,31.285,30.358,25.987,25.666,26.202,25.244,22.424,21.134
1904,22.557,24.16,28.235,32.024,31.909,28.175,26.787,26.835,26.102,26.038,22.168,21.259
1905,22.272,23.84,28.098,30.128,32.539,30.055,27.424,26.158,26.204,26.543,23.974,21.324
1906,23.257,24.864,28.253,32.542,33.405,28.216,26.813,26.355,25.854,25.88,23.699,22.418
1907,22.651,25.262,28.303,30.037,31.379,28.521,26.862,24.822,26.515,27.015,24.795,21.489
1908,22.257,24.851,28.203,32.548,32.774,29.768,26.142,25.492,25.976,25.984,22.342,20.118
1909,23.642,25.391,29.443,29.972,32.465,27.624,25.635,26.415,25.988,26.109,23.713,23.324
1910,22.906,24.631,28.913,32.302,32.683,28.675,27.325,26.376,25.601,25.501,21.369,20.609
1911,23.108,23.88,28.41,32.185,33.323,28.525,27.279,25.291,27.03,27.391,24.901,22.597
1912,23.302,25.947,29.389,31.839,32.923,31.253,26.878,25.846,26.801,26.538,23.149,21.129
1913,21.551,25.992,28.611,32.536,31.93,28.119,26.339,26.42,26.953,26.418,23.565,23.181
1914,22.351,25.862,28.557,30.834,32.22,28.396,26.028,25.47,25.732,25.994,23.944,22.538
1915,22.485,24.76,27.588,31.338,32.075,30.306,27.125,26.027,26.137,26.13,24.849,20.77
1916,23.103,25.173,29.15,31.584,32.293,27.195,26.979,26.326,26.295,25.895,23.378,20.432
1917,21.664,23.669,26.912,29.69,31.09,27.09,26.449,26.334,25.755,25.48,22.527,21.156
1918,21.236,24.405,27.893,30.926,30.25,28.265,28.242,26.384,27.027,26.857,24.767,22.625
1919,24.059,26.269,29.334,31.604,32.077,27.534,27.027,26.431,26.75,25.612,23.907,21.27
1920,22.72,24.42,29.045,30.971,31.56,29.363,26.811,27.27,27.128,27.308,24.096,22.061
1921,23.404,24.809,30.053,32.184,34.03,28.556,26.699,26.015,26.142,25.346,21.561,21.317
1922,22.619,24.753,29.003,32.171,32.257,28.741,26.463,26.629,25.794,25.651,23.222,20.539
1923,22.014,24.213,27.996,31.733,32.263,31.228,26.181,26.11,25.845,25.207,23.264,22.276
1924,23.351,25.992,29.446,32.882,33.128,29.851,27.376,26.835,25.996,25,22.029,21.204
1925,21.722,24.18,28.616,32.439,31.089,28.435,26.693,25.742,26.646,25.687,23.801,21.104
1926,23.371,25.525,28.945,29.941,31.669,31.3,27.382,26.282,26.486,26.538,23.259,22.074
1927,24.355,25.988,29.916,32.433,32.622,28.673,25.939,26.172,27.048,26.033,22.085,22.224
1928,23.523,25.361,28.892,31.49,33.215,29.055,26.64,26.519,26.179,26.099,24.065,22.498
1929,23.719,24.81,29.327,30.871,33.514,28.785,27.053,26.824,26.596,26.236,24.046,23.575
1930,23.807,23.874,29.153,31.021,32.722,29.778,26.863,26.513,26.491,26.288,22.855,23.125
1931,22.497,26.133,28.777,32.511,32.862,29.369,26.179,26.296,25.988,25.441,22.754,21.384
1932,21.559,23.791,27.309,30.8,31.608,28.842,26.033,26.667,26.145,26.78,24.051,21.719
1933,22.612,25.919,27.981,30.569,29.694,27.361,25.727,25.367,25.899,25.096,23.521,21.374
1934,21.695,24.525,28.136,31.782,32.919,29.301,26.14,25.578,25.949,26.06,22.158,21.096
1935,22.657,25.173,28.095,29.897,33.376,29.425,26.133,26.337,25.548,26.45,22.73,22.668
1936,24.251,24.602,27.983,31.042,32.293,27.577,26.987,26.067,27.011,26.298,23.778,22.024
1937,21.834,25.554,28.146,30.926,32.667,29.762,26.142,26.769,26.698,25.599,23.636,22.079
1938,24.308,24.883,29.638,31.799,32.165,26.112,25.69,25.914,25.668,24.728,22.159,21.016
1939,22.448,24.996,27.741,31.115,32.958,29.37,26.324,26.316,26.188,26.277,21.86,20.72
1940,21.148,24.942,27.845,30.973,31.632,28.815,25.43,25.517,26.442,25.877,24.448,22.591
1941,23.315,25.647,30.234,32.781,33.161,29.556,27.695,26.688,26.838,26.878,24.004,23.837
1942,23.512,25.503,29.639,32.144,32.878,29.305,26.142,25.873,25.698,25.705,23.209,22.663
1943,24.069,23.226,28.56,30.837,31.056,27.516,25.983,25.988,25.335,25.398,23.871,20.43
1944,23.323,24.755,26.841,30.501,33.07,29.321,26.24,26.539,26.489,25.939,23.316,22.432
1945,22.547,24.523,28.797,30.485,33.004,28.899,26.201,25.682,25.638,25.595,21.954,20.469
1946,21.2,24.347,29.043,31.218,32.011,27.834,26.479,25.92,26.397,27.183,24.388,23.568
1947,23.864,25.37,29.388,31.373,33.107,29.867,26.334,26.464,25.646,24.746,23.188,21.949
1948,23.471,25.37,28.191,31.458,33.201,29.243,26.907,26.115,25.799,26.578,25.099,20.267
1949,22.417,24.128,28.933,31.51,31.608,28.09,26.489,26.473,25.766,26.298,22.41,21.81
1950,22.35,24.33,27.596,31.518,32.299,28.818,26.421,27.053,25.936,25.386,22.663,21.561
1951,22.679,24.578,28.892,31.322,32.319,28.975,26.928,26.277,27.29,27.043,24.664,21.513
1952,22.912,25.754,28.235,32.221,32.962,29.52,27.575,26.092,26.628,26.293,22.249,23.408
1953,23.189,26.38,30.742,32.161,34.271,30.418,27.04,25.977,26.275,26.369,23.212,21.267
1954,22.439,26.06,28.788,32.402,33.898,29.074,26.321,26.413,25.453,24.896,22.249,22.674
1955,23.204,26.015,29.37,31.289,32.109,28.717,26.53,25.367,26.295,25.783,21.993,21.364
1956,23.013,24.34,29.649,32.142,31.749,28.238,25.072,25.717,25.829,25.197,23.664,21.959
1957,23.311,24.871,27.684,31.078,32.465,29.865,26.437,25.48,26.528,27.142,24.481,23.247
1958,23.316,25.551,29.086,31.965,32.96,31.302,25.992,26.309,26.245,26.332,24.744,22.597
