Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.811,24.303,28.329,30.76,29.464,27.311,25.537,25.336,26.419,26.314,23.755,22.511
1902,23.661,25.087,29.13,30.57,31.194,28.233,26.658,26.624,25.629,26.422,23.008,22.835
1903,23.301,24.568,28.105,30.705,29.986,28.517,25.615,25.464,25.785,25.089,22.808,21.705
1904,22.863,24.417,27.796,30.627,30.133,27.029,25.766,26.239,25.814,25.938,22.579,21.894
1905,22.617,24.413,27.465,29.158,30.912,28.486,26.287,25.774,25.785,26.499,24.085,21.845
1906,23.464,24.893,27.927,31.616,31.527,27.191,25.858,25.772,25.12,25.611,24.133,22.885
1907,23.119,25.374,28.095,29.278,29.757,27.349,25.879,24.569,25.858,26.608,24.6,21.927
1908,22.865,24.77,27.981,31.425,30.497,28.294,25.156,25.123,25.846,26.065,22.877,20.891
1909,23.841,25.37,29.34,29.454,30.61,26.818,25.009,25.878,25.374,25.861,24.067,23.603
1910,23.266,24.839,28.724,31.282,30.781,27.614,26.307,25.616,25.132,25.246,22.032,21.179
1911,23.569,24.13,28.019,30.874,31.237,27.24,26.27,25.163,26.319,27.075,25.113,23.264
1912,23.526,26.047,29.023,31.342,31.298,29.225,26.117,25.645,26.433,26.214,23.419,21.859
1913,22.076,26.006,28.373,31.613,30.492,26.798,25.563,25.813,26.392,26.015,23.834,23.684
1914,22.849,25.91,28.316,30.164,30.959,27.776,25.41,25.341,25.728,25.926,24.245,23.186
1915,23.432,25.229,27.883,30.755,30.526,28.751,26.348,25.888,25.926,25.869,24.916,21.552
1916,23.168,25.169,29.159,31.104,30.865,26.417,26.489,25.772,25.934,25.766,23.876,21.356
1917,22.427,24.262,27.225,29.336,29.64,26.3,26.109,25.983,25.553,24.986,23.046,21.726
1918,22.017,24.676,27.582,29.855,28.808,27.146,27.146,26.183,26.374,27.123,25.414,23.411
1919,24.298,26.257,28.843,30.823,30.352,26.749,26.058,25.911,26.173,25.812,24.507,22.155
1920,23.502,24.895,28.793,30.284,30.161,27.693,25.699,26.118,26.432,26.581,24.074,22.412
1921,23.869,24.939,29.53,31.17,31.487,27.701,26.068,25.466,25.501,25.572,22.548,22.063
1922,23.513,25.254,28.856,31.274,30.469,27.544,25.41,25.765,25.527,25.687,23.498,21.118
1923,22.534,24.17,27.941,30.305,30.17,29.14,25.413,25.636,25.413,25.413,23.782,23.085
1924,23.881,25.936,29.328,31.723,31.257,28.193,26.416,26.305,25.675,24.92,22.51,21.985
