Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.391,24.425,25.257,27.202,26.001,24.267,23.676,23.836,24.711,24.228,23.264,21.743
1902,22.104,23.225,25.953,27.018,26.629,24.926,23.812,24.57,23.818,23.798,23.225,22.86
1903,22.913,24.103,26.198,27.236,26.196,24.65,23.522,23.614,23.689,23.584,22.167,21.41
1904,21.502,22.788,25.183,26.802,25.441,23.208,22.769,23.669,24.19,24.167,22.603,21.864
1905,22.282,24.208,25.659,26.436,26.27,24.663,23.962,24.021,24.328,24.006,23.391,21.983
1906,23.239,24.412,25.328,28.095,27.385,24.38,23.377,23.536,23.367,23.931,23.288,22.278
1907,22.098,23.805,25.527,26.147,26.031,24.066,23.427,22.889,24.254,24.315,23.199,22.314
1908,22.488,23.433,24.983,27.339,25.905,24.534,22.678,23.421,24.175,24.313,22.796,21.927
1909,22.288,23.74,25.98,26.589,25.738,24.35,23.022,23.721,23.577,24.127,23.529,22.876
1910,22.517,23.607,25.905,27.206,26.667,24.198,23.649,23.15,23.156,23.627,22.197,21.451
1911,22.423,22.387,25.449,26.899,26.058,24.087,23.065,23.608,24.737,23.929,23.475,22.636
1912,21.865,24.637,26.185,27.413,27.222,24.266,23.353,23.584,24.241,23.708,22.74,21.649
1913,21.631,23.907,25.854,27.472,26.859,24.337,23.09,23.806,24.744,23.798,23.109,22.977
1914,21.828,24.199,26.139,27.037,26.879,25.184,23.547,23.634,24.636,24.146,23.454,23.03
1915,22.904,24.322,25.583,27.171,26.621,24.942,23.976,24.407,24.478,24.523,23.338,21.85
1916,21.667,23.836,26.024,27.547,26.32,23.553,23.838,23.511,23.817,23.741,22.875,21.64
1917,21.744,23.071,24.948,26.837,25.662,23.491,24.138,23.736,23.692,23.142,23.066,22.004
1918,21.79,22.297,24.583,26.7,24.852,24.042,24.196,23.913,24.238,25,24.17,22.615
1919,23.317,24.401,25.622,27.757,26.109,24.064,23.549,23.668,24.314,24.352,23.111,22.666
1920,22.127,24.162,26.309,26.879,26.792,24.34,23.681,23.719,24.188,24.266,23.173,21.934
1921,23.008,23.509,26.147,26.359,26.929,24.416,23.559,23.653,23.588,23.931,22.592,21.843
1922,22.522,23.396,26.042,27.184,25.932,24.102,23.102,23.556,24.056,23.795,22.905,21.412
1923,21.493,23.009,24.707,26.591,26.169,24.674,22.801,23.459,23.73,24.003,23.455,22.682
1924,22.383,24.165,25.657,27.647,26.943,24.18,23.201,23.848,24.015,23.967,22.733,21.765
1925,22.441,23.414,25.303,27.239,25.665,24.26,23.525,23.738,24.538,23.878,22.736,21.806
1926,22.682,23.799,26.121,26.752,26.98,25.197,24.566,24.297,24.216,24.003,23.109,22.471
1927,23.028,24.327,26.451,27.692,26.424,24.224,23.073,24.035,24.181,23.805,22.564,22.561
1928,22.85,23.741,25.411,27.291,27.212,24.782,23.773,23.524,24.558,23.771,23.051,22.002
1929,22.752,23.804,25.391,26.183,26.224,24.095,23.722,24.305,24.65,23.928,23.159,22.692
1930,22.704,23.569,25.585,26.988,25.626,24.484,23.723,23.83,24.377,23.919,22.992,22.639
1931,22.577,23.909,26.182,27.588,27.393,24.924,23.884,24.033,23.99,24.414,23.286,22.325
1932,21.532,23.422,24.875,27.313,25.733,24.286,23.183,24.13,23.856,24.07,23.183,22.16
1933,22.314,23.927,25.27,26.903,25.267,23.383,23.024,23.284,23.523,23.291,23.378,22.034
1934,22.442,23.004,25.048,26.787,26.544,24.364,23.621,23.544,24.791,24.4,22.264,21.565
1935,22.729,23.998,25.784,26.818,27.066,24.586,23.089,23.249,23.523,23.967,22.324,22.461
1936,23.084,24.243,25.248,27.147,26.394,23.147,23.1,23.26,24.21,23.989,23.225,22.959
1937,22.507,24.5,26.103,26.534,26.355,24.114,22.936,23.986,24.425,23.766,22.768,22.136
1938,22.724,24.567,26.182,27.079,26.531,23.713,23.026,23.111,23.63,23.201,22.763,22.573
1939,21.953,23.141,25.149,26.474,26.455,24.179,22.684,23.341,23.816,24.046,22.765,21.879
1940,21.461,23.265,25.71,26.306,26.231,24.152,23.163,23.284,24.268,24.181,22.768,22.313
