Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.813,25.554,26.842,28.687,27.842,25.461,24.839,24.815,25.565,25.583,25.173,23.935
1902,24.426,25.232,27.585,28.719,28.331,26.116,25.027,25.569,24.844,25.633,25.25,24.589
1903,24.723,25.402,27.004,28.4,27.513,25.697,24.59,24.683,24.731,25.093,24.102,23.299
1904,23.824,24.893,26.609,28.243,27.233,24.641,24.219,24.743,25.117,25.693,24.523,23.784
1905,23.989,25.502,26.492,27.499,27.675,26.125,25.071,25.069,25.312,25.676,25.35,23.732
1906,24.644,25.371,26.6,28.921,28.473,25.437,24.504,24.678,24.59,25.502,25.262,24.217
1907,24.381,25.373,26.861,27.189,27.421,25.314,24.586,23.976,25.209,25.764,25.242,24.024
1908,24.413,25.078,26.218,28.487,27.313,25.672,23.875,24.392,25.117,25.711,24.429,23.472
1909,23.782,25.13,27.152,27.844,27.431,25.43,24.044,24.71,24.592,25.465,24.983,24.151
1910,24.356,25.369,27.093,28.353,27.791,25.123,24.805,24.279,24.33,25.011,23.711,23.22
1911,24.39,24.322,26.71,28.001,27.469,25.21,24.437,24.614,25.603,25.577,25.368,24.676
1912,24.114,26.099,27.416,28.741,28.305,25.599,24.614,24.569,25.315,25.403,24.655,23.599
1913,23.885,25.466,26.768,28.527,28.162,25.417,24.359,24.85,25.52,25.408,24.869,24.319
1914,24.139,25.535,26.941,28.1,28.213,26.122,24.722,24.654,25.553,26.007,25.572,24.492
1915,24.704,25.505,26.851,28.448,28.076,26.119,25.126,25.237,25.333,25.783,25.233,23.662
1916,23.964,25.034,27.385,28.65,27.727,24.828,25.008,24.72,24.899,25.178,24.821,23.557
1917,24.076,25.032,26.37,28.107,27.103,24.689,25.236,24.69,24.713,24.581,24.356,23.476
1918,23.899,24.161,26.376,27.886,26.424,25.222,25.372,25.052,25.315,26.284,25.959,24.076
1919,24.947,25.594,26.721,28.725,27.617,25.327,24.668,24.668,25.354,25.811,25.068,24.205
1920,24.508,25.644,27.53,28.2,28.041,25.45,24.748,24.71,25.239,25.893,25.101,23.739
1921,24.776,25.172,27.446,27.954,28.172,25.576,24.531,24.554,24.604,25.577,24.573,23.776
1922,24.382,25.234,27.172,28.461,27.449,25.21,24.183,24.457,24.865,25.46,24.884,23.299
1923,23.878,24.656,26.486,28.12,27.549,25.877,24.037,24.459,24.799,25.595,24.931,24.491
1924,24.262,25.562,27.398,28.932,28.254,25.467,24.469,24.908,25.042,25.386,24.499,23.707
1925,23.95,24.63,26.861,28.638,27.367,25.099,24.732,24.807,25.516,25.922,25.16,24
1926,24.612,25.613,27.389,27.983,28.126,26.349,25.517,25.228,25.229,25.493,24.855,24.088
1927,24.487,25.616,27.364,28.575,27.605,25.255,24.241,24.888,25.239,25.414,24.198,24.27
1928,24.771,25.101,26.761,28.592,28.351,25.706,24.85,24.51,25.221,25.294,25.165,23.971
1929,24.393,25.244,27.101,28.012,27.914,25.008,24.827,25.096,25.516,25.452,25.413,24.191
1930,24.361,25.162,26.87,28.219,27.279,25.451,24.78,24.77,25.333,25.733,24.973,24.477
1931,24.879,25.541,27.222,28.931,28.602,26.219,24.844,24.959,25.082,25.636,25.291,24.198
1932,24.151,25.172,26.47,28.533,27.26,25.559,24.249,24.967,24.99,25.685,25.206,24.076
1933,24.453,25.367,26.661,28.232,26.805,24.626,24.373,24.261,24.532,24.894,25.335,23.896
1934,24.068,24.802,26.31,28.116,27.833,25.335,24.562,24.432,25.52,25.835,24.085,23.65
1935,24.32,25.3,27.079,27.896,28.225,25.631,24.185,24.269,24.379,25.493,24.433,24.239
1936,24.617,25.637,26.561,28.233,27.694,24.326,24.309,24.328,25.117,25.493,25.192,24.489
1937,24.226,25.845,27.023,27.735,27.609,25.217,24.026,24.87,25.233,25.199,24.932,23.689
1938,24.464,25.788,27.416,28.432,27.954,24.668,24.127,24.196,24.618,24.391,24.441,24.398
1939,24.171,24.883,26.358,27.761,27.717,25.417,23.842,24.369,24.792,25.493,24.835,23.926
1940,23.54,25.056,26.663,27.515,27.771,25.317,24.337,24.351,25.225,25.693,25.054,24.099
1941,24.447,25.744,27.75,29.151,28.464,25.587,25.194,25.228,25.277,26.146,25.996,24.768
1942,24.232,25.796,27.77,28.315,28.483,25.434,24.183,24.125,24.645,25.889,24.827,24.853
