Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.394,24.052,25.913,28.018,26.891,24.746,23.783,23.78,24.806,24.556,23.792,22.122
1902,22.908,23.894,26.769,27.834,27.567,25.539,24.295,24.672,23.874,24.505,23.566,22.859
1903,23.028,24.016,26.203,27.835,26.968,25.163,23.847,23.735,23.921,23.903,22.488,21.582
1904,22.285,23.534,25.884,27.672,26.561,24.063,23.347,23.89,24.229,24.581,22.888,21.966
1905,22.475,24.136,25.682,26.74,27.282,25.577,24.201,24.151,24.277,24.64,23.844,22.036
1906,23.307,24.409,25.687,28.547,28.16,24.952,23.755,23.812,23.39,24.286,23.913,22.611
1907,22.799,24.225,26.081,26.648,26.696,24.668,23.755,23.066,24.292,24.794,23.897,22.31
1908,22.86,23.737,25.467,28.182,26.791,25.324,23.116,23.473,24.273,24.712,23.065,21.697
1909,22.736,24.115,26.705,27.178,26.815,24.87,23.271,23.952,23.542,24.401,23.879,22.989
1910,22.916,24.141,26.513,28.078,27.458,24.861,24.095,23.426,23.26,23.895,22.031,21.368
1911,23.013,22.956,25.905,27.495,27.106,24.732,23.732,23.611,24.711,24.641,24.114,23.095
1912,22.732,25.116,26.718,28.365,28.053,25.292,23.809,23.781,24.451,24.318,23.158,21.858
1913,22.077,24.462,26.19,28.2,27.55,24.685,23.446,23.891,24.722,24.25,23.418,22.964
1914,22.447,24.554,26.334,27.495,27.721,25.746,23.758,23.773,24.59,24.672,24.02,23.08
1915,23.276,24.49,26.149,27.95,27.529,25.584,24.41,24.497,24.442,24.655,24.046,21.835
1916,22.369,24.015,26.819,28.28,27.229,24.122,24.235,23.704,23.992,24.172,23.417,21.734
1917,22.293,23.485,25.545,27.358,26.419,24,24.34,23.89,23.829,23.408,23.124,21.889
1918,22.186,23.156,25.4,27.124,25.776,24.53,24.695,24.227,24.398,25.371,24.788,22.716
1919,23.668,24.729,26.211,28.209,26.976,24.661,23.956,23.867,24.429,24.672,23.942,22.565
1920,22.964,24.422,26.752,27.61,27.395,25.033,23.841,23.929,24.447,24.805,23.753,22.119
1921,23.466,23.963,26.846,27.551,27.762,25.071,23.939,23.797,23.612,24.363,22.887,22.113
1922,23.146,24.024,26.703,28.067,26.985,24.793,23.432,23.721,24.081,24.241,23.491,21.443
1923,22.153,23.354,25.591,27.255,26.822,25.589,23.254,23.721,23.789,24.38,23.587,22.886
1924,22.953,24.554,26.689,28.527,27.791,25.087,23.925,24.183,24.05,24.086,22.828,21.981
1925,22.53,23.429,26.175,28.322,26.698,24.653,23.842,24.005,24.613,24.534,23.685,22.276
1926,23.278,24.584,26.612,27.108,27.587,26.14,24.824,24.213,24.235,24.441,23.417,22.472
1927,23.291,24.515,26.871,28.164,27.316,24.832,23.435,24.007,24.369,24.28,22.587,22.556
1928,23.26,23.985,26.097,28.089,27.85,25.27,24.015,23.751,24.304,24.218,23.628,22.183
1929,23.107,24.122,26.344,27.298,27.228,24.608,23.978,24.344,24.759,24.265,23.751,22.673
1930,23.051,23.646,26.126,27.632,26.739,25.055,23.692,23.82,24.326,24.489,23.235,22.887
1931,23.239,24.33,26.46,28.565,28.082,25.809,24.032,24.199,24.129,24.402,23.74,22.344
1932,22.412,23.77,25.674,27.973,26.862,24.884,23.43,24.26,24.007,24.698,23.759,22.333
1933,22.791,24.207,25.899,27.767,26.244,23.962,23.555,23.496,23.668,23.795,23.895,22.105
1934,22.441,23.661,25.562,27.687,27.367,24.814,23.77,23.488,24.567,24.757,22.54,21.806
1935,22.683,24.108,26.182,27.249,27.707,25.194,23.354,23.543,23.443,24.513,22.811,22.618
1936,23.122,24.291,25.836,27.733,27.434,23.721,23.499,23.469,24.345,24.418,23.818,22.74
1937,22.583,24.566,26.28,27.141,27.145,24.724,23.161,24.029,24.237,24.094,23.352,22.134
1938,23.119,24.418,26.821,28.045,27.353,23.882,23.301,23.421,23.674,23.237,22.955,22.558
1939,22.678,23.778,25.619,27.288,27.191,24.877,23.001,23.551,23.813,24.417,23.151,21.983
1940,21.832,23.887,25.956,27.125,27.174,24.777,23.399,23.449,24.235,24.504,23.662,22.381
1941,22.919,24.648,27.098,28.673,28.063,25.018,24.315,24.482,24.563,25.172,24.601,23.58
1942,23.05,24.644,27.062,27.428,27.969,24.917,23.26,23.148,23.517,24.797,23.42,23.058
1943,23.454,23.715,26.124,27.255,26.134,23.837,23.114,23.634,23.111,23.518,23.721,21.778
1944,23.045,23.544,25.094,26.94,27.76,25.012,23.47,23.973,24.23,24.326,23.747,22.559
1945,22.543,24.431,26.466,27.06,27.309,24.937,23.699,23.86,23.714,24.285,23.169,22.086
1946,22.083,23.758,26.357,27.12,26.625,24.322,23.454,23.515,23.906,24.774,23.621,22.933
1947,23.166,23.574,26.164,26.673,27.532,25.131,23.512,24.179,23.61,23.584,23.002,22.541
1948,23.477,24.228,26.133,27.4,27.036,25.071,23.693,23.707,23.487,24.462,24.531,21.591
1949,22.567,23.549,26.325,27.306,26.587,24.617,23.71,23.883,23.429,24.363,22.755,22.038
1950,22.736,23.768,25.88,27.678,27.294,24.739,23.266,23.962,23.367,23.562,22.935,22.216
1951,22.961,24.048,26.163,27.052,27.233,24.137,23.633,23.936,25.024,24.859,24.683,21.804
1952,23.297,24.722,25.908,28.126,27.844,24.953,24.271,23.728,24.067,24.03,22.085,23.153
1953,22.859,24.219,27.594,26.879,28.082,25.668,23.547,23.542,23.85,24.464,23.094,21.972
1954,22.934,24.725,26.08,27.926,27.299,25.012,23.054,23.45,23.157,23.662,22.609,22.798
1955,23.179,24.986,26.205,27.293,26.196,24.221,23.56,22.835,24.531,24.372,22.507,21.567
1956,22.515,23.651,26.805,28.279,25.831,23.806,22.5,23.033,23.218,23.692,23.582,22.066
1957,22.916,24.27,25.326,27.615,27.473,25.009,23.812,23.352,24.068,25.11,23.942,23.522
1958,23.14,24.446,26.421,28.149,27.444,26.163,23.676,23.93,23.516,24.257,24.43,22.823
1959,23.622,25.116,26.751,27.915,27.953,24.676,23.053,23.728,24.206,24.456,23.926,23.237
1960,23.646,24.624,26.459,27.85,27,24.984,24.012,24.448,23.96,24.418,23.678,22.932
1961,23.408,24.383,27.585,28.481,26.371,24.293,22.872,23.627,23.584,24.172,23.605,23.009
1962,22.389,24.651,26.32,27.264,26.93,25.497,23.749,23.627,23.99,24.621,23.363,22.439
1963,22.683,23.814,26.436,27.017,27.274,24.544,24.214,23.488,24.225,24.246,24.171,23.332
1964,22.976,24.909,26.996,28.501,27.739,25.276,24.171,23.218,23.35,24.439,22.888,22.025
1965,22.626,23.937,26.162,27.246,27.449,24.908,23.354,23.957,24.494,25.766,24.776,23.592
1966,23.81,25.424,27.134,28.384,26.958,25.537,24.217,24.727,24.388,24.51,23.961,22.758
1967,22.961,24.283,25.96,28.273,28.164,25.718,23.364,23.381,23.779,23.933,23.832,23.809
1968,22.936,24.973,26.221,27.698,28.018,25.372,23.727,23.975,24.482,24.172,23.889,23.126
1969,22.968,25.42,27.689,28.643,28.047,25.637,23.647,24.227,23.706,24.597,24.48,23.011
1970,23.631,24.761,26.801,28.475,27.294,24.593,23.87,23.42,23.776,24.389,23.625,21.626
1971,22.424,24.71,25.968,27.945,26.831,23.926,23.593,23.565,24.48,23.48,23.186,22.22
1972,22.412,24.062,26.658,27.945,26.881,26.009,24.334,24.513,24.795,25.262,24.517,23.632
1973,24.035,25.217,27.126,28.948,28.185,24.774,24.108,23.582,24.321,24.072,22.937,22.093
1974,23.052,24.366,26.492,28.386,27.316,24.463,23.471,23.744,24.047,23.778,23.609,22.013
1975,22.323,24.958,26.84,28.749,26.73,24.877,23.588,23.305,23.807,23.801,22.525,21.774
1976,21.722,23.609,26.878,27.15,27.094,25.244,23.983,24.37,24.241,25.696,25.24,24.245
1977,23.293,25.226,27.2,27.668,27.02,25.212,23.398,24.078,24.107,24.521,24.932,22.292
1978,23.552,24.271,26.566,27.798,26.824,23.939,23.297,23.443,23.845,24.457,24.605,22.931
1979,23.931,24.414,26.381,27.905,27.46,25.573,24.087,23.198,24.182,24.98,24.178,23.782
1980,23.201,25.307,26.965,27.701,28.125,24.539,23.353,23.657,24.195,25.122,23.917,23.168
1981,23.172,24.485,26.501,27.829,27.462,24.726,23.85,23.162,24.198,24.548,23.779,22.757
1982,22.94,25.319,27.4,28.011,27.651,25.294,24.256,24.027,24.273,25.726,24.284,23.318
1983,23.229,25.028,27.304,28.559,28.237,26.093,24.656,24,24.015,24.338,23.269,23.297
1984,23.835,24.806,26.582,27.574,28.461,24.596,23.515,23.673,24.244,24.388,23.711,23.795
1985,24.378,25.249,27.436,28.248,27.496,24.1,23.713,23.765,24.783,24.225,24,24.28
1986,22.845,24.447,27.545,29.029,27.96,25.132,24.278,23.566,24.838,25.451,24.49,23.922
1987,23.178,24.273,26.297,28.497,27.875,25.411,24.801,24.575,25.43,24.829,24.475,23.139
1988,23.254,25.607,27.436,28.137,28.052,25.637,24.094,24.019,24.224,24.834,24.15,22.655
1989,23.253,24.824,26.011,28.234,27.638,24.679,23.833,23.504,24.235,24.846,24.263,23.335
1990,23.601,24.721,26.398,28.303,26.944,24.604,23.667,23.411,24.592,24.841,23.867,23.337
1991,23.943,25.332,27.651,27.748,27.913,25.302,23.425,23.338,24.897,24.583,23.893,22.357
1992,22.724,24.485,27.486,28.38,27.451,25.47,24.385,23.714,24.621,24.587,24.383,22.082
1993,23.417,24.034,26.179,28.403,28.178,25.688,23.872,23.905,23.951,24.771,24.314,22.438
1994,23.401,24.475,27.463,27.564,27.894,24.762,23.475,23.89,24.447,24.41,23.318,22.196
1995,22.765,25.125,27.003,28.508,26.986,26.393,24.225,24.656,24.576,24.879,25.097,23.513
1996,24.29,25.212,27.74,28.098,28.446,25.598,24.24,23.795,24.314,23.953,24.298,22.581
1997,22.928,24.162,26.954,27.058,28.04,26.215,24.376,24.013,24.973,25.488,25.267,24.322
1998,24.115,25.091,27.715,29.134,28.46,26.513,24.353,24.53,24.539,24.657,24.42,22.791
1999,22.8,25.473,27.52,28.206,26.832,24.572,23.898,24.136,24.628,24.907,24.312,22.816
2000,24.04,24.608,26.585,28.365,27.193,24.74,23.622,23.915,24.824,24.795,24.534,22.683
2001,23.804,25.905,26.696,28.331,27.903,25.341,24.207,23.828,24.961,24.464,24.917,23.127
2002,23.549,25.275,27.901,28.674,28.063,25.441,24.401,24.091,25.112,25.413,24.589,23.605
