Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.466,23.881,26.127,28.329,27.899,25.609,24.724,24.65,25.478,25.439,24.998,23.415
1902,23.614,24.164,26.98,28.31,28.392,26.396,25.257,25.537,24.62,25.664,24.827,23.857
1903,23.328,23.986,25.998,27.912,27.603,25.89,24.759,24.656,24.69,25.002,23.549,22.662
1904,22.943,23.959,26.052,27.995,27.469,25.015,24.43,24.777,25.012,25.652,24.027,23.055
1905,22.792,23.87,25.493,26.801,27.928,26.603,25.089,25.123,25.013,25.676,24.951,23.122
1906,23.491,24.169,25.669,28.372,28.694,25.802,24.665,24.72,24.324,25.345,25.028,23.733
1907,23.475,24.281,26.158,26.668,27.435,25.516,24.701,24.118,25.077,25.708,24.963,23.396
1908,23.324,23.805,25.381,28.282,27.417,26.113,24.153,24.365,25.053,25.633,23.999,22.702
1909,22.78,23.971,26.54,27.402,27.674,25.841,24.159,24.842,24.226,25.292,24.674,23.668
1910,23.291,24.381,26.533,28.211,27.987,25.526,25.058,24.342,24.106,24.878,22.821,22.443
1911,23.411,23.227,25.921,27.43,27.669,25.561,24.793,24.565,25.372,25.57,25.056,24.256
1912,23.335,25.053,26.552,28.494,28.557,26.08,24.793,24.713,25.195,25.363,24.244,22.962
1913,22.756,24.399,25.986,28.089,28.21,25.572,24.401,24.852,25.353,25.27,24.34,23.61
1914,23.151,24.406,26.103,27.488,28.328,26.501,24.783,24.656,25.307,25.875,25.193,23.885
1915,23.634,24.258,26.234,28.155,28.239,26.319,25.353,25.387,25.146,25.58,25.021,22.943
1916,22.987,23.822,26.758,28.301,27.84,25.082,25.083,24.649,24.732,25.103,24.446,22.85
1917,22.967,23.758,25.657,27.59,27.046,24.888,25.257,24.66,24.588,24.327,23.772,22.716
1918,22.833,23.342,25.717,27.206,26.634,25.316,25.671,25.178,25.132,26.134,25.634,23.416
1919,23.881,24.439,26.028,28.262,27.733,25.597,24.865,24.72,25.205,25.715,24.935,23.491
1920,23.664,24.464,26.762,27.813,28.051,25.925,24.77,24.916,25.196,25.914,24.915,23.132
1921,23.78,24.105,26.758,27.836,28.366,25.878,24.777,24.688,24.325,25.458,23.986,23.228
1922,23.545,24.151,26.667,28.282,27.746,25.557,24.352,24.593,24.747,25.358,24.702,22.662
1923,22.867,23.486,25.936,27.56,27.528,26.455,24.165,24.649,24.614,25.503,24.403,23.837
1924,23.227,24.4,26.824,28.688,28.416,26.065,24.841,25.112,24.819,25.126,23.846,23.068
1925,22.669,23.192,26.399,28.502,27.577,25.337,24.877,24.948,25.327,25.904,24.983,23.587
1926,23.652,24.607,26.612,27.312,28.21,26.949,25.63,25.122,25.013,25.352,24.24,23.316
1927,23.275,24.294,26.643,28.065,27.887,25.66,24.47,24.894,25.183,25.328,23.457,23.533
1928,23.634,23.793,26.081,28.283,28.373,25.961,24.858,24.636,24.935,25.227,24.779,23.269
1929,23.369,24.006,26.552,27.817,28.012,25.262,24.882,25.192,25.373,25.257,24.953,23.421
1930,23.191,23.792,26.074,27.807,27.552,25.82,24.665,24.696,25.07,25.681,24.362,23.875
1931,23.969,24.325,26.335,28.708,28.681,26.692,24.916,25.107,25.059,25.208,24.933,23.531
1932,23.445,24.062,25.986,28.245,27.623,25.847,24.358,25.105,24.9,25.734,24.851,23.544
1933,23.347,24.081,26.057,28.001,27.187,25.013,24.683,24.436,24.478,24.921,24.934,23.186
1934,22.691,23.893,25.57,27.883,28.005,25.48,24.646,24.337,25.223,25.815,23.549,23.162
1935,22.892,23.975,26.333,27.388,28.216,25.935,24.259,24.442,24.177,25.534,24.062,23.574
1936,23.217,24.258,25.956,27.783,28.013,24.572,24.482,24.442,24.996,25.427,24.845,23.625
1937,22.841,24.381,26.039,27.219,27.716,25.487,24.052,24.836,24.889,25.107,24.575,22.921
1938,23.246,24.235,26.687,28.29,28.179,24.654,24.189,24.377,24.414,24.085,23.833,23.651
1939,23.271,23.923,25.576,27.483,27.718,25.859,23.98,24.442,24.519,25.333,24.363,23.263
1940,22.352,24.018,25.74,27.201,27.992,25.579,24.389,24.43,24.983,25.545,24.901,23.363
1941,23.168,24.904,27.14,28.989,28.953,26.078,25.221,25.567,25.606,26.463,25.993,25.092
1942,23.634,24.71,27.392,27.167,28.647,25.649,23.957,23.841,23.94,25.979,24.551,24.156
1943,24.035,23.842,25.827,27.413,26.747,24.566,24.088,24.536,23.818,24.662,24.857,22.75
1944,23.399,23.352,24.721,27.02,28.503,25.872,24.551,24.784,25.012,25.234,24.757,23.787
1945,22.604,24.105,26.578,26.984,27.794,25.672,24.552,24.959,24.284,25.128,24.173,22.844
1946,22.545,23.734,26.147,26.991,27.081,24.866,24.358,24.436,24.582,25.84,24.641,24.182
