Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.133,23.51,26.458,28.514,27.386,25.394,24.166,24.175,25.104,25.09,23.538,22.24
1902,22.949,23.909,27.201,28.266,28.398,26.173,24.863,25.173,24.295,25.131,23.153,22.783
1903,22.804,23.628,26.287,28.36,27.768,26.084,24.305,24.263,24.481,24.128,22.481,21.669
1904,22.201,23.433,26.058,28.152,27.573,24.967,23.98,24.599,24.625,24.967,22.538,21.98
1905,22.145,23.774,25.727,26.995,28.451,26.33,24.545,24.525,24.577,25.308,23.754,21.904
1906,22.997,24.065,26.109,29.266,29.057,25.466,24.235,24.325,23.657,24.519,23.913,22.77
1907,22.584,24.24,26.363,27.072,27.441,25.381,24.254,23.409,24.589,25.362,23.989,22.069
1908,22.527,23.631,26.075,28.878,27.716,26.092,23.556,23.875,24.764,25.171,22.893,21.338
1909,23.013,24.188,27.513,27.536,27.933,25.347,23.665,24.492,23.982,24.764,23.842,23.354
1910,22.733,23.896,26.941,28.788,28.375,25.64,24.634,23.992,23.791,24.186,21.793,21.292
1911,23.01,23.007,26.144,28.225,28.318,25.286,24.469,24.007,24.987,25.563,24.542,23.269
1912,22.712,25.079,27.16,29.155,28.956,26.508,24.47,24.365,25.07,24.871,23.095,21.899
1913,21.709,24.723,26.639,29.123,28.3,25.018,23.953,24.316,25.094,24.772,23.459,23.43
1914,22.333,24.764,26.651,28.02,28.695,26.295,24.087,24.194,24.847,24.948,23.993,23.258
1915,23.093,24.438,26.521,28.599,28.3,26.517,24.846,24.866,24.805,24.887,24.325,21.763
1916,22.293,24.04,27.405,28.997,28.369,24.755,24.959,24.292,24.57,24.674,23.578,21.663
1917,22.083,23.43,25.832,27.56,27.197,24.643,24.804,24.559,24.354,23.765,23.003,21.9
1918,21.808,23.522,25.732,27.572,26.609,25.18,25.284,24.812,24.93,26.113,25.113,23.248
1919,23.667,24.933,26.846,28.76,27.895,25.185,24.435,24.394,24.806,24.977,24.256,22.492
1920,23.049,24.185,27.071,28.14,27.992,25.595,24.07,24.356,24.943,25.235,23.664,22.258
1921,23.41,23.951,27.475,28.58,28.569,25.819,24.571,24.167,24.042,24.765,22.743,22.181
1922,23.181,24.234,27.18,28.848,27.947,25.551,23.845,24.186,24.465,24.693,23.287,21.225
1923,21.985,23.124,26.128,27.722,27.548,26.528,23.822,24.225,24.135,24.599,23.561,23.048
1924,23.192,24.676,27.425,29.209,28.687,25.92,24.611,24.793,24.465,24.114,22.488,22.128
1925,22.128,23.515,26.739,29.097,27.557,25.214,24.168,24.495,25.013,24.878,23.966,22.293
1926,23.387,24.971,26.981,27.24,28.367,26.981,25.188,24.616,24.605,25.138,23.391,22.589
1927,23.366,24.469,27.368,28.74,28.188,25.386,23.766,24.328,24.853,24.714,22.452,22.639
1928,23.15,24.145,26.647,28.758,28.578,26.099,24.435,24.274,24.469,24.684,23.641,22.388
1929,22.973,24.294,27.193,27.766,28.174,25.341,24.347,24.718,25.27,24.684,23.664,22.993
1930,23.175,23.073,26.687,28.054,27.832,25.791,23.793,24.107,24.617,24.866,22.86,23.077
1931,22.898,24.425,26.672,29.355,28.897,26.669,24.398,24.588,24.321,24.46,23.457,22.099
1932,21.913,23.3,26.064,28.287,27.814,25.492,23.865,24.793,24.417,25.183,23.654,22.303
1933,22.466,24.178,26.234,28.183,26.942,24.525,23.959,23.935,24.016,24.136,23.881,22.081
1934,22.174,23.66,25.922,28.318,28.109,25.48,24.097,23.855,24.592,25.078,22.481,21.656
1935,22.227,24.009,26.16,27.477,28.517,25.93,23.834,24.093,23.776,25.002,22.585,22.748
1936,22.953,23.906,26.252,28.171,28.571,24.392,23.945,24.024,24.872,24.883,24.094,22.741
1937,22.294,24.451,26.551,27.661,28.104,25.479,23.615,24.436,24.596,24.447,23.176,22.394
1938,23.441,23.995,27.298,28.758,28.013,24.238,23.705,24.012,23.977,23.536,22.842,22.347
1939,22.65,24.063,25.942,27.889,27.997,25.631,23.493,24.091,24.194,24.962,22.741,21.709
1940,21.573,23.939,26.163,27.855,27.997,25.551,23.748,23.845,24.625,24.777,23.79,22.441
1941,22.705,24.797,27.609,29.437,29.076,25.966,24.864,25.033,25.182,25.832,24.79,24.006
1942,23.081,24.707,27.698,27.772,28.798,25.562,23.575,23.476,23.628,25.222,23.44,23.082
1943,23.481,23.593,26.215,27.791,26.868,24.415,23.635,24.103,23.492,24.13,23.741,21.564
1944,22.891,23.411,25.027,27.432,28.656,25.761,24.063,24.434,24.654,24.685,23.614,22.68
1945,22.146,24.063,26.891,27.415,28.117,25.532,24.045,24.344,23.948,24.537,22.963,21.688
1946,21.727,23.591,26.612,27.504,27.37,24.715,23.934,24.004,24.364,25.372,23.7,23.179
1947,23.033,23.638,26.6,27.321,28.211,25.951,24.063,24.734,23.965,23.835,22.883,22.433
1948,23.333,23.99,26.392,27.713,28.035,25.762,24.235,24.263,23.747,24.883,24.62,21.187
1949,22.363,23.361,26.563,27.702,27.251,25.232,24.263,24.462,23.894,24.725,22.583,22.198
1950,22.464,23.462,25.945,28.112,27.941,25.491,23.854,24.552,23.794,23.983,22.881,22.211
1951,22.743,23.951,26.462,27.532,28.068,24.95,24.233,24.287,25.523,25.432,24.828,21.664
1952,23.103,24.707,25.986,28.78,28.698,25.742,24.705,24.146,24.582,24.661,22.209,23.555
1953,22.605,24.505,28.198,27.479,28.986,26.48,24.083,23.946,24.207,24.883,23.102,21.735
1954,22.487,24.886,26.421,28.332,28.364,25.821,23.533,24.05,23.474,23.996,22.514,22.88
1955,23.181,25.038,26.61,27.762,27.144,24.785,23.986,23.304,24.935,24.685,22.235,21.582
1956,22.304,23.461,27.18,28.76,26.42,24.332,22.906,23.375,23.466,24.094,23.63,22.082
1957,22.927,24.18,25.494,28.14,28.199,25.957,24.246,23.862,24.524,25.611,24.118,23.709
1958,23.112,24.41,26.839,28.79,28.474,26.981,24.065,24.356,23.895,24.684,24.53,22.88
1959,23.433,25.208,27.152,28.341,28.827,25.362,23.533,24.204,24.603,24.806,23.931,23.339
1960,23.523,24.57,26.662,28.262,27.798,25.564,24.563,24.696,24.492,24.785,24.035,23.082
1961,23.351,24.004,28.009,29.061,27.02,24.903,23.335,24.073,23.867,24.485,23.612,23.023
1962,21.869,24.737,26.594,27.888,27.826,26.161,24.075,24.103,24.366,25.261,23.183,22.234
1963,22.445,23.819,26.841,27.385,28.039,24.967,24.535,23.756,24.476,24.538,24.142,23.508
1964,22.891,25.007,27.412,28.882,28.36,25.961,24.487,23.584,23.793,24.707,22.9,21.834
1965,22.551,23.88,26.412,27.76,28.177,25.484,23.656,24.602,24.895,26.135,24.83,23.829
1966,23.605,25.44,27.539,29.019,27.737,26.261,24.824,25.205,24.825,25.109,24.118,22.683
1967,23.031,24.526,26.439,28.88,29.176,26.638,24.111,24.05,24.292,24.602,23.861,24.146
1968,22.664,25.038,26.591,28.388,28.927,26.093,24.254,24.405,24.894,24.467,23.832,23.357
1969,22.802,25.538,28.237,29.378,29.047,26.451,24.104,24.793,24.065,25.211,24.689,23.11
1970,23.533,24.957,27.329,29.091,28.355,25.144,24.424,23.875,24.174,24.903,23.76,21.435
1971,22.133,24.856,26.54,28.847,28.33,24.958,24.084,24.034,25.281,24.012,23.034,22.211
1972,22.61,23.921,27.979,28.797,28.2,26.988,24.962,25.023,25.62,26.228,24.63,23.908
1973,24.565,25.287,27.956,29.47,29.127,25.718,24.477,24.323,24.793,24.09,22.586,21.914
1974,23.307,24.584,26.83,29.091,28.188,25.27,24.08,24.206,24.495,24.008,24.034,22.011
1975,22.163,25.116,27.192,29.203,27.27,25.067,24.046,24.363,24.324,24.372,22.804,21.566
1976,21.209,23.243,26.767,27.349,28.089,25.645,24.418,24.391,24.715,26.43,25.439,24.092
1977,23.084,25.029,27.457,28.1,27.579,25.802,23.423,24.313,25.212,24.829,24.774,21.886
1978,23.06,23.765,26.574,28.038,26.965,24.848,24.031,23.298,24.106,24.78,24.689,23.404
1979,23.714,24.363,26.809,28.787,28.025,25.531,24.682,23.724,24.234,25.474,24.12,23.889
1980,23.188,25.523,26.836,27.976,28.81,24.802,24.185,23.898,24.567,26.096,24.886,23.577
1981,22.901,24.971,26.687,28.723,28.109,25.146,24.454,24.007,24.437,25.13,24.357,22.898
1982,23.243,25.557,27.871,28.686,28.646,26.299,24.775,24.437,24.624,25.969,24.331,23.166
1983,23.23,24.632,27.611,29.426,29.302,26.787,25.086,24.712,24.446,24.714,23.356,23.263
1984,23.988,24.949,26.973,28.494,29.71,25.312,24.093,24.075,24.596,24.531,23.828,24.334
1985,24.419,25.367,27.608,28.626,28.21,25.253,24.392,24.292,25.419,24.751,24.699,24.676
1986,22.523,24.705,28.196,29.553,28.779,25.813,24.852,24.093,25.1,26.491,25.061,24.092
1987,23.466,24.241,26.975,29.572,28.687,26.398,25.274,25.008,25.871,25.261,24.419,23.112
1988,23.123,25.94,27.947,28.918,29.077,26.382,24.583,24.457,24.636,25.82,24.69,23.06
1989,23.171,25.045,26.389,29.014,29.005,25.401,24.501,24.12,24.595,25.92,24.538,23.303
1990,23.316,24.229,26.418,29.36,27.554,25.184,23.929,23.774,24.55,25.392,24.125,23.518
1991,24.066,25.35,28.274,28.242,28.682,25.954,23.777,23.941,25.257,25.219,24.323,22.751
1992,22.322,24.27,27.97,29.258,28.388,26.119,24.878,24.195,25.555,25.033,24.547,21.943
1993,23.176,23.859,26.334,29.356,28.843,26.638,24.454,24.375,24.511,25.136,24.607,22.147
1994,23.234,24.203,28.156,27.837,29.218,25.518,23.935,24.208,25.011,24.744,23.378,22.291
1995,21.826,24.972,27.504,29.612,28.339,27.201,24.677,25.507,25.298,25.421,24.982,23.719
1996,24.116,25.281,28.508,29.044,29.19,26.478,24.939,24.193,24.685,24.322,24.574,22.719
1997,22.458,23.775,27.44,27.64,28.957,26.832,24.806,24.476,25.296,25.982,25.449,24.625
1998,23.924,24.722,28.08,29.907,29.513,27.478,24.952,25.062,25.052,25.083,24.371,22.475
1999,22.228,25.717,28.009,29.125,28.123,25.203,24.336,24.505,24.749,25.284,24.301,22.753
2000,23.833,24.291,27.01,29.197,28.126,25.461,23.987,24.462,25.266,25.402,24.549,22.711
2001,23.535,25.662,26.853,28.971,28.995,26.003,24.605,24.305,25.365,24.883,25.147,23.211
2002,23.077,25.585,28.586,29.436,29.145,26.19,24.904,24.358,25.229,25.786,24.54,23.671
