Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.046,24.882,28.743,31.642,30.46,28.274,26.271,25.934,27.222,26.633,23.967,22.571
1902,23.699,25.398,29.807,31.536,32.711,29.318,27.722,27.444,26.28,26.797,22.938,22.953
1903,23.422,25.139,29.039,31.814,30.994,29.859,26.19,25.928,26.355,25.419,22.846,21.669
1904,22.892,24.642,28.493,31.817,31.266,27.929,26.7,26.972,26.358,26.228,22.675,21.787
1905,22.782,24.682,28.406,30.272,32.004,29.662,27.37,26.401,26.409,26.699,24.305,21.912
1906,23.753,25.437,28.539,32.688,32.883,28.135,26.807,26.48,25.907,25.996,24.082,22.902
1907,23.083,25.782,28.645,30.206,30.974,28.292,26.803,25.082,26.568,26.947,24.898,22.074
1908,22.809,25.27,28.521,32.55,32.096,29.484,26.168,25.762,26.19,26.16,22.816,20.834
1909,23.934,25.781,29.72,30.212,31.877,27.623,25.741,26.559,26.081,26.273,24.182,23.754
1910,23.36,25.202,29.303,32.334,32.144,28.572,27.304,26.462,25.719,25.665,22.02,21.108
1911,23.571,24.438,28.767,32.122,32.63,28.334,27.179,25.607,27.122,27.38,25.118,23.104
1912,23.625,26.408,29.661,32.013,32.499,30.588,26.897,26.138,26.955,26.619,23.492,21.722
1913,22.037,26.379,29.001,32.528,31.566,27.961,26.377,26.564,27.139,26.384,23.923,23.702
1914,22.79,26.357,28.987,31.03,31.926,28.507,26.143,25.777,26.056,26.148,24.238,23.138
1915,23.173,25.469,28.11,31.529,31.656,29.878,27.179,26.479,26.392,26.281,25.028,21.389
1916,23.395,25.689,29.504,31.781,31.826,27.212,27.114,26.481,26.453,26.033,23.778,21.12
1917,22.213,24.312,27.437,30.057,30.762,27.066,26.727,26.534,26.007,25.517,23.081,21.702
1918,21.868,24.82,28.122,30.971,29.777,28.209,28.199,26.667,27.059,27.142,25.229,23.184
1919,24.468,26.708,29.532,31.785,31.581,27.528,27.007,26.6,26.882,25.947,24.282,21.942
1920,23.275,25.124,29.382,31.096,31.322,29.013,26.858,27.234,27.136,27.133,24.33,22.501
1921,23.861,25.305,30.213,32.099,33.263,28.574,26.779,26.203,26.237,25.631,22.219,21.87
1922,23.234,25.274,29.385,32.199,31.704,28.576,26.443,26.698,26.057,25.868,23.66,21.151
