Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.91,24.798,25.968,27.543,26.507,24.127,23.488,23.565,24.5,24.533,24.026,22.707
1902,23.228,24.194,26.655,27.522,27.075,24.786,23.624,24.305,23.71,24.414,24.069,23.547
1903,23.664,24.576,26.314,27.367,26.334,24.376,23.277,23.42,23.594,23.966,22.933,22.18
1904,22.626,23.814,25.71,27.114,25.888,23.233,22.737,23.482,24.027,24.565,23.37,22.674
1905,22.972,24.712,25.783,26.471,26.47,24.667,23.707,23.8,24.189,24.497,24.174,22.652
1906,23.725,24.622,25.758,27.958,27.331,24.129,23.157,23.367,23.398,24.384,24.09,23.095
1907,23.176,24.458,26.024,26.186,26.218,23.937,23.21,22.703,24.108,24.647,24.051,22.954
1908,23.337,24.14,25.42,27.456,26.102,24.329,22.512,23.125,24.027,24.634,23.361,22.436
1909,22.859,24.243,26.345,26.768,26.145,24.096,22.746,23.443,23.421,24.4,23.973,23.214
1910,23.284,24.387,26.282,27.325,26.678,23.844,23.427,22.969,23.16,23.934,22.69,22.133
1911,23.314,23.277,25.876,26.972,26.287,23.872,23.006,23.336,24.527,24.398,24.237,23.514
1912,22.947,25.229,26.546,27.648,27.183,24.189,23.206,23.305,24.16,24.228,23.557,22.474
1913,22.709,24.557,26.018,27.489,26.99,24.09,22.959,23.566,24.449,24.28,23.762,23.363
1914,22.954,24.696,26.217,27.072,27.033,24.814,23.36,23.4,24.447,24.776,24.369,23.476
1915,23.672,24.711,26.012,27.402,26.869,24.772,23.777,24.025,24.232,24.737,24.088,22.578
1916,22.759,24.231,26.508,27.654,26.548,23.417,23.639,23.413,23.754,24.05,23.65,22.441
1917,22.902,23.994,25.52,27.065,25.883,23.368,23.896,23.456,23.559,23.485,23.39,22.47
1918,22.793,23.154,25.381,26.862,25.161,23.871,23.979,23.737,24.16,25.239,24.859,23.092
1919,23.956,24.802,25.925,27.741,26.365,23.922,23.315,23.406,24.226,24.732,23.874,23.221
1920,23.322,24.759,26.708,27.113,26.89,24.11,23.398,23.443,24.125,24.711,23.958,22.647
1921,23.722,24.255,26.579,26.794,27.039,24.252,23.245,23.29,23.504,24.398,23.421,22.659
1922,23.32,24.248,26.385,27.385,26.185,23.872,22.848,23.221,23.8,24.291,23.694,22.18
1923,22.674,23.736,25.516,26.976,26.353,24.509,22.64,23.186,23.654,24.46,23.915,23.383
1924,23.182,24.727,26.383,27.852,27.071,24.037,23.06,23.606,23.911,24.269,23.404,22.598
1925,22.989,23.81,25.939,27.531,26.031,23.844,23.375,23.504,24.422,24.639,23.863,22.789
1926,23.536,24.606,26.54,26.9,26.976,25.009,24.199,23.969,24.109,24.365,23.76,23.053
1927,23.543,24.763,26.617,27.624,26.458,23.996,22.859,23.673,24.125,24.264,23.128,23.184
1928,23.699,24.257,25.873,27.516,27.239,24.428,23.528,23.241,24.2,24.165,23.985,22.858
1929,23.391,24.358,26.119,26.771,26.611,23.762,23.477,23.879,24.412,24.327,24.162,23.241
1930,23.371,24.24,26.027,27.183,26.015,24.193,23.458,23.504,24.227,24.512,23.821,23.382
1931,23.676,24.585,26.449,27.832,27.471,24.803,23.545,23.724,23.927,24.604,24.108,23.081
1932,22.869,24.251,25.505,27.486,26.036,24.154,22.899,23.742,23.855,24.546,24.039,22.959
1933,23.327,24.479,25.773,27.134,25.536,23.221,22.909,22.987,23.425,23.761,24.154,22.78
1934,23.089,23.82,25.477,27.019,26.672,24.058,23.277,23.204,24.499,24.734,22.97,22.474
1935,23.337,24.46,26.244,26.886,27.125,24.295,22.839,23.006,23.327,24.365,23.202,23.148
1936,23.671,24.762,25.673,27.222,26.509,22.952,22.911,23.038,24.027,24.365,24.036,23.503
1937,23.203,24.959,26.3,26.67,26.47,23.889,22.679,23.608,24.182,24.153,23.703,22.702
1938,23.433,24.994,26.546,27.332,26.767,23.357,22.777,22.905,23.523,23.386,23.392,23.285
1939,23.009,23.886,25.562,26.686,26.59,24.056,22.493,23.102,23.688,24.368,23.666,22.796
1940,22.389,24.086,25.937,26.418,26.516,23.986,22.961,23.038,24.124,24.565,23.781,23.033
1941,23.469,24.684,26.891,28.01,27.146,24.145,23.858,23.903,23.984,24.846,24.649,23.394
1942,23.051,24.817,26.745,27.472,27.271,24.188,22.931,22.959,23.734,24.678,23.619,23.78
1943,23.584,24.117,26.398,26.829,25.651,23.124,22.478,23.305,22.924,23.394,23.822,22.845
1944,23.499,24.074,25.443,26.587,26.822,24.04,22.805,23.659,24.105,24.431,24.173,23.208
1945,23.145,24.963,26.423,26.935,26.839,24.256,23.177,23.272,23.681,24.435,23.721,23.043
1946,22.536,24.27,26.398,27.019,26.405,23.762,22.941,22.825,23.633,24.666,23.938,23.308
1947,23.785,24.086,26.226,26.265,27.273,24.254,22.826,23.434,23.422,23.755,23.439,23.284
1948,23.781,24.685,26.307,27.224,26.414,24.252,22.978,23.054,23.461,24.518,24.658,22.779
1949,23,24.04,26.526,27.3,26.093,23.708,22.924,23.334,23.305,24.435,23.406,22.491
1950,23.114,24.218,25.937,27.339,26.924,23.897,22.493,23.403,23.028,23.617,23.176,22.718
1951,23.399,24.376,26.298,26.74,26.652,23.435,22.891,23.757,24.574,24.797,24.817,22.638
1952,23.701,25.041,26.171,27.657,26.945,24.008,23.425,23.27,23.827,23.866,23.091,23.467
1953,23.371,24.283,27.223,26.701,27.403,25.072,22.729,23.44,23.787,24.515,23.651,22.993
1954,23.753,24.962,26.125,27.509,26.533,24.037,22.458,22.905,23.207,23.718,23.119,23.282
1955,23.527,25.187,26.232,26.966,25.551,23.621,23.078,22.487,24.228,24.339,23.128,22.382
1956,22.917,24.139,26.796,27.938,25.43,23.343,22.041,22.857,23.28,23.665,23.87,22.861
1957,23.147,24.621,25.429,27.199,26.925,23.965,23.206,23.157,23.927,24.834,24.17,24.087
1958,23.733,25.067,26.566,27.513,26.426,24.789,23.255,23.475,23.562,24.138,24.438,23.54
1959,24.035,25.079,26.627,27.654,26.94,23.869,22.559,23.27,23.864,24.436,24.269,23.648
1960,24.035,24.819,26.419,27.42,26.19,24.293,23.416,23.852,23.447,24.35,23.627,23.328
1961,23.807,24.841,27.151,27.786,25.962,23.623,22.195,23.26,23.518,24.084,24,23.612
1962,23.191,24.885,26.244,26.956,26.199,25.152,23.547,23.205,23.909,24.458,24.346,23.646
1963,23.607,24.294,26.37,26.815,26.851,24.044,23.765,23.275,24.399,24.515,24.769,23.755
1964,23.319,25.066,26.777,28.419,27.595,24.49,23.599,23.021,23.304,24.538,23.271,22.896
1965,23.145,24.499,26.231,26.98,26.873,23.981,22.949,23.077,23.865,25.405,24.952,23.928
1966,24.089,25.506,26.93,27.606,26.523,24.788,23.66,24.367,24.335,24.511,24.139,23.354
1967,23.296,24.253,25.841,27.618,27.213,24.715,22.733,23.194,23.786,24.067,24.383,24.121
1968,23.337,24.929,26.164,26.747,26.976,24.408,22.832,23.723,24.054,24.463,24.45,23.463
1969,23.55,25.308,27.296,27.983,27.208,24.873,22.983,23.737,23.428,24.312,24.218,23.502
1970,23.766,24.703,26.188,27.377,26.138,23.763,23.159,22.825,23.447,23.967,23.419,22.482
1971,23.348,24.585,25.708,27.235,25.964,22.858,23.05,23.143,23.981,23.644,23.482,22.808
1972,22.632,24.122,25.799,27.359,25.891,25.114,23.524,23.737,24.353,24.765,24.52,23.827
1973,23.689,25.242,26.684,28.485,27.354,24.099,23.497,22.546,23.927,24.462,23.976,23.098
1974,23.226,24.487,26.609,27.719,26.304,23.867,22.841,23.152,23.947,23.871,23.714,22.954
1975,22.977,25.187,26.423,27.843,26.29,24.401,22.687,23.006,23.28,23.764,23.254,22.472
1976,22.23,24.311,26.841,26.867,26.717,24.653,23.319,23.438,24.03,25.376,24.711,24.166
1977,23.517,25.331,27.047,27.64,26.324,24.287,23.131,23.625,24.296,24.545,24.766,23.399
1978,23.847,24.851,26.511,27.16,26.076,23.207,22.673,23.101,23.73,24.653,24.717,23.76
1979,24.546,25.292,26.431,27.262,26.806,24.953,22.869,23.294,24.055,24.828,24.476,24.38
1980,23.532,25.173,26.819,27.565,27.319,23.849,23.311,23.485,23.951,24.666,24.111,23.696
1981,23.659,24.602,26.086,27.164,26.771,24.145,23.502,22.678,23.845,24.743,24.091,23.541
1982,23.527,25.167,26.963,27.638,26.69,24.328,23.573,23.605,24.331,25.565,24.743,23.916
1983,23.702,25.404,26.987,27.756,27.751,25.185,23.978,23.489,23.808,24.63,23.896,23.907
1984,23.937,24.954,26.257,26.914,27.818,23.721,22.881,23.325,23.961,24.297,24.241,23.724
1985,24.628,25.496,27.273,27.813,26.761,23.39,23.189,23.373,24.432,24.141,24.049,24.347
1986,23.774,24.677,27.301,28.045,27.252,24.299,23.857,23.16,24.436,25.185,24.488,24.26
1987,23.918,24.517,26.271,27.582,27.133,24.488,24.411,23.743,25.326,25.16,25.02,24.107
