Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.946,24.01,25.443,28.096,27.044,25.463,24.507,24.438,25.181,24.353,22.871,20.745
1902,21.392,22.703,26.359,27.852,28.088,26.191,25.138,25.349,24.087,23.82,22.469,21.812
1903,22.065,23.729,26.602,28.145,27.21,25.886,24.45,24.224,23.961,23.609,21.54,20.466
1904,20.84,22.383,25.737,28.069,26.675,24.58,24.009,24.551,24.535,24.199,22.047,20.783
1905,21.351,23.752,26.274,27.359,27.574,26.155,25.238,24.77,24.633,24.054,22.914,20.99
1906,22.646,24.473,25.523,29.223,29.028,25.574,24.686,24.25,23.555,23.994,22.851,21.402
1907,21.268,23.49,25.902,27.211,27.377,25.282,24.627,23.875,24.684,24.467,22.879,21.349
1908,21.634,23.096,25.379,28.716,27.607,26.194,24.068,24.247,24.267,24.284,22.156,20.813
1909,21.886,23.616,26.474,27.394,27.012,25.4,24.067,24.539,23.74,24.352,23.391,22.289
1910,21.867,23.332,26.361,28.564,28.285,25.561,24.851,24.022,23.371,23.781,21.559,20.295
1911,21.771,21.957,25.973,28.073,27.646,25.559,24.53,24.383,25.138,24.178,23.062,21.653
1912,21.221,24.429,26.752,28.317,28.778,26.115,24.502,24.466,24.624,23.919,22.202,20.585
1913,20.705,23.755,26.456,28.665,27.989,25.643,24.186,24.779,25.227,23.803,22.534,22.119
1914,20.93,23.898,26.595,27.81,28.14,26.447,24.527,24.239,24.543,23.959,22.809,22.217
1915,22.074,24.038,25.944,28.073,28.077,26.18,25.025,25.283,24.631,24.653,23.071,20.705
1916,20.99,23.769,26.274,28.522,27.509,24.639,24.673,24.215,24.15,23.97,22.394,20.485
1917,20.705,22.454,25.095,27.566,26.885,24.328,24.95,24.426,23.861,23.309,22.67,21.037
1918,20.864,22.061,24.934,27.596,26.122,25.157,25.564,24.849,24.699,25.019,23.668,21.695
1919,22.862,24.396,26.153,28.754,27.447,25.108,24.725,24.698,24.584,24.28,22.855,21.563
1920,21.244,23.81,26.595,27.817,27.978,25.885,25.011,24.889,24.756,24.521,22.935,21.06
1921,22.432,23.142,26.647,27.553,28.827,25.701,24.593,24.569,23.898,23.733,21.675,20.819
1922,21.742,22.881,26.585,28.398,27.483,25.562,24.487,24.746,24.496,23.703,22.505,20.334
1923,20.543,22.715,25.001,27.626,27.517,26.544,24.164,24.701,23.987,23.891,22.91,21.593
1924,21.671,23.93,25.971,28.912,28.354,25.789,24.581,24.854,24.06,23.959,22.007,20.599
1925,21.575,22.927,25.628,28.41,26.866,25.641,24.727,24.438,24.8,23.58,22.131,20.698
1926,21.967,23.419,26.602,27.7,28.131,26.914,25.674,24.969,24.443,24.099,22.428,21.477
1927,22.552,24.196,27.155,28.926,28.108,25.665,24.335,24.914,24.628,24.014,21.869,21.559
1928,22.165,23.553,25.824,28.318,28.768,26.092,24.875,24.507,24.901,23.909,22.561,21.049
1929,22.273,23.416,25.666,27.21,27.774,25.515,25.068,25.235,24.947,24.009,22.555,21.957
1930,22.075,23.071,26.014,27.958,27.036,25.839,24.878,24.796,24.67,23.808,22.248,21.727
1931,21.647,23.663,26.537,28.726,28.635,26.099,24.85,24.935,24.288,24.471,22.562,21.206
1932,20.654,23.051,25.26,28.213,27.019,25.574,24.336,24.924,24.186,24.266,22.806,21.15
1933,21.515,23.679,25.633,27.847,26.4,24.711,24.1,24.192,24.096,23.313,22.837,20.924
1934,21.459,22.644,25.483,27.973,28.144,25.718,24.704,24.303,25.028,24.407,21.651,20.451
1935,21.895,23.638,26.167,27.762,28.616,25.967,24.319,24.242,23.869,24.05,21.761,21.513
1936,22.502,23.957,25.547,28.238,27.732,24.374,24.362,24.116,24.65,24.107,22.624,21.861
1937,21.506,24.209,26.383,27.551,27.882,25.777,24.137,24.903,24.794,23.764,22.252,21.091
1938,22.086,24.308,26.776,28.272,28.074,24.501,24.175,24.016,23.876,23.385,22.072,21.305
1939,21.136,22.72,25.546,27.591,28.113,25.719,23.988,24.472,24.169,24.153,21.946,20.741
1940,20.42,22.943,26.315,27.431,27.467,25.416,24.138,24.246,24.561,24.142,22.359,21.394
1941,22.151,23.559,26.996,28.752,28.254,25.415,25.376,25.058,24.302,24.292,22.93,21.668
1942,21.746,23.698,26.257,28.387,28.427,25.825,24.611,24.274,24.392,24.082,22.283,21.927
1943,22.134,22.715,26.412,27.529,26.58,24.65,23.886,24.492,23.431,22.94,22.538,20.741
1944,22.003,23.338,25.003,27.367,28.083,25.607,23.986,24.834,24.285,24.135,22.713,21.164
1945,21.898,24.152,26.249,27.671,28.144,25.799,24.547,24.196,24.069,24.127,21.955,21.256
1946,20.724,22.975,26.54,27.934,27.738,25.332,24.41,24.21,24.196,24.373,22.813,21.384
1947,22.276,22.948,26.288,27.494,28.482,25.923,24.191,24.493,23.789,23.476,22.195,21.392
1948,22.11,24.169,26.003,28.126,27.721,25.915,24.529,24.215,24.13,24.251,23.505,20.773
1949,21.172,23.024,26.456,28.131,27.285,25.093,24.094,24.27,23.542,24.415,21.88,20.66
1950,21.341,23.571,26.034,28.257,28.18,25.285,24.029,24.522,23.585,23.31,21.965,20.896
1951,21.629,23.174,26.453,27.943,27.65,24.958,24.23,24.938,24.946,24.543,23.375,21.02
1952,21.998,24.046,26.598,28.854,27.859,25.788,24.923,24.423,24.527,23.708,22.407,21.492
1953,21.918,23.223,27.387,27.78,29.247,26.529,24.484,24.558,24.127,24.096,22.104,21.009
1954,22.034,24.258,26.181,28.847,28.184,25.671,23.868,24.066,23.729,23.385,21.558,21.491
1955,21.568,23.946,26.342,27.944,26.597,25.196,24.313,23.387,24.45,24.172,21.759,20.36
1956,21.409,23.018,26.821,28.901,27.42,24.849,23.295,24.059,23.851,23.301,22.506,20.86
1957,21.521,23.662,25.5,27.829,28.072,25.333,24.195,24.162,24.416,24.431,22.833,22.007
1958,22.182,24.669,26.96,28.338,27.509,26.636,24.363,24.563,24.175,24.05,23.259,21.462
1959,22.409,24.506,26.594,28.567,28.443,25.239,23.824,24.448,24.464,24.448,22.849,21.661
1960,22.403,23.626,26.74,28.516,27.83,25.771,24.948,25.209,24.092,24.237,22.076,21.539
1961,22.019,24.469,27.619,28.872,27.501,25.149,23.804,24.354,24.159,23.973,22.339,21.413
1962,21.514,23.579,26.257,27.544,27.132,25.965,24.819,24.298,24.131,23.737,22.438,21.465
1963,21.063,22.678,26.195,27.43,27.927,25.444,25.134,24.42,24.769,24.185,22.973,21.607
1964,21.862,24.135,27.085,29.277,29.048,25.957,25.071,24.084,23.561,24.541,21.809,20.938
1965,21.266,23.441,26.399,27.555,28.212,26.009,24.546,24.392,24.689,25.325,23.544,22.128
1966,22.808,24.639,27.379,28.748,28.116,26.065,24.95,25.327,24.275,23.854,23.052,21.619
1967,21.659,23.157,25.866,28.553,28.268,25.814,23.744,23.824,23.916,23.222,22.458,22.128
1968,21.589,24.099,26.189,27.683,28.332,25.957,24.562,25.053,24.422,23.885,22.874,21.876
1969,21.766,24.511,27.639,29.074,28.01,26.28,24.67,24.931,24.088,23.854,23.122,21.333
1970,22.214,23.993,27.097,28.795,27.73,25.236,24.685,24.001,24.238,23.9,22.183,20.533
1971,21.96,23.968,25.825,28.125,27.368,24.457,24.625,24.446,24.454,23.556,22.095,20.655
1972,20.937,23.871,25.908,28.304,27.261,26.713,24.98,25.326,25.069,24.344,23.213,22.1
1973,22.52,24.497,27.005,29.44,28.867,25.751,25.275,23.87,24.551,24.147,22.414,21.026
