Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.518,24.231,27.304,29.626,28.153,26.261,24.822,24.632,25.707,25.407,23.44,22.014
1902,23.077,24.451,28.108,29.377,29.519,27.085,25.682,25.779,24.881,25.4,22.848,22.635
1903,22.978,24.328,27.403,29.581,28.656,27.188,24.948,24.682,24.999,24.355,22.349,21.448
1904,22.283,23.892,26.949,29.385,28.477,25.773,24.722,25.229,25.129,25.133,22.349,21.672
1905,22.363,24.371,26.84,28.224,29.376,27.233,25.412,25.025,25.102,25.521,23.649,21.694
1906,23.276,24.776,27.032,30.579,30.125,26.299,25.017,24.878,24.247,24.807,23.743,22.553
1907,22.664,24.884,27.248,28.28,28.403,26.261,25.017,23.834,25.184,25.635,24.001,21.885
1908,22.614,24.296,27.019,30.182,28.868,27.118,24.317,24.378,25.197,25.315,22.695,21.033
1909,23.285,24.896,28.363,28.533,28.887,26.026,24.353,25.066,24.594,25.037,23.764,23.308
1910,22.876,24.442,27.859,30.071,29.413,26.562,25.416,24.631,24.299,24.465,21.835,21.043
1911,23.171,23.511,27.126,29.622,29.464,26.186,25.194,24.423,25.608,25.871,24.468,22.957
1912,22.838,25.691,28.121,30.19,29.958,27.649,25.131,24.861,25.599,25.134,23,21.599
1913,21.765,25.407,27.613,30.377,29.166,25.912,24.704,24.892,25.725,25.025,23.399,23.354
1914,22.375,25.415,27.649,29.175,29.563,27.015,24.754,24.62,25.205,25.113,23.799,23.062
1915,23.168,25.032,27.21,29.674,29.208,27.472,25.535,25.323,25.274,25.169,24.273,21.452
1916,22.52,24.788,28.222,30.041,29.304,25.477,25.618,24.871,25.098,24.925,23.405,21.296
1917,22.001,23.841,26.509,28.533,28.212,25.335,25.38,25.084,24.806,24.12,22.94,21.694
1918,21.813,24.007,26.58,28.793,27.416,26.072,26.16,25.283,25.504,26.275,24.922,23.058
1919,23.889,25.697,27.873,29.897,28.831,25.904,25.216,24.98,25.394,25.083,24.017,22.188
1920,22.956,24.681,27.958,29.225,28.947,26.577,24.912,25.13,25.555,25.582,23.603,22.109
1921,23.523,24.501,28.474,29.706,29.855,26.617,25.261,24.75,24.657,24.857,22.389,21.858
1922,23.177,24.693,28.027,30.04,28.918,26.469,24.63,24.875,24.939,24.831,23.15,20.994
1923,21.993,23.746,26.883,29.035,28.667,27.685,24.521,24.861,24.68,24.684,23.448,22.827
1924,23.333,25.397,28.181,30.471,29.766,26.845,25.386,25.348,24.948,24.345,22.34,21.766
1925,22.308,24.141,27.532,30.276,28.354,26.176,24.93,24.933,25.539,24.876,23.632,21.858
1926,23.481,25.421,27.908,28.411,29.248,28.084,25.956,25.128,25.194,25.412,23.3,22.403
1927,23.744,25.361,28.495,30.075,29.294,26.286,24.465,24.91,25.485,24.925,22.349,22.454
1928,23.369,24.884,27.582,29.802,29.705,26.969,25.207,24.888,25.048,24.935,23.517,22.227
1929,23.286,24.847,27.992,28.786,29.333,26.356,25.199,25.373,25.747,25.008,23.521,23.023
1930,23.45,23.718,27.7,29.179,28.883,26.868,24.708,24.842,25.197,25.076,22.743,22.997
1931,22.821,25.157,27.653,30.484,29.861,27.383,25.061,25.115,24.831,24.745,23.185,21.845
1932,21.783,23.835,26.749,29.337,28.703,26.374,24.562,25.38,24.912,25.434,23.603,22.053
1933,22.578,24.961,27.054,29.142,27.606,25.282,24.516,24.383,24.585,24.271,23.662,21.798
1934,22.235,24.203,26.859,29.488,29.259,26.532,24.815,24.415,25.133,25.292,22.307,21.354
1935,22.555,24.737,27.061,28.537,29.707,26.881,24.562,24.78,24.332,25.224,22.413,22.608
1936,23.422,24.536,27.063,29.329,29.435,25.274,24.78,24.579,25.494,25.125,23.831,22.553
1937,22.404,25.187,27.461,28.879,29.204,26.61,24.416,25.082,25.251,24.665,23.101,22.253
1938,23.737,24.73,28.3,29.815,29.003,24.954,24.371,24.539,24.492,23.82,22.644,21.988
1939,22.6,24.598,26.819,29.07,29.172,26.619,24.309,24.679,24.795,25.224,22.403,21.353
1940,21.531,24.501,27.07,28.985,28.826,26.459,24.348,24.366,25.194,24.964,23.682,22.345
1941,23.069,25.377,28.613,30.629,29.982,26.843,25.763,25.484,25.609,25.929,24.431,23.718
1942,23.238,25.22,28.484,29.169,29.799,26.555,24.447,24.165,24.328,25.238,23.296,22.935
1943,23.719,23.945,27.243,28.966,27.756,25.271,24.375,24.679,24.011,24.33,23.61,21.278
1944,23.162,24.183,25.937,28.579,29.622,26.672,24.722,25.082,25.203,24.929,23.448,22.367
1945,22.422,24.686,27.726,28.619,29.299,26.413,24.766,24.756,24.533,24.765,22.661,21.433
1946,21.722,24.128,27.617,28.802,28.506,25.616,24.717,24.579,24.993,25.676,23.663,22.975
1947,23.324,24.357,27.626,28.725,29.397,26.923,24.722,25.175,24.492,24.01,22.748,22.192
1948,23.463,24.74,27.244,29.001,29.165,26.723,25.017,24.845,24.387,25.138,24.509,20.931
1949,22.383,23.941,27.47,28.983,28.251,26.026,24.922,24.985,24.451,25.028,22.44,21.913
1950,22.513,24.136,26.796,29.329,29.007,26.288,24.613,25.181,24.38,24.265,22.717,21.862
1951,22.876,24.45,27.452,28.875,29.008,25.924,24.931,24.91,25.998,25.717,24.623,21.548
1952,23.187,25.232,27.056,29.979,29.699,26.737,25.609,24.851,25.194,24.876,22.006,23.179
1953,22.791,25.117,29.082,28.92,30.276,27.528,24.909,24.527,24.785,25.138,22.917,21.493
1954,22.699,25.465,27.359,29.758,29.568,26.733,24.317,24.64,24.107,24.173,22.335,22.653
1955,23.188,25.601,27.613,29.064,28.172,25.776,24.726,23.866,25.397,24.929,22.139,21.354
1956,22.476,24.041,28.149,29.937,27.706,25.381,23.611,24.021,24.137,24.271,23.508,21.907
