Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,24.518,25.388,26.279,27.664,26.755,24.599,23.991,24.099,24.971,24.942,24.31,23.209
1902,23.537,24.578,26.906,27.626,27.354,25.152,24.003,24.785,24.224,24.723,24.448,24.142
1903,24.269,25.088,26.775,27.638,26.668,24.86,23.687,23.943,24.042,24.358,23.366,22.727
1904,22.976,24.107,25.929,27.187,26.141,23.58,23.122,23.966,24.545,24.943,23.747,23.258
1905,23.5,25.255,26.231,26.747,26.753,24.952,24.161,24.252,24.726,24.844,24.582,23.186
1906,24.261,25.093,26.206,28.254,27.584,24.535,23.544,23.85,23.947,24.758,24.376,23.584
1907,23.514,24.877,26.343,26.417,26.526,24.358,23.659,23.149,24.587,25.043,24.373,23.52
1908,23.765,24.56,25.802,27.599,26.411,24.668,22.888,23.645,24.545,25.029,23.762,23.064
1909,23.272,24.697,26.663,26.906,26.391,24.488,23.148,23.888,24.017,24.842,24.366,23.787
1910,23.708,24.743,26.565,27.442,26.974,24.227,23.805,23.449,23.694,24.343,23.292,22.758
1911,23.706,23.665,26.234,27.232,26.535,24.24,23.367,23.861,25.043,24.798,24.594,23.95
1912,23.255,25.603,26.88,27.788,27.475,24.486,23.66,23.787,24.698,24.604,23.947,23.009
1913,23.144,24.977,26.415,27.719,27.329,24.502,23.385,24.051,24.98,24.699,24.241,24.018
1914,23.328,25.114,26.707,27.348,27.352,25.167,23.785,23.885,25.002,25.161,24.746,24.099
1915,24.108,25.159,26.28,27.493,27.151,25.216,24.185,24.504,24.835,25.178,24.411,23.159
1916,23.128,24.716,26.841,27.825,26.836,23.859,24.084,23.921,24.257,24.474,24.047,23.042
1917,23.309,24.398,25.809,27.206,26.283,23.781,24.377,23.983,24.099,23.946,23.897,23.115
1918,23.227,23.443,25.664,27.111,25.433,24.358,24.347,24.186,24.698,25.68,25.211,23.716
1919,24.427,25.25,26.28,27.975,26.636,24.302,23.703,23.871,24.741,25.143,24.193,23.821
1920,23.636,25.162,27.046,27.239,27.245,24.429,23.862,23.873,24.553,25.042,24.22,23.228
1921,24.183,24.64,26.934,26.867,27.298,24.651,23.648,23.729,24.026,24.798,23.862,23.183
1922,23.693,24.622,26.697,27.526,26.404,24.24,23.245,23.703,24.289,24.656,24.008,22.742
1923,23.082,24.143,25.764,27.142,26.728,24.828,23.067,23.626,24.157,24.809,24.421,23.978
1924,23.65,25.178,26.622,27.925,27.339,24.385,23.393,24.069,24.426,24.734,23.849,23.157
1925,23.537,24.39,26.143,27.616,26.276,24.279,23.766,23.969,24.943,24.945,24.112,23.248
1926,23.95,24.958,26.878,27.153,27.348,25.313,24.625,24.545,24.625,24.761,24.241,23.679
1927,24.12,25.272,27.015,27.861,26.685,24.329,23.199,24.185,24.607,24.642,23.691,23.836
1928,24.18,24.771,26.161,27.712,27.555,24.841,24.001,23.687,24.779,24.558,24.331,23.423
1929,23.826,24.797,26.367,26.807,26.876,24.144,23.904,24.364,24.962,24.741,24.525,23.88
1930,23.883,24.702,26.417,27.322,26.233,24.553,23.976,24.043,24.743,24.865,24.261,23.941
1931,24.011,25.036,26.871,27.909,27.791,25.111,24.002,24.128,24.353,25.138,24.449,23.659
1932,23.08,24.603,25.709,27.682,26.204,24.504,23.362,24.221,24.307,24.852,24.388,23.451
1933,23.726,24.97,26.042,27.222,25.705,23.601,23.251,23.426,23.852,24.05,24.566,23.343
1934,23.659,24.129,25.836,27.124,26.953,24.502,23.739,23.745,25.08,25.089,23.438,22.947
1935,23.917,24.973,26.544,27.039,27.47,24.702,23.301,23.466,23.845,24.743,23.547,23.742
1936,24.251,25.27,26.033,27.425,26.756,23.365,23.303,23.486,24.529,24.743,24.431,24.179
1937,23.773,25.489,26.773,26.883,26.754,24.301,23.103,24.176,24.76,24.542,24.044,23.379
1938,24.001,25.529,26.88,27.365,26.963,23.909,23.204,23.334,24.041,23.893,23.883,23.878
1939,23.369,24.245,25.894,26.823,26.945,24.402,22.885,23.551,24.224,24.835,24.046,23.307
1940,22.845,24.442,26.332,26.526,26.777,24.365,23.385,23.487,24.658,24.943,24.053,23.643
1941,24.059,25.008,27.179,28.055,27.335,24.433,24.36,24.307,24.367,25.11,24.911,23.696
1942,23.456,25.144,26.923,27.782,27.461,24.635,23.496,23.579,24.436,24.948,23.948,24.233
1943,23.89,24.516,26.855,26.939,25.968,23.542,22.903,23.787,23.456,23.813,24.074,23.559
1944,23.966,24.637,25.958,26.746,26.997,24.404,23.277,24.184,24.608,24.86,24.535,23.69
1945,23.734,25.417,26.757,27.146,27.207,24.701,23.606,23.698,24.302,24.86,24.144,23.714
1946,22.89,24.736,26.67,27.264,26.902,24.237,23.421,23.229,24.194,25.041,24.289,23.788
1947,24.32,24.59,26.544,26.481,27.655,24.633,23.271,23.792,23.942,24.237,23.942,23.935
1948,24.221,25.215,26.702,27.519,26.732,24.635,23.403,23.485,24.094,24.959,24.975,23.55
1949,23.462,24.538,26.953,27.634,26.456,24.154,23.316,23.767,23.882,24.879,23.921,23.059
1950,23.508,24.716,26.374,27.508,27.347,24.263,22.861,23.794,23.56,24.06,23.601,23.242
1951,23.864,24.78,26.694,27.016,26.991,23.859,23.301,24.286,24.985,25.216,25.131,23.338
1952,24.163,25.442,26.614,27.844,27.117,24.438,23.802,23.702,24.342,24.243,23.864,23.847
1953,23.899,24.565,27.476,26.945,27.74,25.556,23.157,24.057,24.326,24.941,24.121,23.697
1954,24.357,25.414,26.443,27.724,26.94,24.436,22.923,23.404,23.912,24.143,23.606,23.858
1955,24.054,25.544,26.635,27.18,25.876,24.082,23.503,23.168,24.709,24.761,23.641,23.032
1956,23.42,24.76,27.177,28.014,25.909,23.879,22.578,23.588,24.045,24.058,24.264,23.533
1957,23.673,25.152,25.947,27.397,27.237,24.39,23.585,23.797,24.554,25.141,24.531,24.606
1958,24.266,25.694,27.011,27.647,26.524,25.01,23.743,23.931,24.215,24.486,24.727,24.115
1959,24.466,25.48,27.052,27.868,27.195,24.3,23.079,23.797,24.394,24.877,24.665,24.139
1960,24.466,25.251,26.816,27.585,26.431,24.777,23.856,24.226,23.946,24.779,23.854,23.844
1961,24.246,25.385,27.348,27.909,26.346,24.101,22.779,23.804,24.138,24.497,24.409,24.155
1962,23.824,25.201,26.563,27.113,26.401,25.605,24.044,23.688,24.501,24.709,24.818,24.297
1963,24.155,24.663,26.645,27.095,27.213,24.653,24.19,23.84,25.036,24.944,25.156,24.204
1964,23.708,25.426,27.079,28.648,27.997,24.885,23.965,23.644,23.809,24.962,23.648,23.49
1965,23.526,24.894,26.565,27.144,27.121,24.473,23.49,23.48,24.339,25.725,25.224,24.224
1966,24.544,25.878,27.206,27.72,26.946,25.135,24.05,24.791,24.773,24.848,24.473,23.885
1967,23.669,24.557,26.084,27.727,27.247,24.969,23.121,23.653,24.329,24.445,24.659,24.483
1968,23.766,25.172,26.495,26.782,27.083,24.675,23.115,24.185,24.438,24.959,24.832,23.983
1969,24.013,25.573,27.52,28.029,27.307,25.14,23.421,24.168,23.944,24.607,24.435,23.949
1970,24.108,24.969,26.46,27.372,26.298,24.144,23.542,23.322,23.998,24.285,23.757,23.135
1971,24.128,24.873,26.079,27.373,26.531,23.301,23.413,23.603,24.435,24.271,23.746,23.288
1972,23.087,24.58,26.163,27.716,26.223,25.512,23.792,24.043,24.982,25.126,24.773,24.249
1973,24.145,25.568,27.116,28.516,27.611,24.739,23.955,23.085,24.445,24.767,24.432,23.698
1974,23.785,24.935,26.943,27.912,26.494,24.562,23.435,23.383,24.386,24.35,24.237,23.751
1975,23.601,25.791,26.868,27.968,26.573,24.36,23.138,23.485,23.743,24.143,23.83,23.137
1976,22.628,24.585,27.07,26.972,27.2,25.173,23.781,23.694,24.639,25.582,24.746,24.358
1977,23.909,25.551,27.148,27.884,26.391,24.667,23.606,24.194,24.909,24.999,24.845,24.027
1978,24.247,25.224,26.778,27.47,26.229,23.601,22.996,23.491,24.337,25.145,24.957,24.38
1979,24.984,25.835,26.891,27.619,27.044,25.071,22.859,23.943,24.492,25.09,24.722,24.892
1980,23.965,25.4,26.993,27.718,27.444,23.987,23.609,23.823,24.558,24.955,24.726,24.358
1981,24.221,25.242,26.432,27.394,26.961,24.286,23.898,23.205,24.251,25.033,24.411,24.007
1982,24.02,25.613,27.206,27.935,26.938,24.753,24.001,24.103,24.896,25.942,25.26,24.369
1983,24.255,26.088,27.506,28.151,28.186,25.805,24.494,24.059,24.327,25.149,24.493,24.457
1984,24.466,25.26,26.426,27.081,28.077,24.099,23.394,23.802,24.596,24.699,24.816,24.261
1985,25.026,25.916,27.636,27.998,27.148,23.819,23.736,23.89,24.996,24.71,24.519,24.793
1986,24.245,25.155,27.491,28.315,27.612,24.722,24.392,23.685,24.85,25.602,24.863,24.916
1987,24.328,24.806,26.675,27.721,27.354,24.867,25.067,24.201,25.86,25.543,25.445,24.7
1988,24.229,26.329,27.596,27.608,27.224,25.275,24.09,24.12,24.445,25.452,24.899,24.296
1989,24.328,25.07,26.45,27.683,27.167,24.36,23.513,23.859,24.644,25.281,24.912,24.342
1990,24.255,25.514,26.952,28.054,26.226,24.663,23.785,23.701,24.98,25.241,24.783,24.404
1991,25.196,25.778,27.508,27.55,27.801,24.812,23.376,23.348,25.219,24.943,24.507,23.631
1992,23.388,25.26,26.774,27.862,27.054,25.003,23.686,23.901,24.741,24.779,24.892,23.502
1993,24.064,25.328,26.618,27.807,27.561,24.851,23.641,24.284,24.532,24.943,24.846,23.91
1994,24.266,25.473,27.334,27.163,27.468,24.653,23.559,24.121,24.856,24.993,24.496,23.615
1995,24.209,25.97,26.692,27.712,26.572,25.829,24.24,24.441,24.863,25.417,25.466,24.151
1996,24.658,25.609,27.425,27.448,28.055,25.138,24.22,24.043,24.702,24.884,25.183,23.669
1997,24.351,25.51,26.942,26.679,27.454,25.825,24.403,24.276,25.328,25.649,25.833,25.407
1998,25.161,26.518,27.818,28.425,27.899,25.686,24.208,24.536,24.66,25.194,25.289,24.544
1999,24.514,25.648,27.738,27.489,25.791,24.353,23.854,24.344,25.299,25.345,25.081,24.199
2000,24.85,25.813,26.887,27.719,26.664,24.101,23.795,23.787,24.944,25.101,25.349,24.034
2001,24.966,26.75,27.349,27.721,27.112,24.865,24.204,23.983,25.337,24.959,25.291,24.406
2002,25.011,25.347,27.725,28.088,27.324,24.902,24.498,24.494,25.889,25.746,25.349,24.839
