Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,23.948,24.898,28.245,31.112,29.626,27.697,25.957,25.66,26.816,26.125,23.787,22.267
1902,23.365,25.051,29.201,30.912,31.52,28.679,27.125,27.021,25.83,26.12,22.964,22.828
1903,23.295,25.029,28.684,31.212,30.162,28.978,25.932,25.634,25.902,25.041,22.628,21.555
1904,22.559,24.39,28.061,31.139,30.196,27.197,26.116,26.428,26.005,25.816,22.598,21.726
1905,22.623,24.746,28.056,29.814,30.941,28.855,26.871,26.091,26.054,26.153,24.053,21.852
1906,23.643,25.462,28.095,32.147,31.947,27.659,26.353,26.053,25.392,25.547,23.955,22.691
1907,22.834,25.517,28.239,29.781,30.058,27.662,26.351,24.86,26.16,26.444,24.522,22.052
1908,22.751,25.005,28.035,31.875,30.878,28.752,25.681,25.429,25.909,25.851,22.83,21.024
1909,23.62,25.541,29.209,29.857,30.685,27.262,25.458,26.16,25.626,25.837,24.093,23.56
1910,23.158,25.039,28.894,31.679,31.155,27.995,26.816,25.975,25.233,25.243,22.155,21.095
1911,23.35,24.088,28.321,31.345,31.382,27.746,26.582,25.363,26.716,26.657,24.77,22.967
1912,23.19,26.213,29.195,31.494,31.591,29.545,26.332,25.84,26.5,25.944,23.263,21.655
1913,21.892,26.033,28.635,31.888,30.755,27.451,25.927,26.151,26.732,25.814,23.72,23.494
1914,22.5,26.069,28.689,30.556,31.034,28.164,25.856,25.528,25.901,25.715,24.032,23.12
1915,23.135,25.417,27.911,31.025,30.763,29.053,26.785,26.262,26.133,25.913,24.66,21.43
1916,22.928,25.499,29.108,31.356,30.839,26.733,26.698,26.043,26.001,25.584,23.596,21.199
1917,22.062,24.187,27.212,29.782,29.924,26.595,26.464,26.131,25.641,24.974,23.097,21.723
1918,21.83,24.453,27.636,30.438,28.904,27.586,27.611,26.299,26.534,26.756,25.043,23.067
1919,24.214,26.406,29,31.38,30.555,27.098,26.552,26.156,26.427,25.651,24.113,22.093
1920,22.973,25.112,28.994,30.622,30.552,28.308,26.377,26.639,26.629,26.543,24.054,22.294
1921,23.693,25.086,29.631,31.259,32.039,27.96,26.425,25.856,25.727,25.295,22.274,21.799
1922,23.144,25.065,28.999,31.553,30.662,27.949,26.04,26.248,25.764,25.429,23.49,21.121
1923,22.194,24.435,27.809,30.839,30.581,29.67,25.76,26.053,25.595,25.251,23.662,22.776
1924,23.474,26.07,29.078,32.12,31.558,28.582,26.753,26.552,25.828,25.018,22.555,21.701
1925,22.449,24.679,28.498,31.782,29.812,27.747,26.342,25.857,26.461,25.391,23.809,21.769
1926,23.599,25.818,28.927,29.874,30.665,29.909,27.182,26.253,26.194,26.119,23.534,22.521
1927,24.277,26.057,29.698,31.838,31.09,27.875,25.69,26.055,26.558,25.648,22.562,22.594
1928,23.655,25.546,28.636,31.163,31.612,28.353,26.424,26.152,26.091,25.742,23.956,22.549
1929,23.811,25.283,28.909,30.286,31.415,27.921,26.588,26.618,26.541,25.783,23.961,23.518
1930,23.85,24.375,28.802,30.62,30.818,28.639,26.3,26.157,26.231,25.818,23.087,23.251
1931,22.897,26.015,28.76,31.923,31.497,28.632,26.157,26.182,25.794,25.412,23.242,21.957
1932,21.897,24.402,27.454,30.714,30.203,27.916,25.783,26.493,25.86,26.243,24.054,22.191
1933,22.824,25.825,27.932,30.418,28.87,26.669,25.533,25.363,25.539,24.882,23.825,21.891
1934,22.321,24.781,27.929,31.114,31.215,28.213,25.995,25.524,26.059,25.953,22.502,21.491
1935,22.986,25.466,28.183,29.917,31.678,28.48,25.817,26.055,25.328,25.949,22.765,22.857
1936,24.079,25.138,27.939,30.786,30.964,26.785,26.272,25.756,26.595,25.913,23.935,22.625
1937,22.467,25.869,28.367,30.448,30.986,28.443,25.752,26.39,26.362,25.348,23.55,22.392
1938,24.123,25.464,29.337,31.312,30.748,26.089,25.553,25.631,25.399,24.512,22.7,21.832
1939,22.697,25.054,27.77,30.559,31.186,28.282,25.722,25.989,25.826,25.917,22.465,21.395
1940,21.537,25.08,28.057,30.457,30.364,27.926,25.369,25.429,26.161,25.648,24.185,22.653
1941,23.463,25.884,29.763,32.184,31.702,28.417,27.247,26.567,26.538,26.588,24.565,23.93
1942,23.591,25.778,29.411,30.866,31.468,28.152,25.803,25.386,25.321,25.632,23.533,23.127
1943,24.093,24.191,28.228,30.416,29.327,26.66,25.661,25.856,24.959,25.084,23.864,21.193
1944,23.461,24.903,26.789,30.021,31.363,28.257,25.956,26.347,26.189,25.648,23.625,22.456
1945,22.779,25.17,28.736,30.081,31.183,27.885,25.985,25.665,25.454,25.381,22.669,21.293
1946,21.665,24.524,28.695,30.347,30.382,27.055,26.081,25.756,26.027,26.515,24.096,23.257
1947,23.779,25.106,28.857,30.534,31.281,28.549,25.925,26.143,25.399,24.582,22.994,22.225
1948,23.635,25.471,28.08,30.513,31.109,28.285,26.42,25.934,25.391,25.938,24.894,20.858
1949,22.499,24.419,28.456,30.599,29.89,27.39,26.125,26.127,25.436,25.808,22.575,22.032
1950,22.602,24.738,27.602,30.875,30.754,27.75,25.946,26.485,25.339,25.036,22.957,21.871
1951,23.06,24.919,28.525,30.573,30.665,27.549,26.251,26.061,26.901,26.521,24.894,21.752
1952,23.351,25.839,28.147,31.549,31.395,28.445,27.071,26.04,26.225,25.627,22.211,23.304
1953,23.146,25.885,30.208,30.776,32.472,29.278,26.324,25.686,25.73,25.937,23.197,21.525
1954,22.887,26.081,28.396,31.468,31.677,28.285,25.681,25.989,25.186,24.784,22.467,22.866
1955,23.345,26.179,28.76,30.682,30.023,27.411,25.979,24.968,26.228,25.581,22.294,21.491
1956,22.724,24.514,29.229,31.474,29.707,27.041,24.819,25.251,25.223,24.883,23.763,22.092
1957,23.294,25.408,27.407,30.622,30.889,28.55,26.184,25.301,26.125,26.679,24.33,23.433
1958,23.431,25.722,28.872,31.322,31.186,29.966,25.826,26.055,25.662,25.736,24.642,22.702
1959,23.793,26.606,29.029,31.208,31.687,27.722,25.65,25.819,26.161,26.004,24.24,23.131
1960,24.088,25.515,28.695,30.98,30.692,27.984,26.817,26.905,26.192,25.747,24.076,23.064
1961,23.664,25.462,30.061,31.849,29.916,27.446,25.616,25.858,25.656,25.381,23.431,22.6
1962,22.091,25.487,28.467,30.386,30.331,28.584,26.249,25.918,25.764,26.052,23.262,22.025
1963,22.301,24.587,28.641,29.85,30.785,27.218,26.585,25.39,26.124,25.513,24.107,23.162
1964,23.456,26.305,29.661,31.672,31.475,28.386,26.395,25.357,25.262,25.707,22.999,21.625
1965,22.919,25.206,28.494,30.382,30.956,28.141,25.773,26.423,26.361,26.923,25.028,23.96
1966,24.118,26.71,29.851,31.755,30.87,28.914,27.114,26.957,26.104,25.957,24.591,22.526
1967,23.424,25.582,28.334,31.612,31.796,29.017,26.091,25.866,25.789,25.483,23.867,23.998
1968,22.802,26.279,28.361,30.786,31.43,28.482,26.314,26.244,26.126,25.222,24.029,23.593
1969,23.224,26.812,30.461,32.375,31.369,29.052,26.343,26.688,25.501,26.052,24.831,22.541
1970,23.829,26.472,29.853,31.847,31.13,27.282,26.648,25.556,25.862,25.847,23.602,21.122
1971,22.815,26.341,28.434,31.657,30.676,27.071,26.778,26.37,26.863,25.236,23.037,21.835
1972,22.731,25.496,29.706,31.461,31.122,29.708,27.13,27.112,27.328,26.858,24.703,23.959
1973,24.927,26.773,30.157,32.714,32.383,28.246,26.645,26.042,26.52,25.334,22.915,22.052
1974,23.366,26.004,29.104,32.015,30.629,27.704,26.802,26.181,26.185,25.24,23.868,21.672
1975,22.515,26.271,29.04,32.007,30.847,27.624,26.149,26.314,25.701,25.611,22.927,21.235
1976,21.649,24.672,29.059,30.538,31.076,28.343,26.129,25.569,26.067,27.576,25.463,23.832
1977,23.263,26.318,29.497,30.81,29.258,27.507,26.081,25.543,27.55,25.816,25.222,22.151
1978,23.492,24.945,28.596,30.581,30.274,27.091,25.687,24.532,25.692,25.814,24.93,23.422
1979,23.926,25.839,28.96,31.415,30.162,28.706,27.012,26.208,26.045,26.748,24.322,23.434
1980,23.792,27.096,29.291,30.516,31.814,27.347,26.547,25.331,26.713,27.74,25.462,23.559
1981,23.444,26.702,28.468,31.384,30.882,27.549,27.075,25.636,25.96,26.119,24.663,22.661
1982,23.956,27.488,29.966,31.155,31.153,28.557,26.749,26.649,26.717,26.813,24.695,23.126
1983,23.391,26.202,30.021,32.318,32.124,29.222,27.149,26.235,25.833,25.582,23.562,22.937
1984,24.134,25.723,29.33,31.35,33.015,28.08,26.151,26.182,26.65,26.03,23.895,24.001
1985,24.665,26.773,29.627,31.641,31.056,27.821,26.421,26.282,27.352,25.456,24.642,24.233
1986,22.825,26.113,30.137,32.315,31.691,28.211,27.243,26.18,27.446,27.622,25.497,24.093
1987,24.318,25.612,29.327,32.317,30.993,29.047,27.151,26.883,28.053,26.314,24.404,22.967
1988,23.592,27.15,30.254,31.197,31.99,29.039,26.222,25.983,26.126,26.723,24.672,23.027
1989,23.691,25.748,27.977,31.719,31.64,27.661,26.192,26.046,26.16,26.677,24.504,22.968
1990,23.889,25.7,28.59,31.725,28.525,26.989,26.239,25.947,26.526,25.8,24.976,23.265
