Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,20.114,20.518,21.693,23.24,22.839,20.984,20.533,20.438,20.876,20.891,20.827,19.95
1902,20.083,20.511,22.28,23.261,23.177,21.492,20.694,21.019,20.315,21.051,20.877,20.322
1903,20.139,20.473,21.668,22.97,22.475,21.119,20.325,20.361,20.214,20.554,19.905,19.342
1904,19.599,20.274,21.532,22.893,22.357,20.382,20.106,20.426,20.531,21.036,20.25,19.734
1905,19.619,20.512,21.239,22.206,22.609,21.566,20.718,20.657,20.671,21.036,20.958,19.683
1906,20.057,20.411,21.399,23.286,23.241,20.949,20.286,20.365,20.134,20.875,20.927,20.115
1907,20.012,20.547,21.684,21.941,22.392,20.875,20.321,19.838,20.61,21.056,20.885,19.892
1908,19.989,20.265,21.083,23.042,22.315,21.151,19.809,20.094,20.53,21.039,20.148,19.409
1909,19.385,20.26,21.865,22.532,22.488,20.937,19.889,20.389,20.068,20.811,20.586,19.965
1910,19.911,20.555,21.837,22.927,22.703,20.685,20.531,20.042,19.923,20.474,19.51,19.253
1911,19.989,19.747,21.491,22.609,22.506,20.779,20.271,20.281,20.867,20.952,20.957,20.547
1912,19.821,21.1,22.026,23.26,23.113,21.096,20.349,20.256,20.686,20.825,20.394,19.583
1913,19.592,20.562,21.542,23.001,23.001,20.929,20.151,20.478,20.791,20.821,20.52,20.067
1914,19.826,20.614,21.639,22.689,23.039,21.488,20.473,20.336,20.851,21.335,21.119,20.232
1915,20.23,20.548,21.629,23.049,22.93,21.483,20.777,20.792,20.69,21.051,20.856,19.612
1916,19.682,20.175,22.106,23.151,22.697,20.472,20.669,20.361,20.354,20.574,20.496,19.531
1917,19.771,20.303,21.283,22.758,22.147,20.377,20.841,20.332,20.206,20.113,20.01,19.409
1918,19.6,19.656,21.344,22.52,21.657,20.762,21.014,20.657,20.686,21.455,21.426,19.859
1919,20.333,20.597,21.482,23.158,22.585,20.914,20.42,20.336,20.692,21.118,20.716,20.005
1920,20.187,20.723,22.166,22.813,22.889,20.99,20.448,20.389,20.678,21.202,20.776,19.679
1921,20.249,20.386,22.106,22.713,23.014,21.079,20.294,20.23,20.137,20.952,20.306,19.742
1922,19.997,20.446,21.884,23.054,22.482,20.779,20.015,20.15,20.304,20.86,20.615,19.343
1923,19.626,19.981,21.457,22.779,22.532,21.376,19.913,20.183,20.274,20.956,20.507,20.242
1924,19.856,20.642,22.159,23.395,23.09,21.083,20.295,20.547,20.475,20.727,20.23,19.663
1925,19.526,19.855,21.725,23.223,22.427,20.631,20.512,20.467,20.851,21.319,20.897,19.978
1926,20.185,20.765,22.098,22.605,22.941,21.721,21.034,20.758,20.635,20.867,20.515,19.92
1927,19.939,20.654,21.977,23.005,22.582,20.83,20.085,20.496,20.674,20.797,19.95,20.076
1928,20.258,20.236,21.604,23.135,23.105,21.142,20.523,20.226,20.546,20.714,20.857,19.913
1929,19.932,20.393,21.907,22.747,22.854,20.582,20.527,20.643,20.791,20.825,20.987,19.997
1930,19.872,20.343,21.645,22.825,22.376,20.949,20.469,20.413,20.651,21.131,20.628,20.305
1931,20.443,20.668,21.866,23.395,23.33,21.646,20.527,20.555,20.535,20.887,20.897,20.065
1932,19.951,20.386,21.432,23.07,22.359,21.04,20.046,20.579,20.434,21.044,20.849,19.99
1933,20.023,20.477,21.528,22.868,22.001,20.353,20.243,20.021,20.088,20.434,20.897,19.823
1934,19.623,20.144,21.208,22.784,22.767,20.815,20.29,20.123,20.786,21.169,19.909,19.699
1935,19.82,20.397,21.849,22.535,23.004,21.095,19.994,20.022,19.887,20.915,20.234,20.08
1936,20.034,20.655,21.447,22.829,22.66,20.076,20.126,20.078,20.53,20.875,20.814,20.2
1937,19.772,20.804,21.668,22.42,22.527,20.771,19.846,20.492,20.57,20.635,20.641,19.594
1938,19.948,20.712,22.106,23.034,22.847,20.249,19.964,20.002,20.128,19.918,20.166,20.224
1939,19.85,20.204,21.224,22.492,22.637,20.934,19.785,20.094,20.238,20.836,20.556,19.89
1940,19.304,20.306,21.398,22.265,22.753,20.85,20.151,20.094,20.602,21.036,20.79,19.981
1941,19.943,20.921,22.351,23.618,23.359,21.139,20.79,20.891,20.8,21.516,21.599,20.776
1942,19.936,20.884,22.478,22.682,23.315,20.929,19.922,19.811,19.999,21.242,20.564,20.548
1943,20.322,20.302,21.656,22.558,21.905,20.123,19.805,20.216,19.646,20.218,20.776,19.72
1944,20.035,20.017,20.954,22.287,22.989,20.974,20.11,20.457,20.619,20.836,20.889,20.209
1945,19.567,20.654,21.999,22.433,22.753,20.945,20.223,20.409,20.153,20.803,20.511,19.765
1946,19.355,20.334,21.78,22.444,22.303,20.459,20.074,19.952,20.21,21.182,20.715,20.503
