Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1901,22.729,23.788,25.391,27.646,25.986,24.102,23.22,23.297,24.478,23.985,22.746,20.736
1902,21.589,22.981,26.246,27.356,26.855,24.879,23.762,24.247,23.417,23.625,22.406,21.75
1903,22.07,23.639,26.217,27.584,26.357,24.625,23.275,23.177,23.434,23.229,21.37,20.335
1904,20.955,22.63,25.454,27.349,25.686,23.185,22.658,23.307,23.819,23.873,21.8,20.71
1905,21.529,23.807,25.695,26.638,26.599,24.776,23.677,23.623,23.83,23.839,22.752,20.9
1906,22.59,24.262,25.404,28.566,27.821,24.36,23.257,23.226,22.797,23.568,22.829,21.38
1907,21.494,23.676,25.675,26.516,26.121,23.931,23.257,22.504,23.889,24.141,22.762,21.256
1908,21.777,23.164,25.156,28.042,26.221,24.738,22.589,22.972,23.819,24.013,22.133,20.704
1909,21.902,23.681,26.362,26.9,25.986,24.217,22.767,23.445,23.09,23.82,23.097,22.124
1910,21.91,23.466,26.235,27.916,27.034,24.31,23.585,22.87,22.714,23.305,21.219,20.207
1911,21.896,22.125,25.624,27.382,26.459,24.116,23.039,23.081,24.385,23.861,22.992,21.747
1912,21.447,24.586,26.462,27.965,27.631,24.601,23.179,23.268,23.997,23.531,22.054,20.558
1913,20.818,23.824,26.107,28.036,26.945,24.13,22.822,23.355,24.477,23.522,22.417,22.06
1914,21.119,24.106,26.26,27.307,27.102,25.147,23.201,23.197,24.139,23.789,22.797,22.132
1915,22.242,24.109,25.8,27.624,26.888,24.902,23.828,24.065,24.06,24.139,22.947,20.641
1916,21.095,23.68,26.349,28.057,26.55,23.373,23.616,23.074,23.502,23.553,22.27,20.433
1917,20.884,22.661,25.03,27.04,25.753,23.269,23.783,23.366,23.371,22.801,22.416,20.922
1918,21.002,22.309,24.774,26.958,24.999,23.88,24.175,23.601,23.978,24.769,23.728,21.727
1919,22.777,24.379,25.987,28.126,26.315,23.906,23.458,23.378,23.989,24.021,22.776,21.493
1920,21.504,23.872,26.441,27.289,26.886,24.456,23.377,23.526,23.975,24.11,22.693,20.927
1921,22.49,23.353,26.508,27.02,27.304,24.377,23.454,23.344,23.17,23.604,21.726,20.804
1922,22.025,23.199,26.423,27.794,26.307,24.163,23.018,23.339,23.741,23.45,22.395,20.243
1923,20.764,22.715,24.924,26.877,26.281,25.002,22.61,23.267,23.308,23.626,22.726,21.62
1924,21.873,24.072,25.976,28.284,27.238,24.326,23.295,23.606,23.588,23.505,21.861,20.649
1925,21.68,23.047,25.628,27.928,25.851,24.229,23.358,23.418,24.159,23.47,22.215,20.815
1926,22.13,23.751,26.338,26.904,27.124,25.525,24.425,23.773,23.815,23.783,22.372,21.405
1927,22.484,24.16,26.781,28.178,26.856,24.301,22.885,23.617,23.962,23.53,21.658,21.474
1928,22.199,23.544,25.684,27.779,27.451,24.722,23.528,23.274,24.118,23.522,22.387,20.895
1929,22.271,23.611,25.713,26.69,26.489,24.129,23.536,24.017,24.399,23.623,22.476,21.736
1930,22.144,23.095,25.799,27.41,25.99,24.573,23.283,23.425,24.018,23.652,22.178,21.715
1931,21.905,23.751,26.306,28.29,27.601,24.961,23.586,23.762,23.644,23.942,22.554,21.125
1932,20.894,23.149,25.076,27.727,26.092,24.205,22.927,23.81,23.524,23.951,22.689,21.122
1933,21.594,23.749,25.463,27.409,25.44,23.214,22.81,22.984,23.214,23.027,22.789,20.903
1934,21.545,22.919,25.285,27.373,26.896,24.328,23.299,23.07,24.325,24.14,21.459,20.463
1935,21.86,23.727,25.943,27.082,27.287,24.595,22.845,23.018,23.12,23.754,21.593,21.428
1936,22.391,23.904,25.393,27.583,26.761,23.026,22.935,22.928,23.94,23.722,22.638,21.744
1937,21.617,24.213,26.171,26.913,26.655,24.172,22.736,23.592,24,23.461,22.133,21.068
1938,22.192,24.238,26.482,27.73,26.754,23.315,22.784,22.842,23.213,22.727,21.961,21.366
1939,21.406,23.016,25.314,27.034,26.737,24.277,22.459,23.011,23.39,23.79,21.91,20.652
1940,20.551,23.182,25.858,26.838,26.367,24.126,22.812,22.917,23.839,23.847,22.314,21.229
1941,22.085,23.764,26.843,28.204,27.177,24.141,23.838,23.799,23.799,24.161,23.126,21.892
1942,21.895,23.85,26.364,27.604,27.344,24.416,22.976,22.879,23.47,23.918,22.206,21.932
1943,22.247,22.979,26.157,26.939,25.545,23.292,22.512,23.274,22.657,22.673,22.51,20.643
1944,22.028,23.206,24.914,26.664,27.099,24.332,22.784,23.592,23.743,23.716,22.662,21.225
1945,21.854,24.198,26.111,26.933,26.875,24.392,23.234,23.126,23.425,23.772,22.04,21.216
1946,20.948,23.137,26.22,27.171,26.363,23.977,22.957,22.938,23.576,24.047,22.562,21.412
1947,22.245,23.016,25.979,26.527,27.324,24.487,22.91,23.464,23.156,23.069,22.027,21.413
1948,22.313,24.036,25.774,27.425,26.402,24.418,23.12,23.04,23.299,23.859,23.41,20.627
1949,21.376,23.073,26.211,27.31,26.241,23.992,23.011,23.193,22.94,23.862,21.733,20.663
1950,21.608,23.524,25.796,27.633,26.985,23.961,22.652,23.4,22.882,22.921,21.808,20.906
1951,21.85,23.459,26.106,27.122,26.573,23.474,22.975,23.619,24.434,24.132,23.399,20.846
1952,22.167,24.102,26.084,28.111,26.978,24.416,23.572,23.196,23.682,23.271,21.8,21.596
1953,21.948,23.412,27.101,26.812,27.723,25.182,23.01,23.16,23.461,23.823,21.976,20.889
1954,22.095,24.228,25.842,28.014,26.785,24.298,22.557,22.87,22.891,22.999,21.489,21.498
1955,21.824,24.283,26.051,27.201,25.541,23.817,23.096,22.254,23.995,23.772,21.609,20.343
1956,21.496,23.171,26.613,28.234,25.792,23.484,21.985,22.779,23.076,22.993,22.418,20.839
1957,21.695,23.75,25.178,27.292,26.991,24.145,23.118,22.989,23.732,24.218,22.779,22.134
1958,22.218,24.44,26.451,27.739,26.524,25.277,23.055,23.478,23.236,23.65,23.21,21.495
1959,22.552,24.523,26.36,27.855,27.351,24.072,22.465,23.151,23.781,23.961,22.829,21.829
1960,22.58,23.854,26.397,27.814,26.545,24.478,23.602,23.903,23.482,23.809,22.226,21.578
1961,22.185,24.327,27.398,28.19,26.131,23.868,22.42,23.221,23.413,23.569,22.372,21.643
1962,21.612,23.843,26.06,26.858,26.17,24.987,23.479,23.146,23.56,23.638,22.378,21.394
1963,21.399,22.976,26.018,26.825,26.82,24.115,23.812,23.189,24.075,23.735,23.002,21.814
1964,21.973,24.243,26.71,28.559,27.579,24.672,23.793,22.85,22.894,24,21.77,20.878
1965,21.394,23.424,26.018,26.963,27.016,24.501,23.121,23.377,24.035,25.125,23.612,22.188
1966,22.883,24.774,27,28.136,26.683,24.94,23.682,24.247,23.818,23.652,22.864,21.621
1967,21.793,23.319,25.622,27.961,27.329,24.79,22.568,22.728,23.277,22.973,22.619,22.251
1968,21.81,24.268,25.915,27.228,27.355,24.716,23.131,23.597,23.905,23.5,22.816,21.862
1969,21.951,24.682,27.363,28.413,27.125,24.996,23.293,23.717,23.253,23.689,23.086,21.529
1970,22.439,23.998,26.632,28.212,26.528,24.03,23.378,22.926,23.489,23.591,22.214,20.604
1971,21.816,23.978,25.502,27.429,25.872,23.115,23.296,23.238,23.775,22.949,22.111,20.794
1972,21.058,23.809,25.658,27.567,26.001,25.385,23.664,24.017,24.22,24.095,23.192,22.139
1973,22.493,24.57,26.643,28.828,27.628,24.201,23.822,22.775,23.835,23.802,22.304,21.05
1974,21.765,23.583,26.45,28.085,26.559,24,23.131,23.217,23.397,23.237,22.726,20.922
1975,21.43,24.499,26.568,28.524,26.673,24.314,22.873,22.986,23.23,23.177,21.624,20.641
1976,20.602,23.143,26.646,26.974,26.676,24.963,23.617,23.554,24.031,24.673,23.474,22.561
1977,22.105,24.49,26.7,27.68,25.922,24.282,23.143,23.382,24.001,23.73,23.508,21.403
1978,22.408,24,26.349,27.676,26.306,23.277,22.673,22.906,23.576,24.023,23.402,21.661
1979,22.711,24.365,26.302,27.945,26.862,24.766,22.824,23.045,23.611,24.081,23.072,22.46
1980,22.039,24.513,26.577,27.664,27.565,23.771,23.08,23.07,24.227,24.519,22.975,22.372
1981,22.547,24.22,26.229,27.863,26.86,24.079,23.727,22.69,23.596,23.911,22.796,21.341
1982,21.852,24.757,27.124,27.996,27.014,24.333,23.642,23.638,24.146,25.011,23.224,21.828
1983,22.177,25.385,27.602,28.734,27.702,25.099,24.179,23.457,23.506,23.887,22.521,21.873
1984,22.762,23.575,25.617,27.211,27.885,24.003,22.977,23.34,24.027,23.722,22.773,22.421
1985,23.064,24.878,27.065,28.154,27.237,23.621,23.195,23.43,24.562,23.607,22.63,22.707
1986,21.75,23.903,26.993,28.784,27.44,24.344,23.837,23.25,24.338,24.623,23.23,22.578
1987,22.291,23.51,25.9,28.14,27.285,24.737,24.46,23.847,25.188,24.32,23.429,21.984
1988,22.101,25.209,27.343,27.509,27.169,25.019,23.387,23.336,23.696,24.338,23.058,21.611
1989,22.078,24.028,25.72,27.901,27.13,24.184,23.169,23.118,23.899,24.508,23.199,22.056
1990,22.405,24.365,26.66,28.405,25.838,23.905,23.203,22.994,24.472,24.04,23.005,21.955
1991,23.246,24.71,27.486,27.647,27.439,24.302,22.833,22.85,24.53,24.039,22.47,21.412
1992,21.393,24.385,26.741,28.076,26.68,24.504,23.699,23.29,24.205,24.149,23.318,20.986
1993,22.234,23.7,26.35,28.164,27.592,24.93,23.544,23.564,23.59,23.974,23.033,21.219
1994,22.347,24.308,26.991,27.437,27.379,24.399,22.964,23.676,24.28,23.833,22.158,20.909
1995,22.044,24.768,26.598,28.148,26.125,25.627,23.595,23.947,24.182,24.223,24.188,22.104
1996,23.092,24.366,27.187,27.575,27.911,24.723,23.837,23.321,23.86,23.578,23.427,21.417
1997,22.233,24.214,26.511,26.647,27.307,25.807,24.014,23.64,24.632,24.695,24.221,22.896
1998,23.292,25.221,27.643,28.834,27.805,25.778,23.871,24.011,24.064,24.159,23.552,21.928
1999,22.261,24.538,27.29,27.843,25.728,24.071,23.503,23.694,24.516,24.325,23.264,21.685
2000,23.041,24.588,26.358,28.012,26.452,23.853,23.255,23.334,24.39,24.123,23.481,21.52
2001,22.99,25.74,26.94,28.012,27.183,24.599,23.901,23.346,24.72,23.875,23.672,21.918
2002,22.927,24.306,27.366,28.448,27.272,24.721,24.101,23.778,25.064,24.764,23.444,22.427
